,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Ollie Watkins,,"£ 75,000","£ 3,900,000",CF,25,,"Jun 30, 2025",4-yrs,"£ 18,233,155",Aston Villa,Premier League,2021-2022
1,Emiliano Buendía,,"£ 75,000","£ 3,900,000",RW,24,,"Jun 30, 2026",5-yrs,"£ 22,791,444",Aston Villa,Premier League,2021-2022
2,Tyrone Mings,,"£ 65,000","£ 3,380,000",CB,28,,"Jun 30, 2024",3-yrs,"£ 11,851,551",Aston Villa,Premier League,2021-2022
3,Matty Cash,,"£ 65,000","£ 3,380,000",RB,23,,"Jun 30, 2025",4-yrs,"£ 15,802,068",Aston Villa,Premier League,2021-2022
4,Bertrand Traoré,,"£ 55,000","£ 2,860,000",RW,25,,"Jun 30, 2024",3-yrs,"£ 10,028,235",Aston Villa,Premier League,2021-2022
5,Trezeguet,,"£ 52,500","£ 2,730,000",LW,26,,"Jun 30, 2023",2-yrs,"£ 6,381,604",Aston Villa,Premier League,2021-2022
6,Ashley Young,,"£ 49,423","£ 2,570,000",LM,36,,"Jun 30, 2022",1-yr,"£ 3,003,795",Aston Villa,Premier League,2021-2022
7,Morgan Sanson,,"£ 48,077","£ 2,500,000",CM,26,,"Jun 30, 2025",4-yrs,"£ 11,687,920",Aston Villa,Premier League,2021-2022
8,Emiliano Martínez,,"£ 47,500","£ 2,470,000",GK,28,,"Jun 30, 2024",3-yrs,"£ 8,660,749",Aston Villa,Premier League,2021-2022
9,Frédéric Guilbert,,"£ 40,000","£ 2,080,000",RB,26,,"Jun 30, 2023",2-yrs,"£ 4,862,175",Aston Villa,Premier League,2021-2022
10,Matt Targett,,"£ 35,000","£ 1,820,000",LB,25,,"Jun 30, 2025",4-yrs,"£ 8,508,806",Aston Villa,Premier League,2021-2022
11,Wesley,,"£ 35,000","£ 1,820,000",CF,24,,"Jun 30, 2024",3-yrs,"£ 6,381,604",Aston Villa,Premier League,2021-2022
12,Douglas Luiz,,"£ 32,692","£ 1,700,000",DM,23,,"Jun 30, 2023",2-yrs,"£ 3,973,893",Aston Villa,Premier League,2021-2022
13,Marvelous Nakamba,,"£ 32,500","£ 1,690,000",DM,27,,"Jun 30, 2024",3-yrs,"£ 5,925,775",Aston Villa,Premier League,2021-2022
14,Anwar El Ghazi,,"£ 30,962","£ 1,610,000",RW,26,,"Jun 30, 2023",2-yrs,"£ 3,763,510",Aston Villa,Premier League,2021-2022
15,Conor Hourihane,,"£ 30,000","£ 1,560,000",CM,30,,"Jun 30, 2022",1-yr,"£ 1,823,316",Aston Villa,Premier League,2021-2022
16,John McGinn,,"£ 25,000","£ 1,300,000",CM,26,,"Jun 30, 2025",4-yrs,"£ 6,077,718",Aston Villa,Premier League,2021-2022
17,Jed Steer,,"£ 8,077","£ 420,000",GK,28,,"Jun 30, 2023",2-yrs,"£ 981,785",Aston Villa,Premier League,2021-2022
18,Kortney Hause,,"£ 8,077","£ 420,000",CB,25,,"Jun 30, 2022",1-yr,"£ 490,893",Aston Villa,Premier League,2021-2022
19,Ezri Konsa,,"£ 8,000","£ 416,000",CB,23,,"Jun 30, 2026",5-yrs,"£ 2,431,087",Aston Villa,Premier League,2021-2022
20,Jacob Ramsey,,"£ 7,500","£ 390,000",AM,20,,"Jun 30, 2025",4-yrs,"£ 1,823,316",Aston Villa,Premier League,2021-2022
21,Keinan Davis,,"£ 7,500","£ 390,000",CF,23,,"Jun 30, 2024",3-yrs,"£ 1,367,487",Aston Villa,Premier League,2021-2022
