Eid,event_id,Qid,qualifier_id,value
301038339,1,2028397186,130,4
301038339,1,1518776786,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
301038339,1,997025056,59,"25, 2, 13, 18, 4, 6, 42, 7, 10, 16, 21, 5, 11, 15, 20, 22, 32, 45"
301038339,1,955425655,194,17476
301038339,1,996147927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0"
301038339,1,1940069841,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5"
301038339,1,1529687618,30,"15749, 20492, 42593, 1632, 17476, 7551, 14664, 15157, 42544, 37572, 20664, 20658, 19959, 65807, 56827, 17336, 20312, 42493"
1475524684,1,1993329296,59,"22, 2, 4, 6, 5, 12, 7, 19, 17, 14, 10, 1, 3, 16, 20, 21, 31, 38"
1475524684,1,783602879,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0"
1475524684,1,1981808255,30,"1344, 28183, 2004, 27696, 19419, 1587, 18428, 14668, 9765, 3630, 10089, 45175, 82263, 19930, 1615, 15188, 19958, 105088"
1475524684,1,1521261840,194,3630
1475524684,1,459356083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
1475524684,1,2003349974,130,2
1475524684,1,1582676412,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5"
2036897618,2,530297025,127,Left to Right
336246484,2,1227488973,127,Right to Left
1372839298,3,541570642,212,2.5
1372839298,3,1202220317,140,52.4
1372839298,3,1922915435,141,49.1
1372839298,3,566075534,56,Center
1372839298,3,21729623,213,6.0
978322590,4,1842556548,213,2.4
978322590,4,1580811978,56,Back
978322590,4,1316578499,140,29.0
978322590,4,870951602,212,27.5
978322590,4,1361996302,141,76.5
1572252644,3,1492254907,167,-1
1572252644,3,491183529,56,Right
2077205137,5,176412213,56,Back
403196518,4,1046884000,56,Right
509587597,6,1487531325,56,Back
1962550717,7,1388961572,56,Back
1962550717,7,1464407097,141,93.4
1962550717,7,1290217595,212,23.2
1962550717,7,63165432,107,-1
1962550717,7,1582662528,213,6.1
1962550717,7,742294617,140,49.3
1886599927,5,1358834683,212,15.0
1886599927,5,215350901,140,63.6
1886599927,5,1207838176,3,-1
1886599927,5,1518806348,141,30.1
1886599927,5,71823979,56,Center
1886599927,5,922302198,213,0.5
604657066,6,554791351,56,Center
604657066,6,1096167754,13,-1
497476041,8,503664000,13,-1
497476041,8,956789322,56,Back
854361320,9,1681674682,5,-1
854361320,9,43769595,212,11.9
854361320,9,1348926242,213,4.8
854361320,9,1228266170,140,30.2
854361320,9,2126971087,56,Back
854361320,9,911744327,141,55.6
959833686,10,638330763,140,42.3
959833686,10,816211408,212,16.8
959833686,10,1375255370,141,34.9
959833686,10,1175687287,56,Back
959833686,10,1501159585,213,5.4
1460827261,11,1355697445,213,5.1
1460827261,11,1474043617,140,51.8
1460827261,11,491448639,141,5.3
1460827261,11,1696680483,56,Right
1460827261,11,1895256131,212,19.7
834406608,12,1242718866,1,-1
834406608,12,283189683,141,17.6
834406608,12,1681189612,213,0.2
834406608,12,193816719,212,48.9
834406608,12,1022848643,56,Right
834406608,12,431648281,140,98.0
2031924877,7,487951517,56,Back
2031924877,7,1784542671,167,-1
250341070,13,1918919559,56,Right
285450208,8,1132824475,221,-1
285450208,8,14699898,56,Back
285450208,8,2129690889,73,-1
1077590418,14,751901496,75,-1
1077590418,14,538518717,56,Right
1902724460,15,1256120524,140,92.7
1902724460,15,1333386073,141,53.7
1902724460,15,339645780,155,-1
1902724460,15,1614500357,1,-1
1902724460,15,1795764807,212,36.9
1902724460,15,1680801164,224,-1
1902724460,15,1101510302,6,-1
1902724460,15,500975756,213,1.8
1902724460,15,1089752502,56,Center
1902724460,15,1244966121,2,-1
601422702,9,1444778879,13,-1
601422702,9,1024653885,56,Back
388925951,16,30862493,56,Center
388925951,16,1329365544,13,-1
2091682449,10,1590956815,213,6.2
2091682449,10,511925394,157,-1
2091682449,10,947394044,1,-1
2091682449,10,1477978316,5,-1
2091682449,10,1716817496,140,67.3
