,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Carlos Vela,,"$ 86,538","$ 4,500,000",RW,32,Reserve,"Dec 31, 2021",1-yr,"$ 4,500,000",La FC,Mls,2021
1,Diego Rossi,,"$ 19,231","$ 1,000,000",LW,23,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",La FC,Mls,2021
2,Eduard Atuesta,,"$ 10,577","$ 550,000",DM,23,Starter,"Dec 31, 2022",2-yrs,"$ 1,100,000",La FC,Mls,2021
3,Moon-hwan Kim,,"$ 9,615","$ 500,000",RB,25,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",La FC,Mls,2021
4,Diego Palacios,,"$ 8,308","$ 432,000",LB,21,Starter,"Dec 31, 2021",1-yr,"$ 432,000",La FC,Mls,2021
5,Francisco Ginella,,"$ 8,173","$ 425,000",DM,22,Reserve,"Dec 31, 2023",3-yrs,"$ 1,275,000",La FC,Mls,2021
6,Jesús Murillo,,"$ 7,692","$ 400,000",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 400,000",La FC,Mls,2021
7,José Cifuentes,,"$ 7,075","$ 367,875",DM,22,Reserve,"Dec 31, 2022",2-yrs,"$ 735,750",La FC,Mls,2021
8,Corey Baird,,"$ 7,019","$ 365,000",CF,25,Starter,"Dec 31, 2023",3-yrs,"$ 1,095,000",La FC,Mls,2021
9,Latif Blessing,,"$ 6,923","$ 360,000",AM,24,Starter,"Dec 31, 2022",2-yrs,"$ 720,000",La FC,Mls,2021
10,Mark-Anthony Kaye,,"$ 4,531","$ 235,625",CM,26,Starter,"Dec 31, 2021",1-yr,"$ 235,625",La FC,Mls,2021
11,Eddie Segura,,"$ 3,846","$ 200,000",CB,24,Starter,"Dec 31, 2021",1-yr,"$ 200,000",La FC,Mls,2021
12,Tristan Blackmon,,"$ 3,712","$ 193,000",RB,24,Starter,"Dec 31, 2022",2-yrs,"$ 386,000",La FC,Mls,2021
13,Marco Farfán,,"$ 3,654","$ 190,000",LB,22,Reserve,"Dec 31, 2021",1-yr,"$ 190,000",La FC,Mls,2021
14,Pablo Sisniega,,"$ 2,885","$ 150,000",GK,25,Starter,"Dec 31, 2021",1-yr,"$ 150,000",La FC,Mls,2021
15,Jordan Harvey,,"$ 2,115","$ 110,000",LB,37,Reserve,"Dec 31, 2021",1-yr,"$ 110,000",La FC,Mls,2021
16,Raheem Edwards,,"$ 1,853","$ 96,375",LW,25,Reserve,"Dec 31, 2021",1-yr,"$ 96,375",La FC,Mls,2021
17,Mohamed Traore,,"$ 1,759","$ 91,444",CB,18,Reserve,"Dec 31, 2021",1-yr,"$ 91,444",La FC,Mls,2021
18,Erik Dueñas,,"$ 1,739","$ 90,444",RB,16,Reserve,"Dec 31, 2021",1-yr,"$ 90,444",La FC,Mls,2021
19,Bryce Duke,,"$ 1,731","$ 90,000",CM,20,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",La FC,Mls,2021
20,Danny Musovski,,"$ 1,643","$ 85,444",CF,25,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",La FC,Mls,2021
21,Tomás Romero,,"$ 1,565","$ 81,375",GK,20,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La FC,Mls,2021
22,Kwadwo Opoku,,"$ 1,565","$ 81,375",CF,19,Starter,"Dec 31, 2021",1-yr,"$ 81,375",La FC,Mls,2021
23,Antonio Leone,,"$ 1,565","$ 81,375",CB,17,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La FC,Mls,2021
24,Cal Jennings,,"$ 1,565","$ 81,375",CF,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La FC,Mls,2021
25,Christian Torres,,"$ 1,533","$ 79,738",LW,17,Reserve,"Dec 31, 2021",1-yr,"$ 79,738",La FC,Mls,2021
26,Álvaro Quezada,,$ 0,$ 0,CF,22,Reserve,"Dec 31, 2021",1-yr,$ 0,La FC,Mls,2021
