,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Hany Mukhtar,,"$ 28,942","$ 1,505,000",AM,26,Starter,"Dec 31, 2021",1-yr,"$ 1,505,000",Nashville Sc,Mls,2021
1,Walker Zimmerman,,"$ 17,788","$ 925,000",CB,27,Starter,"Dec 31, 2023",3-yrs,"$ 2,775,000",Nashville Sc,Mls,2021
2,Jhonder Cádiz,,"$ 17,356","$ 902,500",CF,25,Starter,"Jun 30, 2021",1-yr,"$ 902,500",Nashville Sc,Mls,2021
3,Dax McCarty,,"$ 13,942","$ 725,000",CM,34,Starter,"Dec 31, 2021",1-yr,"$ 725,000",Nashville Sc,Mls,2021
4,Aníbal Godoy,,"$ 13,462","$ 700,000",DM,31,Starter,"Dec 31, 2021",1-yr,"$ 700,000",Nashville Sc,Mls,2021
5,Randall Leal,,"$ 8,077","$ 420,000",LW,24,Starter,"Dec 31, 2021",1-yr,"$ 420,000",Nashville Sc,Mls,2021
6,CJ Sapong,,"$ 7,692","$ 400,000",CF,32,Reserve,"Dec 31, 2023",3-yrs,"$ 1,200,000",Nashville Sc,Mls,2021
7,Daniel Lovitz,,"$ 7,404","$ 385,000",LB,29,Starter,"Dec 31, 2021",1-yr,"$ 385,000",Nashville Sc,Mls,2021
8,Dominique Badji,,"$ 5,769","$ 300,000",CF,28,Reserve,"Dec 31, 2021",1-yr,"$ 300,000",Nashville Sc,Mls,2021
9,Joe Willis,,"$ 5,769","$ 300,000",GK,32,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Nashville Sc,Mls,2021
10,Rodrigo Piñeiro,,"$ 4,808","$ 250,000",RW,22,Reserve,"Dec 31, 2023",3-yrs,"$ 750,000",Nashville Sc,Mls,2021
11,Alex Muyl,,"$ 4,615","$ 240,000",RW,25,Starter,"Dec 31, 2021",1-yr,"$ 240,000",Nashville Sc,Mls,2021
12,Dave Romney,,"$ 4,327","$ 225,000",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 225,000",Nashville Sc,Mls,2021
13,Jalil Anibaba,,"$ 3,846","$ 200,000",CB,32,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Nashville Sc,Mls,2021
14,Abu Danladi,,"$ 3,462","$ 180,000",CF,25,Reserve,"Dec 31, 2021",1-yr,"$ 180,000",Nashville Sc,Mls,2021
15,Eric Miller,,"$ 2,827","$ 147,000",RB,28,Reserve,"Dec 31, 2021",1-yr,"$ 147,000",Nashville Sc,Mls,2021
16,Daniel Ríos,,"$ 2,692","$ 140,000",CF,26,Reserve,"Dec 31, 2022",2-yrs,"$ 280,000",Nashville Sc,Mls,2021
17,Jack Maher,,"$ 2,212","$ 115,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 115,000",Nashville Sc,Mls,2021
18,Dylan Nealis,,"$ 1,923","$ 100,000",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Nashville Sc,Mls,2021
19,Taylor Washington,,"$ 1,721","$ 89,513",LB,27,Reserve,"Dec 31, 2021",1-yr,"$ 89,513",Nashville Sc,Mls,2021
20,Handwalla Bwana,,"$ 1,643","$ 85,444",LW,21,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Nashville Sc,Mls,2021
21,Matt LaGrassa,,"$ 1,643","$ 85,444",DM,28,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Nashville Sc,Mls,2021
22,Bryan Meredith,,"$ 1,565","$ 81,375",GK,31,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nashville Sc,Mls,2021
23,Tah Anunga,,"$ 1,565","$ 81,375",CM,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nashville Sc,Mls,2021
24,Alistair Johnston,,"$ 1,405","$ 73,079",RB,22,Starter,"Dec 31, 2021",1-yr,"$ 73,079",Nashville Sc,Mls,2021
25,Luke Haakenson,,"$ 1,283","$ 66,724",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Nashville Sc,Mls,2021
26,Robert Castellanos,,"$ 1,222","$ 63,547",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Nashville Sc,Mls,2021
27,Irakoze Donasiyano,,$ 0,$ 0,AM,23,Reserve,"Dec 31, 2021",1-yr,$ 0,Nashville Sc,Mls,2021
