,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Albert Rusnák,,"$ 41,346","$ 2,150,000",AM,26,Starter,"Dec 31, 2021",1-yr,"$ 2,150,000",Real Salt Lake,Mls,2021
1,Damir Kreilach,,"$ 23,077","$ 1,200,000",CM,32,Starter,"Dec 31, 2022",2-yrs,"$ 2,400,000",Real Salt Lake,Mls,2021
2,Everton Luiz,,"$ 22,308","$ 1,160,000",DM,32,Starter,"Dec 31, 2021",1-yr,"$ 1,160,000",Real Salt Lake,Mls,2021
3,Justen Glad,,"$ 11,538","$ 600,000",CB,24,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Real Salt Lake,Mls,2021
4,Marcelo Silva,,"$ 10,577","$ 550,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 550,000",Real Salt Lake,Mls,2021
5,Justin Meram,,"$ 9,615","$ 500,000",LW,32,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",Real Salt Lake,Mls,2021
6,Anderson Julio,,"$ 7,731","$ 402,000",RW,24,Starter,"Dec 31, 2021",1-yr,"$ 402,000",Real Salt Lake,Mls,2021
7,Pablo Ruiz,,"$ 7,212","$ 375,000",CM,22,Starter,"Dec 31, 2021",1-yr,"$ 375,000",Real Salt Lake,Mls,2021
8,Jeizon Ramírez,,"$ 6,923","$ 360,000",RM,20,Reserve,"Dec 31, 2021",1-yr,"$ 360,000",Real Salt Lake,Mls,2021
9,Aaron Herrera,,"$ 6,058","$ 315,000",RB,23,Reserve,"Dec 31, 2023",3-yrs,"$ 945,000",Real Salt Lake,Mls,2021
10,Zac MacMath,,"$ 3,846","$ 200,000",GK,29,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Real Salt Lake,Mls,2021
11,Donny Toia,,"$ 3,846","$ 200,000",LB,28,Starter,"Dec 31, 2021",1-yr,"$ 200,000",Real Salt Lake,Mls,2021
12,Nick Besler,,"$ 3,221","$ 167,500",CM,28,Reserve,"Dec 31, 2021",1-yr,"$ 167,500",Real Salt Lake,Mls,2021
13,Andrew Putna,,"$ 2,692","$ 140,000",GK,26,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",Real Salt Lake,Mls,2021
14,Rubio Rubin,,"$ 2,596","$ 135,000",CF,25,Starter,"Dec 31, 2021",1-yr,"$ 135,000",Real Salt Lake,Mls,2021
15,Ashtone Morgan,,"$ 2,538","$ 132,000",LB,30,Reserve,"Dec 31, 2021",1-yr,"$ 132,000",Real Salt Lake,Mls,2021
16,Milan Iloski,,"$ 2,308","$ 120,000",CF,21,Reserve,"Dec 31, 2021",1-yr,"$ 120,000",Real Salt Lake,Mls,2021
17,Tate Schmitt,,"$ 1,731","$ 90,000",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",Real Salt Lake,Mls,2021
18,Erik Holt,,"$ 1,731","$ 90,000",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",Real Salt Lake,Mls,2021
19,David Ochoa,,"$ 1,731","$ 90,000",GK,20,Starter,"Dec 31, 2021",1-yr,"$ 90,000",Real Salt Lake,Mls,2021
20,Justin Portillo,,"$ 1,643","$ 85,444",DM,28,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Real Salt Lake,Mls,2021
21,Christopher Garcia,,"$ 1,643","$ 85,444",RW,18,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Real Salt Lake,Mls,2021
22,Maikel Chang,,"$ 1,643","$ 85,444",RM,30,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Real Salt Lake,Mls,2021
23,Andrew Brody,,"$ 1,565","$ 81,375",RB,26,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Real Salt Lake,Mls,2021
24,Bret Halsey,,"$ 1,565","$ 81,375",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Real Salt Lake,Mls,2021
25,Douglas Martínez,,"$ 1,565","$ 81,375",CF,23,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Real Salt Lake,Mls,2021
26,Jeff Dewsnup,,"$ 1,222","$ 63,547",GK,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Real Salt Lake,Mls,2021
27,Bode Davis,,"$ 1,222","$ 63,547",LM,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Real Salt Lake,Mls,2021
28,Noah Powder,,"$ 1,222","$ 63,547",LB,22,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Real Salt Lake,Mls,2021
29,Bobby Wood,,$ 0,$ 0,CF,28,Reserve,"Dec 31, 2023",3-yrs,$ 0,Real Salt Lake,Mls,2021
