,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Robert Beric,,"$ 43,750","$ 2,274,996",CF,29,Starter,"Dec 31, 2021",1-yr,"$ 2,274,996",Chicago Fire,Mls,2021
1,Gastón Giménez,,"$ 39,577","$ 2,058,000",DM,29,Starter,"Dec 31, 2021",1-yr,"$ 2,058,000",Chicago Fire,Mls,2021
2,Álvaro Medrán,,"$ 19,231","$ 1,000,000",CM,27,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Chicago Fire,Mls,2021
3,Francisco Calvo,,"$ 15,962","$ 830,000",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 830,000",Chicago Fire,Mls,2021
4,Przemyslaw Frankowski,,"$ 12,981","$ 675,000",RW,26,Starter,"Dec 31, 2022",2-yrs,"$ 1,350,000",Chicago Fire,Mls,2021
5,Ignacio Aliseda,,"$ 11,538","$ 600,000",LW,21,Reserve,"Dec 31, 2023",3-yrs,"$ 1,800,000",Chicago Fire,Mls,2021
6,Boris Sekulic,,"$ 10,981","$ 571,000",RB,29,Starter,"Dec 31, 2022",2-yrs,"$ 1,142,000",Chicago Fire,Mls,2021
7,Kenneth Kronholm,,"$ 10,942","$ 569,000",GK,35,Reserve,"Dec 31, 2021",1-yr,"$ 569,000",Chicago Fire,Mls,2021
8,Johan Kappelhof,,"$ 8,894","$ 462,500",CB,30,Starter,"Dec 31, 2021",1-yr,"$ 462,500",Chicago Fire,Mls,2021
9,Luka Stojanovic,,"$ 6,038","$ 314,000",AM,27,Starter,"Dec 31, 2021",1-yr,"$ 314,000",Chicago Fire,Mls,2021
10,Jonathan Bornstein,,"$ 5,769","$ 300,000",LB,36,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Chicago Fire,Mls,2021
11,Stanislav Ivanov,,"$ 5,288","$ 275,000",RW,22,Reserve,"Dec 31, 2023",3-yrs,"$ 825,000",Chicago Fire,Mls,2021
12,Fabian Herbers,,"$ 4,423","$ 230,000",RW,27,Reserve,"Dec 31, 2023",3-yrs,"$ 690,000",Chicago Fire,Mls,2021
13,Mauricio Pineda,,"$ 3,365","$ 175,000",CB,23,Starter,"Dec 31, 2021",1-yr,"$ 175,000",Chicago Fire,Mls,2021
14,Jhon Espinoza,,"$ 3,115","$ 162,000",RB,22,Reserve,"Dec 31, 2023",3-yrs,"$ 486,000",Chicago Fire,Mls,2021
15,Carlos Terán,,"$ 2,885","$ 150,000",CB,20,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Chicago Fire,Mls,2021
16,Chinonso Offor,,"$ 2,538","$ 132,000",CF,20,Reserve,"Dec 31, 2021",1-yr,"$ 132,000",Chicago Fire,Mls,2021
17,Miguel Ángel Navarro,,"$ 2,308","$ 120,000",LB,22,Reserve,"Dec 31, 2022",2-yrs,"$ 240,000",Chicago Fire,Mls,2021
18,Bobby Shuttleworth,,"$ 2,115","$ 110,000",GK,34,Starter,"Dec 31, 2021",1-yr,"$ 110,000",Chicago Fire,Mls,2021
19,Elliot Collier,,"$ 1,950","$ 101,375",CF,26,Reserve,"Dec 31, 2021",1-yr,"$ 101,375",Chicago Fire,Mls,2021
20,Gabriel Slonina,,"$ 1,923","$ 100,000",GK,17,Reserve,"Dec 31, 2022",2-yrs,"$ 200,000",Chicago Fire,Mls,2021
21,Wyatt Omsberg,,"$ 1,643","$ 85,444",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Chicago Fire,Mls,2021
22,Javier Casas,,"$ 1,283","$ 66,724",CM,18,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
23,Nicholas Slonina,,"$ 1,283","$ 66,724",CB,20,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Chicago Fire,Mls,2021
24,Chris Brady,,"$ 1,283","$ 66,724",GK,17,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
25,Brian Gutiérrez,,"$ 1,283","$ 66,724",AM,17,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
26,Allan Rodriguez,,"$ 1,283","$ 66,724",DM,16,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
27,Alex Monis,,"$ 1,283","$ 66,724",RW,18,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
