,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Nani,,"$ 44,872","$ 2,333,333",LW,34,Starter,"Dec 31, 2021",1-yr,"$ 2,333,333",Orlando City,Mls,2021
1,Mauricio Pereyra,,"$ 34,615","$ 1,800,000",AM,31,Starter,"Dec 31, 2021",1-yr,"$ 1,800,000",Orlando City,Mls,2021
2,Antônio Carlos,,"$ 16,154","$ 840,000",CB,28,Starter,"Dec 31, 2023",3-yrs,"$ 2,520,000",Orlando City,Mls,2021
3,Júnior Urso,,"$ 13,462","$ 700,000",CM,32,Starter,"Dec 31, 2021",1-yr,"$ 700,000",Orlando City,Mls,2021
4,Jhegson Méndez,,"$ 10,577","$ 550,000",DM,24,Starter,"Dec 31, 2021",1-yr,"$ 550,000",Orlando City,Mls,2021
5,Robin Jansson,,"$ 9,615","$ 500,000",CB,29,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",Orlando City,Mls,2021
6,Oriol Rosell,,"$ 9,135","$ 475,000",DM,28,Reserve,"Dec 31, 2021",1-yr,"$ 475,000",Orlando City,Mls,2021
7,Pedro Gallese,,"$ 7,885","$ 410,000",GK,31,Starter,"Dec 31, 2021",1-yr,"$ 410,000",Orlando City,Mls,2021
8,Silvester van der Water,,"$ 5,769","$ 300,000",RW,24,Reserve,"Dec 31, 2023",3-yrs,"$ 900,000",Orlando City,Mls,2021
9,Tesho Akindele,,"$ 5,288","$ 275,000",CF,29,Starter,"Dec 31, 2021",1-yr,"$ 275,000",Orlando City,Mls,2021
10,Brandon Austin,,"$ 5,245","$ 272,727",GK,22,Reserve,"Dec 31, 2021",1-yr,"$ 272,727",Orlando City,Mls,2021
11,Alexandre Pato,,"$ 5,245","$ 272,727",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 272,727",Orlando City,Mls,2021
12,Matheus Aiás,,"$ 4,846","$ 252,000",CF,24,Reserve,"Dec 31, 2022",2-yrs,"$ 504,000",Orlando City,Mls,2021
13,Alexander Alvarado,,"$ 4,231","$ 220,000",LW,22,Reserve,"Dec 31, 2021",1-yr,"$ 220,000",Orlando City,Mls,2021
14,Ruan,,"$ 3,654","$ 190,000",RB,25,Reserve,"Dec 31, 2021",1-yr,"$ 190,000",Orlando City,Mls,2021
15,João Moutinho,,"$ 3,462","$ 180,000",LB,23,Starter,"Dec 31, 2021",1-yr,"$ 180,000",Orlando City,Mls,2021
16,Andrés Perea,,"$ 3,462","$ 180,000",DM,20,Reserve,"Dec 31, 2021",1-yr,"$ 180,000",Orlando City,Mls,2021
17,Chris Mueller,,"$ 2,379","$ 123,715",RW,24,Starter,"Dec 31, 2021",1-yr,"$ 123,715",Orlando City,Mls,2021
18,Rodrigo Schlegel,,"$ 2,308","$ 120,000",CB,24,Starter,"Dec 31, 2021",1-yr,"$ 120,000",Orlando City,Mls,2021
19,Benji Michel,,"$ 2,101","$ 109,250",CF,23,Reserve,"Dec 31, 2021",1-yr,"$ 109,250",Orlando City,Mls,2021
20,Kyle Smith,,"$ 2,038","$ 105,996",RB,29,Starter,"Dec 31, 2021",1-yr,"$ 105,996",Orlando City,Mls,2021
21,David Loera,,"$ 1,923","$ 100,000",CF,22,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Orlando City,Mls,2021
22,Mason Stajduhar,,"$ 1,643","$ 85,444",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Orlando City,Mls,2021
23,Michael Halliday,,"$ 1,643","$ 85,444",RB,18,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Orlando City,Mls,2021
24,Joey DeZart,,"$ 1,283","$ 66,724",DM,22,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Orlando City,Mls,2021
25,Rio Hope-Gund,,"$ 1,222","$ 63,547",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Orlando City,Mls,2021
26,Raul Aguilera,,"$ 1,222","$ 63,547",DM,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Orlando City,Mls,2021
27,Derek Dodson,,$ 0,$ 0,CF,23,Reserve,"Dec 31, 2021",1-yr,$ 0,Orlando City,Mls,2021
28,Brian Rowe,,$ 0,$ 0,GK,32,Reserve,"Dec 31, 2021",1-yr,$ 0,Orlando City,Mls,2021
29,Wilfredo Rivera,,$ 0,$ 0,LM,17,Reserve,"Dec 31, 2023",3-yrs,$ 0,Orlando City,Mls,2021
