,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Sebastián Blanco,,"$ 42,308","$ 2,200,000",LW,33,Reserve,"Dec 31, 2021",1-yr,"$ 2,200,000",Portland Timbers,Mls,2021
1,Yimmi Chará,,"$ 23,077","$ 1,200,000",RW,30,Reserve,"Dec 31, 2021",1-yr,"$ 1,200,000",Portland Timbers,Mls,2021
2,Felipe Mora,,"$ 15,865","$ 825,000",CF,27,Starter,"Dec 31, 2024",4-yrs,"$ 3,300,000",Portland Timbers,Mls,2021
3,Diego Váleri,,"$ 14,712","$ 765,000",AM,35,Starter,"Dec 31, 2021",1-yr,"$ 765,000",Portland Timbers,Mls,2021
4,Jaroslaw Niezgoda,,"$ 14,221","$ 739,500",CF,26,Reserve,"Dec 31, 2023",3-yrs,"$ 2,218,500",Portland Timbers,Mls,2021
5,Diego Chará,,"$ 12,500","$ 650,000",CM,35,Starter,"Dec 31, 2021",1-yr,"$ 650,000",Portland Timbers,Mls,2021
6,Jeremy Ebobisse,,"$ 11,538","$ 600,000",CF,24,Reserve,"Dec 31, 2021",1-yr,"$ 600,000",Portland Timbers,Mls,2021
7,Dario Zuparic,,"$ 10,096","$ 525,000",CB,29,Starter,"Dec 31, 2021",1-yr,"$ 525,000",Portland Timbers,Mls,2021
8,Andy Polo,,"$ 9,615","$ 500,000",RW,26,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",Portland Timbers,Mls,2021
9,Larrys Mabiala,,"$ 8,654","$ 450,000",CB,33,Starter,"Dec 31, 2021",1-yr,"$ 450,000",Portland Timbers,Mls,2021
10,Claudio Bravo,,"$ 5,769","$ 300,000",LB,24,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Portland Timbers,Mls,2021
11,Dairon Asprilla,,"$ 5,288","$ 275,000",RW,28,Starter,"Dec 31, 2021",1-yr,"$ 275,000",Portland Timbers,Mls,2021
12,Cristhian Paredes,,"$ 4,846","$ 252,000",CM,22,Reserve,"Dec 31, 2021",1-yr,"$ 252,000",Portland Timbers,Mls,2021
13,Steve Clark,,"$ 4,808","$ 250,000",GK,35,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Portland Timbers,Mls,2021
14,Aljaz Ivacic,,"$ 4,327","$ 225,000",GK,27,Reserve,"Dec 31, 2021",1-yr,"$ 225,000",Portland Timbers,Mls,2021
15,Eryk Williamson,,"$ 4,231","$ 220,000",CM,23,Starter,"Dec 31, 2021",1-yr,"$ 220,000",Portland Timbers,Mls,2021
16,Bill Tuiloma,,"$ 4,231","$ 220,000",CB,26,Reserve,"Dec 31, 2021",1-yr,"$ 220,000",Portland Timbers,Mls,2021
17,Jeff Attinella,,"$ 2,077","$ 108,000",GK,32,Starter,"Dec 31, 2021",1-yr,"$ 108,000",Portland Timbers,Mls,2021
18,Josecarlos van Rankin,,"$ 2,024","$ 105,255",RB,28,Reserve,"Dec 31, 2021",1-yr,"$ 105,255",Portland Timbers,Mls,2021
19,Pablo Bonilla,,"$ 1,643","$ 85,444",RB,21,Starter,"Dec 31, 2021",1-yr,"$ 85,444",Portland Timbers,Mls,2021
20,Renzo Zambrano,,"$ 1,643","$ 85,444",CM,26,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Portland Timbers,Mls,2021
21,Ismaila Jome,,"$ 1,565","$ 81,375",LB,26,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Portland Timbers,Mls,2021
22,Marvin Loría,,"$ 1,565","$ 81,375",RW,24,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Portland Timbers,Mls,2021
23,Blake Bodily,,"$ 1,295","$ 67,360",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 67,360",Portland Timbers,Mls,2021
24,Zac McGraw,,"$ 1,283","$ 66,724",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Portland Timbers,Mls,2021
25,Hunter Sulte,,"$ 1,222","$ 63,547",GK,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Portland Timbers,Mls,2021
