,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Nicolás Lodeiro,,"$ 40,769","$ 2,120,000",AM,32,Reserve,"Dec 31, 2023",3-yrs,"$ 6,360,000",Seattle Sounders,Mls,2021
1,Raúl Ruidíaz,,"$ 40,385","$ 2,100,000",CF,30,Starter,"Dec 31, 2021",1-yr,"$ 2,100,000",Seattle Sounders,Mls,2021
2,João Paulo,,"$ 19,231","$ 1,000,000",AM,30,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Seattle Sounders,Mls,2021
3,Cristian Roldán,,"$ 14,615","$ 760,000",CM,25,Starter,"Dec 31, 2021",1-yr,"$ 760,000",Seattle Sounders,Mls,2021
4,Brad Smith,,"$ 10,096","$ 525,000",LB,27,Starter,"Dec 31, 2021",1-yr,"$ 525,000",Seattle Sounders,Mls,2021
5,Stefan Frei,,"$ 9,615","$ 500,000",GK,35,Starter,"Dec 31, 2021",1-yr,"$ 500,000",Seattle Sounders,Mls,2021
6,Will Bruin,,"$ 8,654","$ 450,000",CF,31,Starter,"Dec 31, 2021",1-yr,"$ 450,000",Seattle Sounders,Mls,2021
7,Xavier Arreaga,,"$ 7,569","$ 393,600",CB,26,Starter,"Dec 31, 2021",1-yr,"$ 393,600",Seattle Sounders,Mls,2021
8,Yeimar Gómez Andrade,,"$ 5,769","$ 300,000",CB,28,Reserve,"Dec 31, 2022",2-yrs,"$ 600,000",Seattle Sounders,Mls,2021
9,Kelyn Rowe,,"$ 3,462","$ 180,000",CM,29,Reserve,"Dec 31, 2021",1-yr,"$ 180,000",Seattle Sounders,Mls,2021
10,Jimmy Medranda,,"$ 3,462","$ 180,000",LB,27,Reserve,"Dec 31, 2021",1-yr,"$ 180,000",Seattle Sounders,Mls,2021
11,Jordy Delem,,"$ 3,365","$ 175,000",DM,28,Reserve,"Dec 31, 2021",1-yr,"$ 175,000",Seattle Sounders,Mls,2021
12,Nouhou Tolo,,"$ 2,404","$ 125,000",LB,23,Starter,"Dec 31, 2021",1-yr,"$ 125,000",Seattle Sounders,Mls,2021
13,Shane O'Neill,,"$ 2,212","$ 115,000",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 115,000",Seattle Sounders,Mls,2021
14,Stefan Cleveland,,"$ 1,853","$ 96,375",GK,26,Reserve,"Dec 31, 2021",1-yr,"$ 96,375",Seattle Sounders,Mls,2021
15,Alex Roldán,,"$ 1,800","$ 93,581",RB,24,Starter,"Dec 31, 2021",1-yr,"$ 93,581",Seattle Sounders,Mls,2021
16,Alfonso Ocampo-Chávez,,"$ 1,565","$ 81,375",CF,19,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Seattle Sounders,Mls,2021
17,Spencer Richey,,"$ 1,565","$ 81,375",GK,28,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Seattle Sounders,Mls,2021
18,Fredy Montero,,"$ 1,565","$ 81,375",CF,33,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Seattle Sounders,Mls,2021
19,Danny Leyva,,"$ 1,565","$ 81,375",DM,18,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Seattle Sounders,Mls,2021
20,Ethan Dobbelaere,,"$ 1,295","$ 67,360",RM,18,Reserve,"Dec 31, 2021",1-yr,"$ 67,360",Seattle Sounders,Mls,2021
21,Josh Atencio,,"$ 1,222","$ 63,547",DM,19,Starter,"Dec 31, 2021",1-yr,"$ 63,547",Seattle Sounders,Mls,2021
22,Reed Baker-Whiting,,$ 0,$ 0,CM,16,Reserve,"Dec 31, 2024",4-yrs,$ 0,Seattle Sounders,Mls,2021
