,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Darlington Nagbe,,"$ 32,885","$ 1,710,000",CM,30,Starter,"Dec 31, 2021",1-yr,"$ 1,710,000",Columbus Crew,Mls,2021
1,Lucas Zelarayán,,"$ 31,154","$ 1,620,000",AM,28,Starter,"Dec 31, 2021",1-yr,"$ 1,620,000",Columbus Crew,Mls,2021
2,Gyasi Zardes,,"$ 25,962","$ 1,350,000",CF,29,Starter,"Dec 31, 2021",1-yr,"$ 1,350,000",Columbus Crew,Mls,2021
3,Jonathan Mensah,,"$ 19,231","$ 1,000,000",CB,30,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Columbus Crew,Mls,2021
4,Pedro Santos,,"$ 15,722","$ 817,560",RW,33,Starter,"Dec 31, 2021",1-yr,"$ 817,560",Columbus Crew,Mls,2021
5,Kevin Molino,,"$ 12,827","$ 667,000",RW,30,Reserve,"Dec 31, 2021",1-yr,"$ 667,000",Columbus Crew,Mls,2021
6,Artur,,"$ 9,231","$ 480,000",DM,25,Starter,"Dec 31, 2021",1-yr,"$ 480,000",Columbus Crew,Mls,2021
7,Eloy Room,,"$ 8,173","$ 425,004",GK,32,Starter,"Dec 31, 2021",1-yr,"$ 425,004",Columbus Crew,Mls,2021
8,Vito Wormgoor,,"$ 7,981","$ 415,000",CB,32,Reserve,"Dec 31, 2021",1-yr,"$ 415,000",Columbus Crew,Mls,2021
9,Bradley Wright-Phillips,,"$ 7,885","$ 410,000",CF,36,Reserve,"Dec 31, 2021",1-yr,"$ 410,000",Columbus Crew,Mls,2021
10,Evan Bush,,"$ 7,231","$ 376,000",GK,35,Reserve,"Dec 31, 2021",1-yr,"$ 376,000",Columbus Crew,Mls,2021
11,Milton Valenzuela,,"$ 7,212","$ 375,000",LB,22,Reserve,"Dec 31, 2021",1-yr,"$ 375,000",Columbus Crew,Mls,2021
12,Alexandru Matan,,"$ 7,212","$ 375,000",AM,21,Reserve,"Dec 31, 2021",1-yr,"$ 375,000",Columbus Crew,Mls,2021
13,Luis Díaz,,"$ 6,731","$ 350,004",RM,22,Starter,"Dec 31, 2021",1-yr,"$ 350,004",Columbus Crew,Mls,2021
14,Harrison Afful,,"$ 6,442","$ 335,000",RB,34,Starter,"Dec 31, 2021",1-yr,"$ 335,000",Columbus Crew,Mls,2021
15,Josh Williams,,"$ 5,769","$ 300,000",CB,33,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Columbus Crew,Mls,2021
16,Perry Kitchen,,"$ 5,288","$ 275,000",DM,29,Reserve,"Dec 31, 2021",1-yr,"$ 275,000",Columbus Crew,Mls,2021
17,Waylon Francis,,"$ 4,231","$ 220,000",LB,30,Starter,"Dec 31, 2021",1-yr,"$ 220,000",Columbus Crew,Mls,2021
18,Aidan Morris,,"$ 2,788","$ 145,000",CM,19,Reserve,"Dec 31, 2021",1-yr,"$ 145,000",Columbus Crew,Mls,2021
19,Grant Lillard,,"$ 2,404","$ 125,000",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Columbus Crew,Mls,2021
20,Saad Abdul-Salaam,,"$ 2,404","$ 125,000",RB,29,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Columbus Crew,Mls,2021
21,Derrick Etienne Jr,,"$ 2,404","$ 125,000",LW,24,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Columbus Crew,Mls,2021
22,Aboubacar Keita,,"$ 2,115","$ 110,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 110,000",Columbus Crew,Mls,2021
23,Liam Fraser,,"$ 1,721","$ 89,513",DM,23,Reserve,"Dec 31, 2021",1-yr,"$ 89,513",Columbus Crew,Mls,2021
24,Miguel Berry,,"$ 1,643","$ 85,444",CF,23,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Columbus Crew,Mls,2021
25,Eric Dick,,"$ 1,643","$ 85,444",GK,26,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Columbus Crew,Mls,2021
26,Matt Lampson,,"$ 1,643","$ 85,444",GK,31,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Columbus Crew,Mls,2021
27,Marlon Hairston,,"$ 1,565","$ 81,375",RW,27,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Columbus Crew,Mls,2021
28,Isaiah Parente,,"$ 1,222","$ 63,547",CM,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Columbus Crew,Mls,2021
