,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Jamiro Monteiro,,"$ 25,000","$ 1,300,000",CM,27,Starter,"Dec 31, 2022",2-yrs,"$ 2,600,000",Philadelphia Union,Mls,2021
1,Kacper Przybylko,,"$ 15,865","$ 825,000",CF,28,Starter,"Dec 31, 2023",3-yrs,"$ 2,475,000",Philadelphia Union,Mls,2021
2,Alejandro Bedoya,,"$ 15,577","$ 810,000",CM,34,Starter,"Dec 31, 2021",1-yr,"$ 810,000",Philadelphia Union,Mls,2021
3,Sergio Santos,,"$ 12,692","$ 660,000",CF,26,Reserve,"Dec 31, 2022",2-yrs,"$ 1,320,000",Philadelphia Union,Mls,2021
4,Andre Blake,,"$ 11,538","$ 600,000",GK,30,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Philadelphia Union,Mls,2021
5,Ilsinho,,"$ 8,654","$ 450,000",RM,35,Reserve,"Dec 31, 2021",1-yr,"$ 450,000",Philadelphia Union,Mls,2021
6,Kai Wagner,,"$ 8,654","$ 450,000",LB,24,Starter,"Dec 31, 2022",2-yrs,"$ 900,000",Philadelphia Union,Mls,2021
7,Stuart Findlay,,"$ 8,173","$ 425,000",CB,25,Reserve,"Dec 31, 2022",2-yrs,"$ 850,000",Philadelphia Union,Mls,2021
8,Jakob Glesnes,,"$ 8,173","$ 425,000",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 425,000",Philadelphia Union,Mls,2021
9,Cory Burke,,"$ 6,731","$ 350,000",CF,29,Starter,"Dec 31, 2022",2-yrs,"$ 700,000",Philadelphia Union,Mls,2021
10,Jack Elliott,,"$ 6,250","$ 325,000",CB,25,Starter,"Dec 31, 2021",1-yr,"$ 325,000",Philadelphia Union,Mls,2021
11,Matej Oravec,,"$ 5,192","$ 270,000",DM,23,Reserve,"Dec 31, 2022",2-yrs,"$ 540,000",Philadelphia Union,Mls,2021
12,José Andrés Martínez,,"$ 4,327","$ 225,000",DM,26,Reserve,"Dec 31, 2022",2-yrs,"$ 450,000",Philadelphia Union,Mls,2021
13,Joe Bendik,,"$ 3,846","$ 200,000",GK,32,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Philadelphia Union,Mls,2021
14,Jack de Vries,,"$ 2,308","$ 120,000",RM,19,Reserve,"Dec 31, 2021",1-yr,"$ 120,000",Philadelphia Union,Mls,2021
15,Anthony Fontana,,"$ 1,923","$ 100,008",AM,21,Starter,"Dec 31, 2021",1-yr,"$ 100,008",Philadelphia Union,Mls,2021
16,Matt Freese,,"$ 1,861","$ 96,750",GK,22,Reserve,"Dec 31, 2021",1-yr,"$ 96,750",Philadelphia Union,Mls,2021
17,Matt Real,,"$ 1,731","$ 90,000",LB,21,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",Philadelphia Union,Mls,2021
18,Olivier Mbaizo,,"$ 1,721","$ 89,513",RB,23,Starter,"Dec 31, 2021",1-yr,"$ 89,513",Philadelphia Union,Mls,2021
19,Paxten Aaronson,,"$ 1,683","$ 87,500",AM,17,Reserve,"Dec 31, 2021",1-yr,"$ 87,500",Philadelphia Union,Mls,2021
20,Cole Turner,,"$ 1,643","$ 85,444",DM,19,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Philadelphia Union,Mls,2021
21,Nathan Harriel,,"$ 1,346","$ 70,000",RB,20,Reserve,"Dec 31, 2021",1-yr,"$ 70,000",Philadelphia Union,Mls,2021
22,Brandan Craig,,"$ 1,250","$ 65,000",CB,17,Reserve,"Dec 31, 2021",1-yr,"$ 65,000",Philadelphia Union,Mls,2021
23,Jack McGlynn,,"$ 1,250","$ 64,992",CM,17,Reserve,"Dec 31, 2021",1-yr,"$ 64,992",Philadelphia Union,Mls,2021
24,Quinn Sullivan,,"$ 1,222","$ 63,547",AM,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Philadelphia Union,Mls,2021
25,Dániel Gazdag,,$ 0,$ 0,AM,25,Reserve,"Dec 31, 2022",2-yrs,$ 0,Philadelphia Union,Mls,2021
26,Leon Flach,,$ 0,$ 0,CM,20,Starter,"Dec 31, 2022",2-yrs,$ 0,Philadelphia Union,Mls,2021
27,Greg Ranjitsingh,,$ 0,$ 0,GK,27,Reserve,"Dec 31, 2021",1-yr,$ 0,Philadelphia Union,Mls,2021
28,Aurélien Collin,,$ 0,$ 0,CB,35,Reserve,"Dec 31, 2021",1-yr,$ 0,Philadelphia Union,Mls,2021
