,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Cristian Espinoza,,"$ 22,115","$ 1,150,000",RW,26,Starter,"Dec 31, 2021",1-yr,"$ 1,150,000",San Jose Earthquakes,Mls,2021
1,Andrés Ríos,,"$ 16,731","$ 870,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 870,000",San Jose Earthquakes,Mls,2021
2,Javier López,,"$ 16,538","$ 860,000",AM,26,Starter,"Jun 30, 2022",1-yr,"$ 860,000",San Jose Earthquakes,Mls,2021
3,Carlos Fierro,,"$ 16,346","$ 850,000",LW,26,Starter,"Dec 31, 2021",1-yr,"$ 850,000",San Jose Earthquakes,Mls,2021
4,Oswaldo Alanís,,"$ 12,115","$ 630,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 630,000",San Jose Earthquakes,Mls,2021
5,Jackson Yueill,,"$ 11,538","$ 600,000",CM,24,Starter,"Dec 31, 2021",1-yr,"$ 600,000",San Jose Earthquakes,Mls,2021
6,Florian Jungwirth,,"$ 10,096","$ 525,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 525,000",San Jose Earthquakes,Mls,2021
7,Eric Remedi,,"$ 8,654","$ 450,000",DM,25,Starter,"Dec 31, 2021",1-yr,"$ 450,000",San Jose Earthquakes,Mls,2021
8,Chris Wondolowski,,"$ 7,500","$ 390,000",CF,38,Reserve,"Dec 31, 2021",1-yr,"$ 390,000",San Jose Earthquakes,Mls,2021
9,Luciano Abecasis,,"$ 7,308","$ 380,000",RB,30,Reserve,"Dec 31, 2021",1-yr,"$ 380,000",San Jose Earthquakes,Mls,2021
10,Judson,,"$ 6,923","$ 360,000",DM,27,Reserve,"Dec 31, 2021",1-yr,"$ 360,000",San Jose Earthquakes,Mls,2021
11,Marcos López,,"$ 6,346","$ 330,000",LB,21,Reserve,"Dec 31, 2021",1-yr,"$ 330,000",San Jose Earthquakes,Mls,2021
12,Shea Salinas,,"$ 5,385","$ 280,000",LW,34,Reserve,"Dec 31, 2021",1-yr,"$ 280,000",San Jose Earthquakes,Mls,2021
13,Tommy Thompson,,"$ 5,096","$ 265,000",RB,25,Starter,"Dec 31, 2021",1-yr,"$ 265,000",San Jose Earthquakes,Mls,2021
14,Daniel Vega,,"$ 4,231","$ 220,000",GK,36,Reserve,"Dec 31, 2021",1-yr,"$ 220,000",San Jose Earthquakes,Mls,2021
15,Eric Calvillo,,"$ 3,269","$ 170,000",CM,23,Reserve,"Dec 31, 2021",1-yr,"$ 170,000",San Jose Earthquakes,Mls,2021
16,JT Marcinkowski,,"$ 3,173","$ 165,000",GK,24,Starter,"Dec 31, 2021",1-yr,"$ 165,000",San Jose Earthquakes,Mls,2021
17,Cade Cowell,,"$ 2,308","$ 120,000",CF,17,Starter,"Dec 31, 2021",1-yr,"$ 120,000",San Jose Earthquakes,Mls,2021
18,Matt Bersano,,"$ 2,046","$ 106,375",GK,28,Reserve,"Dec 31, 2021",1-yr,"$ 106,375",San Jose Earthquakes,Mls,2021
19,Jacob Akanyirige,,"$ 2,019","$ 105,000",RB,19,Reserve,"Dec 31, 2021",1-yr,"$ 105,000",San Jose Earthquakes,Mls,2021
20,Siad Haji,,"$ 1,827","$ 95,000",RW,21,Reserve,"Dec 31, 2021",1-yr,"$ 95,000",San Jose Earthquakes,Mls,2021
21,Tanner Beason,,"$ 1,731","$ 90,000",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",San Jose Earthquakes,Mls,2021
22,Paul Marie,,"$ 1,565","$ 81,375",RB,26,Starter,"Dec 31, 2021",1-yr,"$ 81,375",San Jose Earthquakes,Mls,2021
23,Jack Skahan,,"$ 1,283","$ 66,724",CM,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",San Jose Earthquakes,Mls,2021
24,Emmanuel Ochoa,,"$ 1,250","$ 65,000",GK,16,Reserve,"Dec 31, 2021",1-yr,"$ 65,000",San Jose Earthquakes,Mls,2021
25,Benjamin Kikanovic,,"$ 1,222","$ 63,547",CF,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",San Jose Earthquakes,Mls,2021
