,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Franco Jara,,"$ 44,038","$ 2,290,000",CF,32,Starter,"Dec 31, 2021",1-yr,"$ 2,290,000",FC Dallas,Mls,2021
1,Matt Hedges,,"$ 16,346","$ 850,000",CB,31,Starter,"Dec 31, 2021",1-yr,"$ 850,000",FC Dallas,Mls,2021
2,Bryan Acosta,,"$ 12,500","$ 650,000",CM,27,Starter,"Dec 31, 2021",1-yr,"$ 650,000",FC Dallas,Mls,2021
3,José Antonio Martínez,,"$ 11,538","$ 600,000",CB,28,Starter,"Dec 31, 2023",3-yrs,"$ 1,800,000",FC Dallas,Mls,2021
4,Paxton Pomykal,,"$ 11,538","$ 600,000",AM,21,Reserve,"Dec 31, 2021",1-yr,"$ 600,000",FC Dallas,Mls,2021
5,Jesús Ferreira,,"$ 10,577","$ 550,000",CF,20,Reserve,"Dec 31, 2021",1-yr,"$ 550,000",FC Dallas,Mls,2021
6,Bressan,,"$ 10,308","$ 536,000",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 536,000",FC Dallas,Mls,2021
7,Andrés Ricaurte,,"$ 8,654","$ 450,000",AM,29,Reserve,"Dec 31, 2021",1-yr,"$ 450,000",FC Dallas,Mls,2021
8,Jáder Obrian,,"$ 6,923","$ 360,000",RW,25,Starter,"Dec 31, 2023",3-yrs,"$ 1,080,000",FC Dallas,Mls,2021
9,Ryan Hollingshead,,"$ 6,663","$ 346,500",LB,30,Starter,"Dec 31, 2021",1-yr,"$ 346,500",FC Dallas,Mls,2021
10,Ema Twumasi,,"$ 3,846","$ 200,000",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",FC Dallas,Mls,2021
11,Freddy Vargas,,"$ 3,077","$ 160,000",LW,22,Starter,"Dec 31, 2021",1-yr,"$ 160,000",FC Dallas,Mls,2021
12,Jimmy Maurer,,"$ 3,041","$ 158,125",GK,32,Starter,"Dec 31, 2021",1-yr,"$ 158,125",FC Dallas,Mls,2021
13,Thomas Roberts,,"$ 2,885","$ 150,000",CM,20,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",FC Dallas,Mls,2021
14,Phelipe,,"$ 2,885","$ 150,000",GK,22,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",FC Dallas,Mls,2021
15,John Nelson,,"$ 2,212","$ 115,000",LB,22,Starter,"Dec 31, 2021",1-yr,"$ 115,000",FC Dallas,Mls,2021
16,Tanner Tessmann,,"$ 2,212","$ 115,000",CM,19,Starter,"Dec 31, 2022",2-yrs,"$ 230,000",FC Dallas,Mls,2021
17,Dante Sealy,,"$ 1,923","$ 100,000",LW,18,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",FC Dallas,Mls,2021
18,Edwin Cerrillo,,"$ 1,827","$ 95,000",DM,20,Reserve,"Dec 31, 2021",1-yr,"$ 95,000",FC Dallas,Mls,2021
19,Ricardo Pepi,,"$ 1,731","$ 90,000",CF,18,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",FC Dallas,Mls,2021
20,Kyle Zobeck,,"$ 1,643","$ 85,444",GK,31,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",FC Dallas,Mls,2021
21,Nkosi Burgess,,"$ 1,283","$ 66,724",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",FC Dallas,Mls,2021
22,Eddie Munjoma,,"$ 1,283","$ 66,724",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",FC Dallas,Mls,2021
23,Beni Redzic,,"$ 1,222","$ 63,547",LW,18,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",FC Dallas,Mls,2021
24,Kalil ElMedkhar,,"$ 1,222","$ 63,547",LW,21,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",FC Dallas,Mls,2021
25,Szabolcs Schön,,$ 0,$ 0,LW,20,Reserve,"Dec 31, 2023",3-yrs,$ 0,FC Dallas,Mls,2021
