,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Maxi Moralez,,"$ 48,077","$ 2,500,000",AM,34,Reserve,"Dec 31, 2021",1-yr,"$ 2,500,000",Nyc FC,Mls,2021
1,Jesús Medina,,"$ 20,192","$ 1,050,000",RW,24,Starter,"Dec 31, 2021",1-yr,"$ 1,050,000",Nyc FC,Mls,2021
2,Maxime Chanot,,"$ 15,096","$ 785,000",CB,31,Starter,"Dec 31, 2021",1-yr,"$ 785,000",Nyc FC,Mls,2021
3,Héber,,"$ 15,096","$ 785,000",CF,29,Reserve,"Dec 31, 2021",1-yr,"$ 785,000",Nyc FC,Mls,2021
4,Alexander Callens,,"$ 13,462","$ 700,000",CB,29,Starter,"Dec 31, 2021",1-yr,"$ 700,000",Nyc FC,Mls,2021
5,Alfredo Morales,,"$ 11,538","$ 600,000",CM,31,Reserve,"Dec 31, 2023",3-yrs,"$ 1,800,000",Nyc FC,Mls,2021
6,Anton Tinnerholm,,"$ 11,538","$ 600,000",RB,30,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Nyc FC,Mls,2021
7,Ismael Tajouri-Shradi,,"$ 11,106","$ 577,500",RW,27,Starter,"Dec 31, 2021",1-yr,"$ 577,500",Nyc FC,Mls,2021
8,Sean Johnson,,"$ 9,808","$ 510,000",GK,31,Starter,"Dec 31, 2021",1-yr,"$ 510,000",Nyc FC,Mls,2021
9,Gudmundur Thórarinsson,,"$ 7,692","$ 400,000",CM,29,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Nyc FC,Mls,2021
10,Keaton Parks,,"$ 6,731","$ 350,000",DM,23,Starter,"Dec 31, 2021",1-yr,"$ 350,000",Nyc FC,Mls,2021
11,Valentín Castellanos,,"$ 5,769","$ 300,000",CF,22,Starter,"Dec 31, 2025",5-yrs,"$ 1,500,000",Nyc FC,Mls,2021
12,Malte Amundsen,,"$ 4,615","$ 240,000",LB,23,Reserve,"Dec 31, 2021",1-yr,"$ 240,000",Nyc FC,Mls,2021
13,Chris Gloster,,"$ 3,788","$ 197,000",LB,20,Reserve,"Dec 31, 2023",3-yrs,"$ 591,000",Nyc FC,Mls,2021
14,Thiago Andrade,,"$ 3,462","$ 180,000",LW,20,Reserve,"Dec 31, 2024",4-yrs,"$ 720,000",Nyc FC,Mls,2021
15,Sebastien Ibeagha,,"$ 2,885","$ 150,000",CB,29,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Nyc FC,Mls,2021
16,James Sands,,"$ 2,885","$ 150,000",DM,20,Starter,"Dec 31, 2026",6-yrs,"$ 900,000",Nyc FC,Mls,2021
17,Nicolás Acevedo,,"$ 2,596","$ 135,000",DM,22,Starter,"Dec 31, 2021",1-yr,"$ 135,000",Nyc FC,Mls,2021
18,Tayvon Gray,,"$ 1,827","$ 95,000",CB,18,Reserve,"Dec 31, 2021",1-yr,"$ 95,000",Nyc FC,Mls,2021
19,Tony Rocha,,"$ 1,643","$ 85,444",CM,27,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Nyc FC,Mls,2021
20,Gedion Zelalem,,"$ 1,565","$ 81,375",CM,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nyc FC,Mls,2021
21,Cody Mizell,,"$ 1,565","$ 81,375",GK,29,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nyc FC,Mls,2021
22,Luis Barraza,,"$ 1,565","$ 81,375",GK,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nyc FC,Mls,2021
23,Justin Haak,,"$ 1,565","$ 81,375",CM,19,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Nyc FC,Mls,2021
24,Vuk Latinovich,,"$ 1,222","$ 63,547",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Nyc FC,Mls,2021
25,Andres Jasson,,"$ 1,222","$ 63,547",LW,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Nyc FC,Mls,2021
