,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Carles Gil,,"$ 43,269","$ 2,250,000",AM,28,Starter,"Dec 31, 2021",1-yr,"$ 2,250,000",Ne Revolution,Mls,2021
1,Gustavo Bou,,"$ 40,769","$ 2,120,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 2,120,000",Ne Revolution,Mls,2021
2,Adam Buksa,,"$ 19,231","$ 1,000,000",CF,24,Starter,"Dec 31, 2022",2-yrs,"$ 2,000,000",Ne Revolution,Mls,2021
3,Wilfrid Kaptoum,,"$ 9,615","$ 500,000",CM,24,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",Ne Revolution,Mls,2021
4,Andrew Farrell,,"$ 7,692","$ 400,000",RB,29,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Ne Revolution,Mls,2021
5,Christian Mafla,,"$ 7,692","$ 400,000",LB,28,Reserve,"Nov 30, 2021",1-yr,"$ 400,000",Ne Revolution,Mls,2021
6,Arnór Ingvi Traustason,,"$ 7,212","$ 375,000",LW,28,Starter,"Dec 31, 2022",2-yrs,"$ 750,000",Ne Revolution,Mls,2021
7,Matt Turner,,"$ 7,212","$ 375,000",GK,26,Starter,"Dec 31, 2021",1-yr,"$ 375,000",Ne Revolution,Mls,2021
8,Teal Bunbury,,"$ 7,212","$ 375,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 375,000",Ne Revolution,Mls,2021
9,Luis Caicedo,,"$ 6,731","$ 350,000",DM,24,Reserve,"Nov 30, 2021",1-yr,"$ 350,000",Ne Revolution,Mls,2021
10,Matt Polster,,"$ 5,769","$ 300,000",DM,27,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Ne Revolution,Mls,2021
11,AJ DeLaGarza,,"$ 4,808","$ 250,000",RB,33,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Ne Revolution,Mls,2021
12,Tommy McNamara,,"$ 4,327","$ 225,000",LW,30,Reserve,"Dec 31, 2021",1-yr,"$ 225,000",Ne Revolution,Mls,2021
13,Scott Caldwell,,"$ 3,942","$ 205,000",CM,30,Reserve,"Dec 31, 2021",1-yr,"$ 205,000",Ne Revolution,Mls,2021
14,Emmanuel Boateng,,"$ 3,846","$ 200,000",LM,27,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Ne Revolution,Mls,2021
15,Brandon Bye,,"$ 3,269","$ 170,000",RB,25,Starter,"Dec 31, 2021",1-yr,"$ 170,000",Ne Revolution,Mls,2021
16,Brad Knighton,,"$ 2,692","$ 140,000",GK,36,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",Ne Revolution,Mls,2021
17,Tajon Buchanan,,"$ 2,115","$ 110,000",RW,22,Starter,"Dec 31, 2021",1-yr,"$ 110,000",Ne Revolution,Mls,2021
18,Justin Rennicks,,"$ 1,923","$ 100,000",CF,22,Reserve,"Nov 30, 2021",1-yr,"$ 100,000",Ne Revolution,Mls,2021
19,Henry Kessler,,"$ 1,827","$ 95,000",CB,22,Reserve,"Dec 31, 2021",1-yr,"$ 95,000",Ne Revolution,Mls,2021
20,DeJuan Jones,,"$ 1,827","$ 95,000",LB,23,Starter,"Dec 31, 2021",1-yr,"$ 95,000",Ne Revolution,Mls,2021
21,Collin Verfurth,,"$ 1,565","$ 81,375",CB,25,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Ne Revolution,Mls,2021
22,Maciel,,"$ 1,222","$ 63,547",CM,21,Starter,"Dec 31, 2021",1-yr,"$ 63,547",Ne Revolution,Mls,2021
23,Jon Bell,,"$ 1,222","$ 63,547",CB,23,Starter,"Dec 31, 2021",1-yr,"$ 63,547",Ne Revolution,Mls,2021
24,Edward Kizza,,"$ 1,222","$ 63,547",CF,22,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Ne Revolution,Mls,2021
25,Damien Rivera,,"$ 1,222","$ 63,547",AM,18,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Ne Revolution,Mls,2021
