,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Jürgen Locadia,,"$ 48,077","$ 2,500,000",CF,27,Reserve,"Jun 30, 2021",1-yr,"$ 2,500,000",FC Cincinnati,Mls,2021
1,Luciano Acosta,,"$ 37,375","$ 1,943,500",AM,26,Starter,"Dec 31, 2023",3-yrs,"$ 5,830,500",FC Cincinnati,Mls,2021
2,Brenner,,"$ 23,497","$ 1,221,818",CF,21,Starter,"Dec 31, 2021",1-yr,"$ 1,221,818",FC Cincinnati,Mls,2021
3,Yuya Kubo,,"$ 20,981","$ 1,091,000",CF,27,Starter,"Dec 31, 2021",1-yr,"$ 1,091,000",FC Cincinnati,Mls,2021
4,Allan Cruz,,"$ 19,615","$ 1,020,000",CM,25,Reserve,"Dec 31, 2021",1-yr,"$ 1,020,000",FC Cincinnati,Mls,2021
5,Kamohelo Mokotjo,,"$ 17,788","$ 925,000",DM,30,Starter,"Dec 31, 2021",1-yr,"$ 925,000",FC Cincinnati,Mls,2021
6,Kenneth Vermeer,,"$ 14,423","$ 750,000",GK,35,Reserve,"Dec 31, 2022",2-yrs,"$ 1,500,000",FC Cincinnati,Mls,2021
7,Ronald Matarrita,,"$ 13,462","$ 700,000",LB,26,Starter,"Dec 31, 2021",1-yr,"$ 700,000",FC Cincinnati,Mls,2021
8,Haris Medunjanin,,"$ 10,962","$ 570,000",CM,36,Reserve,"Dec 31, 2021",1-yr,"$ 570,000",FC Cincinnati,Mls,2021
9,Maikel van der Werff,,"$ 6,731","$ 350,000",CB,32,Reserve,"Dec 31, 2021",1-yr,"$ 350,000",FC Cincinnati,Mls,2021
10,Tom Pettersson,,"$ 6,250","$ 325,000",CB,31,Starter,"Dec 31, 2021",1-yr,"$ 325,000",FC Cincinnati,Mls,2021
11,Álvaro Barreal,,"$ 5,769","$ 300,000",LW,20,Starter,"Dec 31, 2021",1-yr,"$ 300,000",FC Cincinnati,Mls,2021
12,Franko Kovacevic,,"$ 5,423","$ 282,000",CF,21,Reserve,"Jun 30, 2021",1-yr,"$ 282,000",FC Cincinnati,Mls,2021
13,Joseph-Claude Gyau,,"$ 5,250","$ 273,000",LW,28,Starter,"Dec 31, 2021",1-yr,"$ 273,000",FC Cincinnati,Mls,2021
14,Przemyslaw Tyton,,"$ 5,048","$ 262,500",GK,34,Starter,"Dec 31, 2021",1-yr,"$ 262,500",FC Cincinnati,Mls,2021
15,Isaac Atanga,,"$ 4,981","$ 259,000",RW,20,Reserve,"Dec 31, 2023",3-yrs,"$ 777,000",FC Cincinnati,Mls,2021
16,Gustavo Vallecilla,,"$ 4,846","$ 252,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 252,000",FC Cincinnati,Mls,2021
17,Brandon Vázquez,,"$ 4,808","$ 250,000",CF,22,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",FC Cincinnati,Mls,2021
18,Caleb Stanko,,"$ 4,038","$ 210,000",DM,27,Reserve,"Dec 31, 2021",1-yr,"$ 210,000",FC Cincinnati,Mls,2021
19,Nick Hagglund,,"$ 3,365","$ 175,000",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 175,000",FC Cincinnati,Mls,2021
20,Edgar Castillo,,"$ 2,327","$ 121,000",LB,34,Reserve,"Dec 31, 2021",1-yr,"$ 121,000",FC Cincinnati,Mls,2021
21,Cody Cropper,,"$ 1,565","$ 81,375",GK,28,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",FC Cincinnati,Mls,2021
22,Calvin Harris,,"$ 1,565","$ 81,375",LW,21,Starter,"Dec 31, 2021",1-yr,"$ 81,375",FC Cincinnati,Mls,2021
23,Ben Mines,,"$ 1,565","$ 81,375",RW,21,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",FC Cincinnati,Mls,2021
24,Zico Bailey,,"$ 1,283","$ 66,724",RB,20,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",FC Cincinnati,Mls,2021
25,Avionne Flanagan,,"$ 1,222","$ 63,547",CB,22,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",FC Cincinnati,Mls,2021
26,Beckham Sunderland,,"$ 1,222","$ 63,547",GK,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",FC Cincinnati,Mls,2021
27,Geoff Cameron,,$ 0,$ 0,DM,35,Reserve,"Dec 31, 2022",2-yrs,$ 0,FC Cincinnati,Mls,2021
