,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Alejandro Pozuelo,,"$ 73,077","$ 3,800,000",AM,29,Reserve,"Dec 31, 2021",1-yr,"$ 3,800,000",Toronto FC,Mls,2021
1,Jozy Altidore,,"$ 41,563","$ 2,161,250",CF,31,Reserve,"Dec 31, 2022",2-yrs,"$ 4,322,500",Toronto FC,Mls,2021
2,Michael Bradley,,"$ 28,846","$ 1,500,000",CM,33,Starter,"Dec 31, 2021",1-yr,"$ 1,500,000",Toronto FC,Mls,2021
3,Jonathan Osorio,,"$ 16,346","$ 850,000",CM,28,Reserve,"Dec 31, 2021",1-yr,"$ 850,000",Toronto FC,Mls,2021
4,Chris Mavinga,,"$ 16,346","$ 850,000",CB,29,Starter,"Dec 31, 2022",2-yrs,"$ 1,700,000",Toronto FC,Mls,2021
5,Omar González,,"$ 15,000","$ 780,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 780,000",Toronto FC,Mls,2021
6,Marky Delgado,,"$ 9,615","$ 500,000",CM,26,Starter,"Dec 31, 2021",1-yr,"$ 500,000",Toronto FC,Mls,2021
7,Alex Bono,,"$ 8,654","$ 450,000",GK,27,Starter,"Dec 31, 2021",1-yr,"$ 450,000",Toronto FC,Mls,2021
8,Auro Jr,,"$ 6,923","$ 360,000",RB,25,Starter,"Dec 31, 2021",1-yr,"$ 360,000",Toronto FC,Mls,2021
9,Erickson Gallardo,,"$ 5,769","$ 300,000",RW,24,Reserve,"Dec 31, 2021",1-yr,"$ 300,000",Toronto FC,Mls,2021
10,Quentin Westberg,,"$ 5,288","$ 275,000",GK,35,Reserve,"Dec 31, 2021",1-yr,"$ 275,000",Toronto FC,Mls,2021
11,Nick DeLeon,,"$ 4,760","$ 247,500",RM,30,Starter,"Dec 31, 2021",1-yr,"$ 247,500",Toronto FC,Mls,2021
12,Patrick Mullins,,"$ 4,519","$ 234,996",CF,29,Reserve,"Dec 31, 2021",1-yr,"$ 234,996",Toronto FC,Mls,2021
13,Richie Laryea,,"$ 3,846","$ 200,000",RB,26,Starter,"Dec 31, 2021",1-yr,"$ 200,000",Toronto FC,Mls,2021
14,Justin Morrow,,"$ 2,404","$ 125,000",LB,33,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Toronto FC,Mls,2021
15,Jacob Shaffelburg,,"$ 2,115","$ 110,000",LW,21,Reserve,"Dec 31, 2021",1-yr,"$ 110,000",Toronto FC,Mls,2021
16,Noble Okello,,"$ 1,923","$ 100,000",DM,20,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Toronto FC,Mls,2021
17,Jahkeele Marshall-Rutty,,"$ 1,923","$ 100,000",RW,16,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Toronto FC,Mls,2021
18,Jayden Nelson,,"$ 1,923","$ 100,000",LW,18,Starter,"Dec 31, 2021",1-yr,"$ 100,000",Toronto FC,Mls,2021
19,Tsubasa Endoh,,"$ 1,923","$ 100,000",RW,27,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Toronto FC,Mls,2021
20,Ayo Akinola,,"$ 1,721","$ 89,513",CF,21,Starter,"Dec 31, 2021",1-yr,"$ 89,513",Toronto FC,Mls,2021
21,Julian Dunn,,"$ 1,643","$ 85,444",CB,20,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Toronto FC,Mls,2021
22,Eriq Zavaleta,,"$ 1,565","$ 81,375",CB,28,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Toronto FC,Mls,2021
23,Ralph Priso-Mbongue,,"$ 1,283","$ 66,724",DM,18,Starter,"Dec 31, 2021",1-yr,"$ 66,724",Toronto FC,Mls,2021
24,Kevin Silva,,"$ 1,283","$ 66,724",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Toronto FC,Mls,2021
25,Ifunanyachi Achara,,"$ 1,283","$ 66,724",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Toronto FC,Mls,2021
26,Jordan Perruzza,,"$ 1,222","$ 63,547",CF,20,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Toronto FC,Mls,2021
27,Yeferson Soteldo,,$ 0,$ 0,LW,23,Reserve,"Dec 31, 2024",4-yrs,$ 0,Toronto FC,Mls,2021
28,Kemar Lawrence,,$ 0,$ 0,LB,28,Reserve,"Dec 31, 2024",4-yrs,$ 0,Toronto FC,Mls,2021
29,Dom Dwyer,,$ 0,$ 0,CF,30,Reserve,"Dec 31, 2022",2-yrs,$ 0,Toronto FC,Mls,2021
30,Luke Singh,,$ 0,$ 0,CB,19,Reserve,"Dec 31, 2025",5-yrs,$ 0,Toronto FC,Mls,2021
