,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Victor Wanyama,,"$ 46,154","$ 2,400,000",DM,29,Starter,"Dec 31, 2022",2-yrs,"$ 4,800,000",Montreal Impact,Mls,2021
1,Aljaz Struna,,"$ 21,154","$ 1,100,000",CB,30,Starter,"Dec 31, 2022",2-yrs,"$ 2,200,000",Montreal Impact,Mls,2021
2,Björn Johnsen,,"$ 17,308","$ 900,000",CF,29,Reserve,"Dec 31, 2022",2-yrs,"$ 1,800,000",Montreal Impact,Mls,2021
3,Rudy Camacho,,"$ 15,385","$ 800,000",CB,30,Starter,"Dec 31, 2021",1-yr,"$ 800,000",Montreal Impact,Mls,2021
4,Romell Quioto,,"$ 15,385","$ 800,000",LW,29,Starter,"Dec 31, 2022",2-yrs,"$ 1,600,000",Montreal Impact,Mls,2021
5,Djordje Mihailovic,,"$ 11,538","$ 600,000",AM,22,Starter,"Dec 31, 2023",3-yrs,"$ 1,800,000",Montreal Impact,Mls,2021
6,Samuel Piette,,"$ 8,173","$ 425,000",DM,26,Starter,"Dec 31, 2022",2-yrs,"$ 850,000",Montreal Impact,Mls,2021
7,Ahmed Hamdi,,"$ 7,692","$ 400,000",AM,23,Reserve,"Dec 31, 2021",1-yr,"$ 400,000",Montreal Impact,Mls,2021
8,Lassi Lappalainen,,"$ 7,378","$ 383,657",LW,22,Reserve,"Dec 31, 2021",1-yr,"$ 383,657",Montreal Impact,Mls,2021
9,Luis Binks,,"$ 5,000","$ 260,000",CB,19,Reserve,"Dec 31, 2021",1-yr,"$ 260,000",Montreal Impact,Mls,2021
10,Ballou Tabla,,"$ 4,808","$ 250,000",LW,22,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Montreal Impact,Mls,2021
11,Erik Hurtado,,"$ 4,196","$ 218,182",CF,30,Reserve,"Dec 31, 2021",1-yr,"$ 218,182",Montreal Impact,Mls,2021
12,Sunusi Ibrahim,,"$ 3,846","$ 200,000",RW,18,Reserve,"Dec 31, 2023",3-yrs,"$ 600,000",Montreal Impact,Mls,2021
13,Joaquin Torres,,"$ 3,846","$ 200,000",RW,24,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Montreal Impact,Mls,2021
14,Mason Toye,,"$ 3,365","$ 175,000",CF,22,Starter,"Dec 31, 2021",1-yr,"$ 175,000",Montreal Impact,Mls,2021
15,Zachary Brault-Guillard,,"$ 3,269","$ 170,000",RB,22,Starter,"Dec 31, 2021",1-yr,"$ 170,000",Montreal Impact,Mls,2021
16,Clément Diop,,"$ 3,077","$ 160,000",GK,27,Starter,"Dec 31, 2021",1-yr,"$ 160,000",Montreal Impact,Mls,2021
17,Mustafa Kizza,,"$ 2,885","$ 150,000",LB,21,Starter,"Dec 31, 2021",1-yr,"$ 150,000",Montreal Impact,Mls,2021
18,James Pantemis,,"$ 2,500","$ 130,000",GK,24,Reserve,"Dec 31, 2022",2-yrs,"$ 260,000",Montreal Impact,Mls,2021
19,Emanuel Maciel,,"$ 2,273","$ 118,182",CM,24,Reserve,"Dec 31, 2021",1-yr,"$ 118,182",Montreal Impact,Mls,2021
20,Mathieu Choinière,,"$ 2,019","$ 105,000",LW,22,Reserve,"Dec 31, 2021",1-yr,"$ 105,000",Montreal Impact,Mls,2021
21,Clément Bayiha,,"$ 1,644","$ 85,500",RW,22,Reserve,"Dec 31, 2021",1-yr,"$ 85,500",Montreal Impact,Mls,2021
22,Kamal Miller,,"$ 1,643","$ 85,444",LB,24,Starter,"Dec 31, 2021",1-yr,"$ 85,444",Montreal Impact,Mls,2021
23,Zorhan Bassong,,"$ 1,565","$ 81,375",LB,22,Reserve,"Dec 31, 2022",2-yrs,"$ 162,750",Montreal Impact,Mls,2021
24,Joel Waterman,,"$ 1,565","$ 81,375",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Montreal Impact,Mls,2021
25,Amar Sejdic,,"$ 1,565","$ 81,375",DM,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Montreal Impact,Mls,2021
26,Jean-Aniel Assi,,"$ 1,222","$ 63,547",CF,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Montreal Impact,Mls,2021
27,Nathan-Dylan Saliba,,"$ 1,222","$ 63,547",CM,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Montreal Impact,Mls,2021
28,Rida Zouhir,,"$ 1,222","$ 63,547",CM,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Montreal Impact,Mls,2021
29,Sebastian Breza,,"$ 1,222","$ 63,547",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Montreal Impact,Mls,2021
