,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Cecilio Domínguez,,"$ 29,423","$ 1,530,000",LW,26,Starter,"Dec 31, 2024",4-yrs,"$ 6,120,000",Austin,Mls,2021
1,Alexander Ring,,"$ 19,231","$ 1,000,000",CM,30,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Austin,Mls,2021
2,Matt Besler,,"$ 12,500","$ 650,000",CB,34,Starter,"Dec 31, 2021",1-yr,"$ 650,000",Austin,Mls,2021
3,Danny Hoesen,,"$ 12,500","$ 650,000",CF,30,Starter,"Dec 31, 2021",1-yr,"$ 650,000",Austin,Mls,2021
4,Tomás Pochettino,,"$ 11,201","$ 582,447",CM,25,Starter,"Dec 31, 2021",1-yr,"$ 582,447",Austin,Mls,2021
5,Jhohan Romaña,,"$ 8,077","$ 420,000",CB,22,Starter,"Dec 31, 2021",1-yr,"$ 420,000",Austin,Mls,2021
6,Diego Fagúndez,,"$ 7,692","$ 400,000",LW,26,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Austin,Mls,2021
7,Rodney Redes,,"$ 7,404","$ 385,000",RW,21,Reserve,"Dec 31, 2021",1-yr,"$ 385,000",Austin,Mls,2021
8,Nick Lima,,"$ 6,731","$ 350,000",RB,26,Starter,"Dec 31, 2021",1-yr,"$ 350,000",Austin,Mls,2021
9,Julio Cascante,,"$ 5,577","$ 290,000",CB,27,Reserve,"Dec 31, 2021",1-yr,"$ 290,000",Austin,Mls,2021
10,Andrew Tarbell,,"$ 5,288","$ 275,000",GK,27,Reserve,"Dec 31, 2021",1-yr,"$ 275,000",Austin,Mls,2021
11,Ben Sweat,,"$ 4,808","$ 250,000",LB,29,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Austin,Mls,2021
12,Héctor Jiménez,,"$ 4,808","$ 250,000",LB,32,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Austin,Mls,2021
13,Ulises Segura,,"$ 4,615","$ 240,000",AM,27,Reserve,"Dec 31, 2021",1-yr,"$ 240,000",Austin,Mls,2021
14,Zan Kolmanic,,"$ 4,327","$ 225,000",LB,21,Starter,"Dec 31, 2021",1-yr,"$ 225,000",Austin,Mls,2021
15,Aaron Schoenfeld,,"$ 4,038","$ 210,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 210,000",Austin,Mls,2021
16,Brad Stuver,,"$ 2,885","$ 150,000",GK,30,Starter,"Dec 31, 2021",1-yr,"$ 150,000",Austin,Mls,2021
17,Manny Perez,,"$ 2,692","$ 140,000",RM,22,Reserve,"Nov 30, 2021",1-yr,"$ 140,000",Austin,Mls,2021
18,Sebastian Berhalter,,"$ 1,635","$ 85,000",CM,20,Reserve,"Dec 31, 2021",1-yr,"$ 85,000",Austin,Mls,2021
19,Daniel Pereira,,"$ 1,565","$ 81,375",AM,20,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Austin,Mls,2021
20,Kekuta Manneh,,"$ 1,565","$ 81,375",LW,26,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Austin,Mls,2021
21,Jared Stroud,,"$ 1,565","$ 81,375",LW,24,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Austin,Mls,2021
22,Jon Gallagher,,"$ 1,565","$ 81,375",RW,25,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Austin,Mls,2021
23,Aedan Stanley,,"$ 1,222","$ 63,547",LB,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Austin,Mls,2021
24,Will Pulisic,,"$ 1,222","$ 63,547",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Austin,Mls,2021
