,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Chicharito,,"$ 115,385","$ 6,000,000",CF,32,Starter,"Dec 31, 2021",1-yr,"$ 6,000,000",La Galaxy,Mls,2021
1,Jonathan dos Santos,,"$ 38,462","$ 2,000,000",CM,31,Starter,"Dec 31, 2021",1-yr,"$ 2,000,000",La Galaxy,Mls,2021
2,Kévin Cabral,,"$ 27,692","$ 1,440,000",LW,21,Reserve,"Dec 31, 2026",6-yrs,"$ 8,640,000",La Galaxy,Mls,2021
3,Giancarlo González,,"$ 16,346","$ 850,000",CB,33,Reserve,"Dec 31, 2021",1-yr,"$ 850,000",La Galaxy,Mls,2021
4,Samuel Grandsir,,"$ 16,346","$ 850,000",RW,24,Starter,"Dec 31, 2023",3-yrs,"$ 2,550,000",La Galaxy,Mls,2021
5,Sebastian Lletget,,"$ 15,385","$ 800,000",CM,28,Starter,"Dec 31, 2021",1-yr,"$ 800,000",La Galaxy,Mls,2021
6,Derrick Williams,,"$ 14,423","$ 750,000",CB,28,Starter,"Dec 31, 2022",2-yrs,"$ 1,500,000",La Galaxy,Mls,2021
7,Jorge Villafaña,,"$ 8,654","$ 450,000",LB,31,Starter,"Dec 31, 2021",1-yr,"$ 450,000",La Galaxy,Mls,2021
8,Jonathan Bond,,"$ 8,654","$ 450,000",GK,27,Starter,"Dec 31, 2021",1-yr,"$ 450,000",La Galaxy,Mls,2021
9,Víctor Vázquez,,"$ 7,692","$ 400,000",AM,34,Starter,"Dec 31, 2021",1-yr,"$ 400,000",La Galaxy,Mls,2021
10,Daniel Steres,,"$ 7,212","$ 375,000",CB,30,Starter,"Dec 31, 2021",1-yr,"$ 375,000",La Galaxy,Mls,2021
11,Sacha Kljestan,,"$ 4,757","$ 247,350",AM,35,Reserve,"Dec 31, 2021",1-yr,"$ 247,350",La Galaxy,Mls,2021
12,Julian Araujo,,"$ 2,692","$ 140,000",RB,19,Starter,"Dec 31, 2021",1-yr,"$ 140,000",La Galaxy,Mls,2021
13,Oniel Fisher,,"$ 2,692","$ 140,000",RB,29,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",La Galaxy,Mls,2021
14,Danilo Acosta,,"$ 2,596","$ 135,000",LB,23,Reserve,"Dec 31, 2021",1-yr,"$ 135,000",La Galaxy,Mls,2021
15,Ethan Zubak,,"$ 2,500","$ 130,000",CF,23,Reserve,"Dec 31, 2021",1-yr,"$ 130,000",La Galaxy,Mls,2021
16,Jonathan Pérez,,"$ 2,404","$ 125,000",LW,18,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",La Galaxy,Mls,2021
17,Efraín Álvarez,,"$ 2,115","$ 110,004",AM,18,Reserve,"Dec 31, 2021",1-yr,"$ 110,004",La Galaxy,Mls,2021
18,Cameron Dunbar,,"$ 1,923","$ 100,000",RW,18,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",La Galaxy,Mls,2021
19,Marcus Ferkranus,,"$ 1,731","$ 90,000",CB,18,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",La Galaxy,Mls,2021
20,Jalen Neal,,"$ 1,731","$ 90,000",CB,17,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",La Galaxy,Mls,2021
21,Justin vom Steeg,,"$ 1,643","$ 85,444",GK,24,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",La Galaxy,Mls,2021
22,Kai Koreniuk,,"$ 1,643","$ 85,444",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",La Galaxy,Mls,2021
23,Jonathan Klinsmann,,"$ 1,565","$ 81,375",GK,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
24,Carlos Harvey,,"$ 1,565","$ 81,375",DM,21,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
25,Eric López,,"$ 1,565","$ 81,375",GK,22,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
26,Adam Saldaña,,"$ 1,565","$ 81,375",CM,19,Starter,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
27,Nick DePuy,,"$ 1,565","$ 81,375",CB,26,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
28,Séga Coulibaly,,$ 0,$ 0,CB,24,Reserve,"Dec 31, 2022",2-yrs,$ 0,La Galaxy,Mls,2021
29,Augustine Williams,,$ 0,$ 0,CF,23,Reserve,"Dec 31, 2021",1-yr,$ 0,La Galaxy,Mls,2021
