,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Edison Flores,,"$ 30,769","$ 1,600,000",LW,27,Starter,"Dec 31, 2024",4-yrs,"$ 6,400,000",Dc United,Mls,2021
1,Paul Arriola,,"$ 19,231","$ 1,000,000",RM,26,Reserve,"Dec 31, 2023",3-yrs,"$ 3,000,000",Dc United,Mls,2021
2,Yordy Reyna,,"$ 13,683","$ 711,500",CF,27,Reserve,"Dec 31, 2024",4-yrs,"$ 2,846,000",Dc United,Mls,2021
3,Julian Gressel,,"$ 13,558","$ 705,000",RM,27,Starter,"Dec 31, 2023",3-yrs,"$ 2,115,000",Dc United,Mls,2021
4,Steve Birnbaum,,"$ 13,462","$ 700,000",CB,30,Reserve,"Dec 31, 2023",3-yrs,"$ 2,100,000",Dc United,Mls,2021
5,Nigel Robertha,,"$ 10,577","$ 550,000",CF,23,Reserve,"Dec 31, 2023",3-yrs,"$ 1,650,000",Dc United,Mls,2021
6,Bill Hamid,,"$ 9,615","$ 500,000",GK,30,Reserve,"Dec 31, 2022",2-yrs,"$ 1,000,000",Dc United,Mls,2021
7,Russell Canouse,,"$ 9,615","$ 500,000",CM,25,Reserve,"Dec 31, 2023",3-yrs,"$ 1,500,000",Dc United,Mls,2021
8,Yamil Asad,,"$ 9,135","$ 475,000",LW,26,Reserve,"Dec 31, 2021",1-yr,"$ 475,000",Dc United,Mls,2021
9,Ola Kamara,,"$ 7,692","$ 400,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 400,000",Dc United,Mls,2021
10,Frédéric Brillant,,"$ 5,769","$ 300,000",CB,35,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Dc United,Mls,2021
11,Brendan Hines-Ike,,"$ 4,615","$ 240,000",CB,26,Starter,"Dec 31, 2021",1-yr,"$ 240,000",Dc United,Mls,2021
12,Joseph Mora,,"$ 3,538","$ 184,000",LB,28,Reserve,"Dec 31, 2021",1-yr,"$ 184,000",Dc United,Mls,2021
13,Júnior Moreno,,"$ 3,538","$ 184,000",DM,27,Starter,"Dec 31, 2021",1-yr,"$ 184,000",Dc United,Mls,2021
14,Chris Seitz,,"$ 3,077","$ 160,000",GK,34,Reserve,"Dec 31, 2021",1-yr,"$ 160,000",Dc United,Mls,2021
15,Erik Sorga,,"$ 2,885","$ 150,000",CF,21,Reserve,"Dec 31, 2022",2-yrs,"$ 300,000",Dc United,Mls,2021
16,Felipe Martins,,"$ 2,885","$ 150,000",CM,30,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Dc United,Mls,2021
17,Chris Odoi-Atsem,,"$ 2,500","$ 130,000",RB,25,Reserve,"Dec 31, 2022",2-yrs,"$ 260,000",Dc United,Mls,2021
18,Donovan Pines,,"$ 2,404","$ 125,000",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Dc United,Mls,2021
19,Griffin Yow,,"$ 2,115","$ 110,000",LW,18,Reserve,"Dec 31, 2021",1-yr,"$ 110,000",Dc United,Mls,2021
20,Kevin Paredes,,"$ 1,923","$ 100,000",LM,18,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Dc United,Mls,2021
21,Andy Nájar,,"$ 1,731","$ 90,000",RB,28,Starter,"Dec 31, 2021",1-yr,"$ 90,000",Dc United,Mls,2021
22,Jon Kempin,,"$ 1,643","$ 85,444",GK,28,Starter,"Dec 31, 2021",1-yr,"$ 85,444",Dc United,Mls,2021
23,Moses Nyeman,,"$ 1,643","$ 85,444",DM,17,Starter,"Dec 31, 2021",1-yr,"$ 85,444",Dc United,Mls,2021
24,Adrien Perez,,"$ 1,565","$ 81,375",CF,25,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
25,Kimarni Smith,,"$ 1,565","$ 81,375",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
26,Jovanny Bolívar,,"$ 1,565","$ 81,375",CF,19,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
27,Michael DeShields,,"$ 1,565","$ 81,375",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
28,Antonio Alfaro,,"$ 1,565","$ 81,375",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
29,Jacob Greene,,"$ 1,222","$ 63,547",LB,18,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Dc United,Mls,2021
30,Drew Skundrich,,$ 0,$ 0,CM,25,Starter,"Dec 31, 2021",1-yr,$ 0,Dc United,Mls,2021
