,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Patryk Klimala,,"$ 19,231","$ 1,000,000",CF,22,Reserve,"Dec 31, 2024",4-yrs,"$ 4,000,000",Ny Red Bulls,Mls,2021
1,Aaron Long,,"$ 17,212","$ 895,000",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 895,000",Ny Red Bulls,Mls,2021
2,Daniel Royer,,"$ 14,423","$ 750,000",LW,30,Reserve,"Dec 31, 2021",1-yr,"$ 750,000",Ny Red Bulls,Mls,2021
3,Dru Yearwood,,"$ 9,135","$ 475,000",CM,21,Reserve,"Dec 31, 2021",1-yr,"$ 475,000",Ny Red Bulls,Mls,2021
4,Carlos Coronel,,"$ 8,904","$ 462,996",GK,24,Starter,"Dec 30, 2021",1-yr,"$ 462,996",Ny Red Bulls,Mls,2021
5,Tom Edwards,,"$ 7,883","$ 409,911",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 409,911",Ny Red Bulls,Mls,2021
6,Andrés Reyes,,"$ 7,692","$ 400,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 400,000",Ny Red Bulls,Mls,2021
7,Amro Tarek,,"$ 7,692","$ 400,000",CB,29,Reserve,"Dec 31, 2021",1-yr,"$ 400,000",Ny Red Bulls,Mls,2021
8,Fábio,,"$ 7,308","$ 380,000",CF,23,Starter,"Jun 30, 2021",1-yr,"$ 380,000",Ny Red Bulls,Mls,2021
9,Sean Davis,,"$ 7,212","$ 375,000",CM,28,Starter,"Dec 31, 2021",1-yr,"$ 375,000",Ny Red Bulls,Mls,2021
10,Youba Diarra,,"$ 6,481","$ 337,000",CM,23,Reserve,"Dec 31, 2021",1-yr,"$ 337,000",Ny Red Bulls,Mls,2021
11,Jason Pendant,,"$ 6,250","$ 325,000",LB,24,Reserve,"Dec 31, 2021",1-yr,"$ 325,000",Ny Red Bulls,Mls,2021
12,David Jensen,,"$ 6,250","$ 324,996",GK,29,Reserve,"Dec 31, 2022",2-yrs,"$ 649,992",Ny Red Bulls,Mls,2021
13,Mandela Egbo,,"$ 5,308","$ 276,000",RB,23,Reserve,"Dec 31, 2021",1-yr,"$ 276,000",Ny Red Bulls,Mls,2021
14,Andrew Gutman,,"$ 5,288","$ 275,000",LB,24,Starter,"Dec 31, 2021",1-yr,"$ 275,000",Ny Red Bulls,Mls,2021
15,Ryan Meara,,"$ 5,192","$ 270,000",GK,30,Reserve,"Dec 31, 2021",1-yr,"$ 270,000",Ny Red Bulls,Mls,2021
16,Brian White,,"$ 4,154","$ 216,000",CF,25,Reserve,"Dec 31, 2021",1-yr,"$ 216,000",Ny Red Bulls,Mls,2021
17,Cristhian Cásseres Jr,,"$ 3,942","$ 205,000",CM,21,Starter,"Dec 31, 2021",1-yr,"$ 205,000",Ny Red Bulls,Mls,2021
18,Cameron Harper,,"$ 3,846","$ 200,000",RW,19,Reserve,"Dec 31, 2023",3-yrs,"$ 600,000",Ny Red Bulls,Mls,2021
19,Frankie Amaya,,"$ 2,885","$ 150,000",AM,20,Starter,"Dec 31, 2024",4-yrs,"$ 600,000",Ny Red Bulls,Mls,2021
20,Omir Fernandez,,"$ 2,212","$ 115,000",RW,22,Reserve,"Dec 31, 2021",1-yr,"$ 115,000",Ny Red Bulls,Mls,2021
21,Florian Valot,,"$ 1,800","$ 93,581",RW,28,Reserve,"Dec 31, 2021",1-yr,"$ 93,581",Ny Red Bulls,Mls,2021
22,Kyle Duncan,,"$ 1,800","$ 93,581",RB,23,Starter,"Dec 31, 2021",1-yr,"$ 93,581",Ny Red Bulls,Mls,2021
23,John Tolkin,,"$ 1,643","$ 85,444",LB,18,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Ny Red Bulls,Mls,2021
24,Sean Nealis,,"$ 1,565","$ 81,375",CB,24,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Ny Red Bulls,Mls,2021
25,Tom Barlow,,"$ 1,565","$ 81,375",CF,25,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Ny Red Bulls,Mls,2021
26,Caden Clark,,"$ 1,222","$ 63,547",AM,17,Starter,"Dec 31, 2021",1-yr,"$ 63,547",Ny Red Bulls,Mls,2021
27,Bento Estrela,,"$ 1,222","$ 63,547",CM,15,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Ny Red Bulls,Mls,2021
28,Wikelman Carmona,,"$ 1,222","$ 63,547",AM,18,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Ny Red Bulls,Mls,2021
29,Luca Lewis,,"$ 1,222","$ 63,547",GK,20,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Ny Red Bulls,Mls,2021
