,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Gonzalo Higuaín,,"$ 98,077","$ 5,100,000",CF,33,Starter,"Dec 31, 2022",2-yrs,"$ 10,200,000",Inter Miami,Mls,2021
1,Rodolfo Pizarro,,"$ 58,654","$ 3,050,000",AM,27,Starter,"Dec 31, 2021",1-yr,"$ 3,050,000",Inter Miami,Mls,2021
2,Blaise Matuidi,,"$ 28,846","$ 1,500,000",CM,34,Starter,"Dec 31, 2021",1-yr,"$ 1,500,000",Inter Miami,Mls,2021
3,Leandro González Pírez,,"$ 16,346","$ 849,996",CB,29,Starter,"Dec 31, 2021",1-yr,"$ 849,996",Inter Miami,Mls,2021
4,Julián Carranza,,"$ 14,423","$ 750,000",CF,20,Reserve,"Dec 31, 2021",1-yr,"$ 750,000",Inter Miami,Mls,2021
5,Jorge Figal,,"$ 11,538","$ 600,000",CB,27,Reserve,"Dec 31, 2021",1-yr,"$ 600,000",Inter Miami,Mls,2021
6,Gregore,,"$ 10,577","$ 550,000",DM,27,Starter,"Dec 31, 2024",4-yrs,"$ 2,200,000",Inter Miami,Mls,2021
7,Lewis Morgan,,"$ 10,577","$ 550,000",LM,24,Starter,"Dec 31, 2021",1-yr,"$ 550,000",Inter Miami,Mls,2021
8,Ryan Shawcross,,"$ 5,769","$ 300,000",CB,33,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Inter Miami,Mls,2021
9,Víctor Ulloa,,"$ 4,231","$ 220,000",DM,29,Reserve,"Dec 31, 2021",1-yr,"$ 220,000",Inter Miami,Mls,2021
10,Kelvin Leerdam,,"$ 3,462","$ 180,000",RB,30,Starter,"Dec 31, 2023",3-yrs,"$ 540,000",Inter Miami,Mls,2021
11,Joevin Jones,,"$ 3,462","$ 180,000",LB,29,Starter,"Dec 31, 2022",2-yrs,"$ 360,000",Inter Miami,Mls,2021
12,Christian Makoun,,"$ 3,365","$ 175,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 175,000",Inter Miami,Mls,2021
13,Jay Chapman,,"$ 3,221","$ 167,500",CM,27,Reserve,"Dec 31, 2021",1-yr,"$ 167,500",Inter Miami,Mls,2021
14,Brek Shea,,"$ 2,596","$ 135,000",LM,31,Reserve,"Dec 31, 2021",1-yr,"$ 135,000",Inter Miami,Mls,2021
15,John McCarthy,,"$ 2,500","$ 130,000",GK,28,Starter,"Dec 31, 2021",1-yr,"$ 130,000",Inter Miami,Mls,2021
16,Robbie Robinson,,"$ 2,404","$ 125,000",CF,22,Starter,"Dec 31, 2021",1-yr,"$ 125,000",Inter Miami,Mls,2021
17,Drake Callender,,"$ 2,308","$ 120,000",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 120,000",Inter Miami,Mls,2021
18,George Acosta,,"$ 1,565","$ 81,375",AM,21,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Inter Miami,Mls,2021
19,Federico Higuaín,,"$ 1,565","$ 81,375",AM,36,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Inter Miami,Mls,2021
20,Dylan Castanheira,,"$ 1,565","$ 81,375",GK,25,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Inter Miami,Mls,2021
21,Edison Azcona,,"$ 1,222","$ 63,547",LW,17,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Inter Miami,Mls,2021
22,Josh Penn,,"$ 1,222","$ 63,547",LW,20,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Inter Miami,Mls,2021
23,Ian Fray,,"$ 1,222","$ 63,547",CB,18,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Inter Miami,Mls,2021
24,Felipe Valencia,,"$ 1,222","$ 63,547",RW,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Inter Miami,Mls,2021
25,Sami Guediri,,$ 0,$ 0,LB,23,Reserve,"Dec 31, 2021",1-yr,$ 0,Inter Miami,Mls,2021
