,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Darwin Quintero,,"$ 26,001","$ 1,352,055",LW,33,Reserve,"Dec 31, 2021",1-yr,"$ 1,352,055",Houston Dynamo,Mls,2021
1,Maximiliano Urruti,,"$ 21,849","$ 1,136,127",CF,30,Starter,"Dec 31, 2021",1-yr,"$ 1,136,127",Houston Dynamo,Mls,2021
2,Tim Parker,,"$ 16,119","$ 838,200",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 838,200",Houston Dynamo,Mls,2021
3,Christian Ramirez,,"$ 14,904","$ 775,000",CF,30,Reserve,"Dec 31, 2021",1-yr,"$ 775,000",Houston Dynamo,Mls,2021
4,Fafà Picault,,"$ 9,615","$ 500,000",LW,30,Starter,"Dec 31, 2021",1-yr,"$ 500,000",Houston Dynamo,Mls,2021
5,Marko Maric,,"$ 8,942","$ 465,000",GK,25,Starter,"Dec 31, 2021",1-yr,"$ 465,000",Houston Dynamo,Mls,2021
6,Matías Vera,,"$ 6,731","$ 350,000",DM,25,Starter,"Dec 31, 2021",1-yr,"$ 350,000",Houston Dynamo,Mls,2021
7,Adam Lundqvist,,"$ 6,250","$ 325,000",LB,27,Starter,"Dec 31, 2022",2-yrs,"$ 650,000",Houston Dynamo,Mls,2021
8,Joe Corona,,"$ 5,288","$ 275,000",CM,30,Starter,"Dec 31, 2021",1-yr,"$ 275,000",Houston Dynamo,Mls,2021
9,Memo Rodríguez,,"$ 5,096","$ 265,000",LM,25,Starter,"Dec 31, 2021",1-yr,"$ 265,000",Houston Dynamo,Mls,2021
10,Mateo Bajamich,,"$ 5,077","$ 264,000",RW,21,Reserve,"Dec 31, 2021",1-yr,"$ 264,000",Houston Dynamo,Mls,2021
11,Zarek Valentin,,"$ 4,808","$ 250,000",RB,29,Starter,"Dec 31, 2022",2-yrs,"$ 500,000",Houston Dynamo,Mls,2021
12,José Bizama,,"$ 4,327","$ 225,000",RB,26,Reserve,"Dec 31, 2021",1-yr,"$ 225,000",Houston Dynamo,Mls,2021
13,Ariel Lassiter,,"$ 4,038","$ 210,000",LW,26,Reserve,"Dec 31, 2021",1-yr,"$ 210,000",Houston Dynamo,Mls,2021
14,Darwin Cerén,,"$ 3,760","$ 195,500",DM,31,Reserve,"Dec 31, 2021",1-yr,"$ 195,500",Houston Dynamo,Mls,2021
15,Alejandro Fuenmayor,,"$ 3,654","$ 190,008",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 190,008",Houston Dynamo,Mls,2021
16,Derrick Jones,,"$ 3,077","$ 160,000",CM,24,Starter,"Dec 31, 2021",1-yr,"$ 160,000",Houston Dynamo,Mls,2021
17,Maynor Figueroa,,"$ 2,885","$ 150,000",CB,38,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Houston Dynamo,Mls,2021
18,Tyler Pasher,,"$ 2,885","$ 150,000",CF,27,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Houston Dynamo,Mls,2021
19,Daniel Rios,,"$ 2,692","$ 140,000",AM,18,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",Houston Dynamo,Mls,2021
20,Michael Nelson,,"$ 1,643","$ 85,444",GK,26,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Houston Dynamo,Mls,2021
21,Ethan Bartlow,,"$ 1,565","$ 81,375",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Houston Dynamo,Mls,2021
22,Boniek García,,"$ 1,565","$ 81,375",CM,36,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Houston Dynamo,Mls,2021
23,Sam Junqua,,"$ 1,565","$ 81,375",LB,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Houston Dynamo,Mls,2021
24,Kyle Morton,,"$ 1,565","$ 81,375",GK,27,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Houston Dynamo,Mls,2021
25,Nico Lemoine,,"$ 1,283","$ 66,724",RM,21,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Houston Dynamo,Mls,2021
26,Ian Hoffmann,,"$ 1,222","$ 63,547",CM,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Houston Dynamo,Mls,2021
27,Juan Castilla,,"$ 1,222","$ 63,547",CM,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Houston Dynamo,Mls,2021
