,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Alan Pulido,,"$ 42,308","$ 2,200,000",CF,30,Starter,"Dec 31, 2023",3-yrs,"$ 6,600,000",Sporting Kc,Mls,2021
1,Johnny Russell,,"$ 30,769","$ 1,600,000",RW,31,Reserve,"Dec 31, 2021",1-yr,"$ 1,600,000",Sporting Kc,Mls,2021
2,Andreu Fontàs,,"$ 21,635","$ 1,125,000",CB,31,Starter,"Dec 31, 2022",2-yrs,"$ 2,250,000",Sporting Kc,Mls,2021
3,Ilie Sánchez,,"$ 19,231","$ 1,000,000",DM,30,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Sporting Kc,Mls,2021
4,Nicolas Isimat-Mirin,,"$ 18,269","$ 950,000",CB,29,Starter,"Dec 31, 2022",2-yrs,"$ 1,900,000",Sporting Kc,Mls,2021
5,Gadi Kinda,,"$ 16,346","$ 850,000",AM,27,Starter,"Dec 31, 2024",4-yrs,"$ 3,400,000",Sporting Kc,Mls,2021
6,Khiry Shelton,,"$ 12,500","$ 650,000",CF,27,Starter,"Dec 31, 2022",2-yrs,"$ 1,300,000",Sporting Kc,Mls,2021
7,Graham Zusi,,"$ 12,500","$ 650,000",RB,34,Reserve,"Dec 31, 2021",1-yr,"$ 650,000",Sporting Kc,Mls,2021
8,Rémi Walter,,"$ 12,500","$ 650,000",CM,26,Reserve,"Dec 31, 2023",3-yrs,"$ 1,950,000",Sporting Kc,Mls,2021
9,Roberto Puncec,,"$ 11,058","$ 575,000",CB,29,Reserve,"Dec 31, 2021",1-yr,"$ 575,000",Sporting Kc,Mls,2021
10,Róger Espinoza,,"$ 9,615","$ 500,000",CM,34,Starter,"Dec 31, 2021",1-yr,"$ 500,000",Sporting Kc,Mls,2021
11,Tim Melia,,"$ 9,615","$ 500,000",GK,35,Reserve,"Dec 31, 2022",2-yrs,"$ 1,000,000",Sporting Kc,Mls,2021
12,Dániel Sallói,,"$ 7,692","$ 400,000",LW,24,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Sporting Kc,Mls,2021
13,Luís Martins,,"$ 6,538","$ 340,000",LB,28,Starter,"Dec 31, 2021",1-yr,"$ 340,000",Sporting Kc,Mls,2021
14,Amadou Dia,,"$ 2,596","$ 135,000",LB,27,Reserve,"Dec 31, 2021",1-yr,"$ 135,000",Sporting Kc,Mls,2021
15,Gianluca Busio,,"$ 2,404","$ 125,004",CM,18,Reserve,"Dec 31, 2021",1-yr,"$ 125,004",Sporting Kc,Mls,2021
16,Kendall McIntosh,,"$ 1,853","$ 96,375",GK,27,Reserve,"Dec 31, 2021",1-yr,"$ 96,375",Sporting Kc,Mls,2021
17,Tyler Freeman,,"$ 1,827","$ 95,000",LW,18,Reserve,"Dec 31, 2022",2-yrs,"$ 190,000",Sporting Kc,Mls,2021
18,Jaylin Lindsey,,"$ 1,761","$ 91,547",RB,21,Starter,"Dec 31, 2021",1-yr,"$ 91,547",Sporting Kc,Mls,2021
19,Graham Smith,,"$ 1,643","$ 85,444",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Sporting Kc,Mls,2021
20,Felipe Hernández,,"$ 1,565","$ 81,375",CM,22,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Sporting Kc,Mls,2021
21,Cameron Duke,,"$ 1,565","$ 81,375",RB,20,Reserve,"Dec 31, 2022",2-yrs,"$ 162,750",Sporting Kc,Mls,2021
22,Wilson Harris,,"$ 1,295","$ 67,360",CF,21,Reserve,"Dec 31, 2021",1-yr,"$ 67,360",Sporting Kc,Mls,2021
23,John Pulskamp,,"$ 1,295","$ 67,360",GK,20,Starter,"Dec 31, 2022",2-yrs,"$ 134,720",Sporting Kc,Mls,2021
24,Parker Siegfried,,"$ 1,222","$ 63,547",GK,24,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Sporting Kc,Mls,2021
25,Ozzie Cisneros,,"$ 1,222","$ 63,547",AM,17,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",Sporting Kc,Mls,2021
26,Grayson Barber,,"$ 1,222","$ 63,547",RW,21,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",Sporting Kc,Mls,2021
27,Brooks Thompson,,"$ 1,222","$ 63,547",GK,18,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",Sporting Kc,Mls,2021
28,Kayden Pierre,,$ 0,$ 0,RB,18,Reserve,"Dec 31, 2024",4-yrs,$ 0,Sporting Kc,Mls,2021
29,Kaveh Rad,,$ 0,$ 0,CB,19,Reserve,"Dec 31, 2022",2-yrs,$ 0,Sporting Kc,Mls,2021
