Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,21,1995,9,9,810,9.0,14,1.56,36,26,69.4,1,1,7,2,22.2,3,3,0,0,0.0,Matches,0,0,1,12.7,0.28,-0.3,-0.03,50,119,42.0,156,37,48.7,40.7,46,93.5,60.9,126,13,10.3,3,0.33,13.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,23.7,,9,0,,12,0.44,2,14,-12,-1.33,-0.30,9.4,13.8,-4.4,-0.49,+0.37,0,0,3,0,0,0,0,0,0,47,0,0,,Big-5-European-Leagues,Big5,2017-2018
Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3,3,270,3.0,2,0.67,12,11,91.7,0,3,0,1,33.3,1,1,0,0,0.0,Matches,0,0,0,3.8,0.24,+1.8,+0.59,27,81,33.3,108,6,61.1,43.7,28,53.6,46.3,25,0,0.0,3,1.00,16.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,8.8,,3,0,,28,1.50,4,3,+1,+0.33,+0.46,2.7,4.7,-2.0,-0.67,-0.52,0,0,0,0,0,0,0,0,0,16,0,0,,Big-5-European-Leagues,Big5,2017-2018
Thomas Strakosha,al ALB,GK,Lazio,it Serie A,22,1995,38,38,3420,38.0,49,1.29,153,112,73.9,21,9,8,11,28.9,11,9,1,1,10.0,Matches,2,5,2,51.2,0.29,+4.2,+0.11,248,509,48.7,854,163,45.8,37.9,250,47.2,43.2,290,12,4.1,23,0.61,15.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,100.0,,38,0,,0,1.89,89,49,+40,+1.05,,63.5,44.4,+19.0,+0.50,,0,2,5,0,0,0,0,0,0,191,0,0,,Big-5-European-Leagues,Big5,2017-2018
Timo Horn,de GER,GK,KÃ¶ln,de Bundesliga,24,1993,34,34,3060,34.0,70,2.06,197,135,68.5,5,7,22,5,14.7,9,8,1,0,11.1,Matches,0,7,0,71.8,0.33,+1.8,+0.05,293,755,38.8,774,82,66.3,48.9,279,86.7,61.7,370,28,7.6,33,0.97,15.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,90,100.0,,34,0,,0,0.65,35,70,-35,-1.03,,42.2,67.8,-25.5,-0.75,,0,1,7,0,0,0,0,0,1,168,0,0,,Big-5-European-Leagues,Big5,2017-2018
Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,29,1988,5,4,435,4.8,10,2.07,24,14,58.3,1,0,4,1,25.0,0,0,0,0,,Matches,0,0,0,9.9,0.41,-0.1,-0.02,34,90,37.8,148,14,45.3,41.0,29,79.3,58.2,41,2,4.9,6,1.25,18.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,87,14.2,,4,1,,29,0.60,3,10,-7,-1.45,-1.52,6.1,5.9,+0.1,+0.03,+0.04,0,0,0,0,0,0,0,0,0,22,0,0,,Big-5-European-Leagues,Big5,2017-2018
Tom Heaton,eng ENG,GK,Burnley,eng Premier League,31,1986,4,4,305,3.4,4,1.18,13,9,69.2,1,1,1,0,0.0,0,0,0,0,,Matches,0,2,0,3.9,0.30,-0.1,-0.04,33,81,40.7,88,21,64.8,52.1,31,77.4,64.0,26,1,3.8,0,0.00,11.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,76,8.9,,3,0,,7,1.75,5,4,+1,+0.30,+0.41,3.3,4.9,-1.6,-0.49,-0.03,0,0,0,0,0,0,0,0,0,22,0,0,,Big-5-European-Leagues,Big5,2017-2018
Tom Starke,de GER,GK,Bayern Munich,de Bundesliga,36,1981,2,2,180,2.0,0,0.00,6,6,100.0,2,0,0,2,100.0,0,0,0,0,,Matches,0,0,0,1.5,0.25,+1.5,+0.76,10,22,45.5,46,9,34.8,33.3,9,66.7,46.7,15,2,13.3,3,1.50,23.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.9,,2,0,,26,3.00,2,0,+2,+1.00,-0.94,2.9,0.9,+2.0,+1.02,-0.30,0,0,0,0,0,0,0,0,0,6,0,0,,Big-5-European-Leagues,Big5,2017-2018
TomÃ¡Å¡ Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34,34,3060,34.0,36,1.06,130,98,73.8,16,8,10,10,29.4,3,2,1,0,33.3,Matches,0,6,2,39.7,0.28,+5.7,+0.17,158,475,33.3,573,81,57.1,46.1,167,88.6,65.1,347,36,10.4,33,0.97,16.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,89.5,,34,0,,0,1.65,44,36,+8,+0.24,+0.74,43.7,46.0,-2.3,-0.07,+0.38,0,1,4,0,0,0,0,0,1,172,0,0,,Big-5-European-Leagues,Big5,2017-2018
ToÃ±o RamÃ­rez,es ESP,GK,Real Sociedad,es La Liga,30,1986,4,3,316,3.5,6,1.71,11,5,45.5,1,0,2,1,33.3,0,0,0,0,,Matches,0,1,0,3.5,0.32,-2.5,-0.71,17,50,34.0,103,10,35.9,32.2,15,86.7,58.4,29,1,3.4,0,0.00,11.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,79,9.3,,3,1,,29,1.50,7,6,+1,+0.28,+0.11,6.3,4.2,+2.1,+0.60,+0.44,0,1,0,0,0,0,0,0,0,12,0,0,,Big-5-European-Leagues,Big5,2017-2018
Vanja MilinkoviÄ-SaviÄ,rs SRB,GK,Torino,it Serie A,20,1997,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches,0,0,0,1.1,0.27,+0.1,+0.09,8,23,34.8,41,6,39.0,41.5,8,87.5,66.8,11,1,9.1,0,0.00,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,,1,0,,32,3.00,2,1,+1,+1.00,+0.81,1.5,1.6,-0.1,-0.13,+0.01,0,0,0,0,0,0,0,0,0,8,0,0,,Big-5-European-Leagues,Big5,2017-2018
Vicente Guaita,es ESP,GK,Getafe,es La Liga,30,1987,33,33,2970,33.0,26,0.79,108,83,76.9,13,9,11,12,36.4,3,1,1,1,50.0,Matches,0,3,0,28.8,0.25,+2.8,+0.09,211,685,30.8,604,60,76.0,55.2,227,99.6,69.6,314,45,14.3,19,0.58,14.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,90,86.8,,33,0,,1,1.45,35,26,+9,+0.27,+0.27,39.5,32.0,+7.5,+0.23,-0.20,0,0,5,0,0,0,0,0,0,200,0,0,,Big-5-European-Leagues,Big5,2017-2018
Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,2,180,2.0,5,2.50,15,11,73.3,0,0,2,0,0.0,1,1,0,0,0.0,Matches,0,1,0,5.6,0.31,+0.6,+0.28,9,24,37.5,70,11,27.1,26.6,16,31.3,36.2,21,2,9.5,3,1.50,13.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.3,,2,0,,11,0.00,1,5,-4,-2.00,-2.00,1.1,3.4,-2.4,-1.18,-0.91,0,0,0,0,0,0,0,0,0,12,0,0,,Big-5-European-Leagues,Big5,2017-2018
Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,13,13,1113,12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0.0,Matches,1,1,2,24.3,0.31,-0.7,-0.06,63,183,34.4,259,68,48.6,40.4,102,55.9,46.5,133,10,7.5,5,0.40,12.2,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,86,32.5,,12,0,,8,0.46,7,27,-20,-1.62,-0.41,14.5,26.3,-11.8,-0.95,-0.02,0,2,3,0,0,0,0,0,1,68,0,0,,Big-5-European-Leagues,Big5,2017-2018
Walter BenÃ­tez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28,28,2520,28.0,36,1.29,114,83,71.1,12,8,8,7,25.0,5,3,2,0,40.0,Matches,1,0,2,35.5,0.28,+1.5,+0.05,64,201,31.8,394,84,26.6,30.3,127,75.6,54.4,320,17,5.3,6,0.21,13.0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,73.7,,28,0,,10,1.57,40,36,+4,+0.14,+0.44,35.8,36.5,-0.7,-0.02,-0.44,0,3,2,0,0,0,0,0,0,125,0,0,,Big-5-European-Leagues,Big5,2017-2018
Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,30,1987,27,27,2430,27.0,41,1.52,127,89,68.5,8,6,13,7,25.9,1,1,0,0,0.0,Matches,1,8,2,38.9,0.30,-0.1,0.00,234,604,38.7,556,97,71.6,54.0,226,91.2,70.9,282,17,6.0,18,0.67,13.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,90,71.1,,27,0,,9,1.11,29,41,-12,-0.44,-0.63,37.0,38.8,-1.8,-0.07,-0.73,0,0,2,0,0,0,0,0,0,144,0,0,,Big-5-European-Leagues,Big5,2017-2018
Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,35,1981,3,3,270,3.0,4,1.33,12,8,66.7,1,1,1,1,33.3,0,0,0,0,,Matches,0,0,0,4.3,0.39,+0.3,+0.12,17,38,44.7,84,12,32.1,31.4,15,73.3,54.7,24,1,4.2,5,1.67,23.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,,3,0,,35,1.33,6,4,+2,+0.67,+0.04,4.7,3.0,+1.7,+0.58,-0.02,0,0,0,0,0,0,0,0,0,19,0,0,,Big-5-European-Leagues,Big5,2017-2018
Wojciech SzczÄsny,pl POL,GK,Juventus,it Serie A,27,1990,17,17,1530,17.0,9,0.53,34,24,73.5,13,3,1,11,64.7,0,0,0,0,,Matches,1,2,0,11.5,0.34,+2.5,+0.15,107,194,55.2,354,74,38.4,36.2,85,68.2,49.4,126,6,4.8,2,0.12,12.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,90,44.7,,17,0,,21,2.47,31,9,+22,+1.29,-0.61,27.4,11.4,+16.0,+0.94,+0.23,0,1,2,0,0,0,0,0,0,71,0,0,,Big-5-European-Leagues,Big5,2017-2018
Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,28,1988,30,30,2625,29.2,42,1.44,145,106,73.8,12,8,9,6,20.0,4,4,0,0,0.0,Matches,0,6,1,40.8,0.27,-0.2,-0.01,199,520,38.3,986,132,38.5,35.8,228,61.4,48.1,315,26,8.3,16,0.55,13.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,85.8,,29,0,,0,1.47,44,42,+2,+0.07,+1.52,45.3,45.6,-0.3,-0.01,-0.04,0,0,3,0,0,0,0,0,0,129,0,0,,Big-5-European-Leagues,Big5,2017-2018
Yassine Bounou,ma MAR,GK,Girona,es La Liga,26,1991,30,30,2655,29.5,46,1.56,136,95,69.1,13,6,11,9,30.0,5,4,0,1,0.0,Matches,2,1,1,40.4,0.28,-4.6,-0.16,177,485,36.5,507,62,67.9,48.9,153,92.2,66.3,259,20,7.7,10,0.34,13.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,77.6,,29,0,,8,1.50,42,46,-4,-0.14,+0.45,37.2,38.2,-1.0,-0.03,-0.39,0,2,1,0,0,0,0,0,1,155,0,0,,Big-5-European-Leagues,Big5,2017-2018
Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10,10,900,10.0,16,1.60,43,28,62.8,3,1,6,3,30.0,0,0,0,0,,Matches,1,1,1,13.5,0.31,-1.5,-0.15,33,71,46.5,158,26,22.8,27.0,42,83.3,57.6,95,3,3.2,3,0.30,14.3,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,26.3,,10,0,,26,1.00,13,16,-3,-0.30,-0.44,15.9,11.7,+4.2,+0.42,+0.44,0,0,1,0,0,0,0,0,0,29,0,0,,Big-5-European-Leagues,Big5,2017-2018
Yoel,es ESP,GK,Eibar,es La Liga,28,1988,1,1,90,1.0,1,1.00,5,5,80.0,1,0,0,0,0.0,0,0,0,0,,Matches,0,0,0,0.8,0.16,+0.8,+0.80,9,25,36.0,22,1,95.5,58.4,4,100.0,65.3,13,1,7.7,3,3.00,16.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,,1,0,,6,1.00,0,0,0,0.00,+0.16,0.7,0.9,-0.2,-0.23,-0.11,0,0,0,0,0,0,0,0,0,12,0,0,,Big-5-European-Leagues,Big5,2017-2018
Yohann PelÃ©,fr FRA,GK,Marseille,fr Ligue 1,34,1982,10,7,738,8.2,10,1.22,26,18,61.5,4,3,1,3,42.9,0,0,0,0,,Matches,0,0,1,7.7,0.27,-1.3,-0.16,36,83,43.4,149,26,37.6,34.8,35,77.1,56.2,69,4,5.8,7,0.88,16.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,74,21.6,,7,3,,28,1.90,15,10,+5,+0.61,-0.33,14.5,9.1,+5.4,+0.66,-0.14,0,1,2,0,0,0,0,0,0,41,0,0,,Big-5-European-Leagues,Big5,2017-2018
Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,23,1994,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,0,0,0,1.2,0.29,+0.2,+0.16,7,14,50.0,32,5,31.3,29.9,4,100.0,70.0,6,0,0.0,4,4.00,21.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.9,,1,0,,33,0.00,0,1,-1,-1.00,-1.15,0.9,1.1,-0.2,-0.24,-0.51,0,0,0,0,0,0,0,0,0,9,0,0,,Big-5-European-Leagues,Big5,2017-2018
Åukasz FabiaÅski,pl POL,GK,Swansea City,eng Premier League,32,1985,38,38,3420,38.0,56,1.47,182,129,70.9,8,9,21,9,23.7,7,3,3,1,50.0,Matches,1,6,2,55.8,0.29,+1.8,+0.05,329,837,39.3,913,152,56.8,46.5,359,88.6,64.5,398,40,10.1,12,0.32,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,,38,0,,0,0.87,28,56,-28,-0.74,,30.5,59.5,-29.0,-0.76,,0,1,5,0,0,0,0,0,0,172,0,1,0.0,Big-5-European-Leagues,Big5,2017-2018
Åukasz Skorupski,pl POL,GK,Roma,it Serie A,26,1991,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,0,0,0,0.5,0.15,+0.5,+0.46,6,12,50.0,30,11,33.3,34.7,6,33.3,36.3,10,0,0.0,1,1.00,13.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,,1,0,,37,3.00,1,0,+1,+1.00,+0.14,1.3,0.8,+0.4,+0.43,-0.35,0,0,0,0,0,0,0,0,0,9,0,0,,Big-5-European-Leagues,Big5,2017-2018
Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5,4,0.73,18,15,83.3,3,2,1,2,33.3,1,1,0,0,0.0,Matches,0,1,0,4.8,0.22,+0.8,+0.15,32,70,45.7,112,23,42.9,36.3,35,62.9,46.7,37,3,8.1,3,0.55,13.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,83,14.5,83,5,0,,16,1.83,8,4,+4,+0.73,+0.76,9.6,4.7,+4.9,+0.89,+0.94,0,0,1,0,0,0,0,0,0,22,0,0,,Big-5-European-Leagues,Big5,2018-2019
Adrian Å emper,hr CRO,GK,Chievo,it Serie A,20,1998,6,6,540,6.0,8,1.33,31,23,74.2,1,3,2,2,33.3,0,0,0,0,,Matches,0,1,0,8.0,0.26,0.0,0.00,49,125,39.2,148,30,52.7,43.8,52,90.4,59.4,100,5,5.0,1,0.17,11.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,15.8,90,6,0,,31,1.00,3,8,-5,-0.83,+0.57,2.8,7.1,-4.2,-0.71,-0.09,0,0,1,0,0,0,0,0,0,39,0,0,,Big-5-European-Leagues,Big5,2018-2019
Aitor FernÃ¡ndez,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,16.0,24,1.50,74,56,73.0,4,5,7,2,12.5,4,4,0,0,0.0,Matches,0,4,2,23.1,0.27,+1.1,+0.07,104,282,36.9,292,74,56.5,44.3,163,71.8,53.1,142,8,5.6,9,0.56,13.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,42.1,90,16,0,,21,1.06,25,24,+1,+0.06,+0.43,19.0,23.2,-4.2,-0.26,+0.36,0,0,4,0,0,0,0,0,0,91,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alban Lafont,fr FRA,GK,Fiorentina,it Serie A,19,1999,34,34,3015,33.5,40,1.19,118,86,70.3,8,15,11,9,26.5,6,5,1,0,16.7,Matches,1,5,3,33.5,0.24,-3.5,-0.10,174,482,36.1,753,160,44.6,40.0,255,57.3,47.9,348,23,6.6,28,0.84,15.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,89,88.2,89,33,0,,3,1.15,43,40,+3,+0.09,+0.31,48.9,38.0,+10.8,+0.32,+0.47,0,0,8,0,0,0,0,0,0,174,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alberto GarcÃ­a,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,17.0,35,2.06,83,51,59.0,3,4,10,4,23.5,4,1,3,0,75.0,Matches,0,5,2,29.6,0.32,-3.4,-0.20,137,279,49.1,408,82,47.8,40.8,124,67.7,50.9,187,11,5.9,9,0.53,14.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,44.7,90,17,0,,21,0.76,18,35,-17,-1.00,-0.43,19.9,25.7,-5.8,-0.34,+0.03,0,0,2,0,0,0,0,0,0,99,0,0,,Big-5-European-Leagues,Big5,2018-2019
Aleksandar JovanoviÄ,rs SRB,GK,Huesca,es La Liga,25,1992,12,12,1080,12.0,19,1.58,43,27,60.5,1,4,7,0,0.0,2,2,0,0,0.0,Matches,1,1,1,15.8,0.33,-2.2,-0.19,79,248,31.9,255,22,68.6,50.0,80,91.3,64.9,91,5,5.5,5,0.42,13.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,31.6,90,12,0,,20,0.58,11,19,-8,-0.67,-0.13,15.6,16.2,-0.6,-0.05,+0.35,0,1,2,0,0,0,0,0,1,41,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38,38,3420,38.0,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20.0,Matches,1,5,2,56.3,0.25,+4.3,+0.11,356,766,46.5,891,172,53.5,42.0,361,80.1,58.2,449,34,7.6,11,0.29,12.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,1.08,36,54,-18,-0.47,,39.3,58.6,-19.3,-0.51,,0,0,8,0,0,0,0,0,0,192,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,28,1989,25,25,2250,25.0,44,1.76,116,77,63.8,5,8,12,4,16.0,2,2,0,0,0.0,Matches,0,4,3,37.8,0.31,-3.2,-0.13,141,449,31.4,471,79,62.2,48.5,186,83.9,62.8,250,22,8.8,12,0.48,14.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,65.8,90,25,0,,8,0.92,28,44,-16,-0.64,-0.33,31.8,37.4,-5.6,-0.23,+0.06,0,0,3,0,0,0,0,0,0,123,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alex Meret,it ITA,GK,Napoli,it Serie A,21,1997,14,13,1150,12.8,9,0.70,47,40,85.1,9,1,3,5,38.5,2,2,0,0,0.0,Matches,0,1,0,11.3,0.20,+2.3,+0.18,36,124,29.0,253,46,30.0,32.3,101,47.5,42.2,114,7,6.1,6,0.47,15.3,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,82,33.7,85,12,1,46,11,2.21,28,9,+19,+1.49,+0.73,23.4,11.6,+11.8,+0.92,+0.06,0,2,4,0,0,0,0,0,1,42,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alexander NÃ¼bel,de GER,GK,Schalke 04,de Bundesliga,21,1996,18,18,1588,17.6,29,1.64,77,49,66.2,4,6,8,4,22.2,4,3,1,0,25.0,Matches,0,0,0,28.4,0.33,-0.6,-0.03,129,297,43.4,394,57,48.0,41.0,133,81.2,57.9,145,10,6.9,5,0.28,13.9,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,51.9,88,17,0,,14,1.00,19,29,-10,-0.57,-0.08,21.4,26.5,-5.0,-0.29,-0.19,0,2,3,0,0,0,0,0,1,67,0,1,0.0,Big-5-European-Leagues,Big5,2018-2019
Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,26,1992,33,33,2970,33.0,60,1.82,162,108,67.3,7,12,14,5,15.2,7,7,0,0,0.0,Matches,0,12,0,54.6,0.30,-5.4,-0.16,288,708,40.7,941,136,47.4,41.0,327,80.1,64.1,343,16,4.7,19,0.58,13.7,0,1,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.5,0.5,0.00,0.01,0.01,0.00,0.01,90,97.1,90,33,0,,1,1.00,41,60,-19,-0.58,-4.58,41.0,54.5,-13.5,-0.41,-0.69,0,0,2,0,0,0,0,0,0,181,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alexandre Olliero,fr FRA,GK,Nantes,fr Ligue 1,22,1996,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0,Matches,0,0,0,0.7,,-0.3,-0.29,4,10,40.0,20,5,35.0,40.4,3,100.0,79.3,7,0,0.0,1,1.00,14.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,11,0.00,0,1,-1,-1.00,-1.03,1.5,0.9,+0.6,+0.56,+0.58,0,0,0,0,0,0,0,0,0,5,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alfred Gomis,sn SEN,GK,SPAL,it Serie A,24,1993,20,19,1723,19.2,27,1.41,76,50,65.8,3,6,10,6,31.6,1,1,0,0,0.0,Matches,0,7,0,24.4,0.32,-2.6,-0.14,109,299,36.5,536,120,39.9,36.9,146,58.2,46.2,159,11,6.9,8,0.42,13.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,86,50.4,90,19,1,13,18,0.90,15,27,-12,-0.63,-0.63,20.9,22.4,-1.5,-0.08,+0.22,0,1,3,0,0,0,0,0,0,126,0,0,,Big-5-European-Leagues,Big5,2018-2019
Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,Matches,0,5,0,27.8,0.29,+5.8,+0.15,197,397,49.6,1055,196,27.2,32.5,213,51.6,46.3,272,22,8.1,39,1.03,16.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,2.55,89,22,+67,+1.76,,74.7,30.5,+44.2,+1.16,,0,0,1,0,0,0,0,0,0,217,1,0,100.0,Big-5-European-Leagues,Big5,2018-2019
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,21,1890,21.0,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0.0,Matches,0,1,1,19.8,0.26,+3.8,+0.18,70,127,55.1,374,95,22.7,28.3,134,31.3,35.2,172,6,3.5,14,0.67,13.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,55.3,90,21,0,,13,2.43,55,17,+38,+1.81,-0.07,49.3,19.4,+29.8,+1.42,-0.07,0,0,2,0,0,0,0,0,0,84,0,0,,Big-5-European-Leagues,Big5,2018-2019
