,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Gianluigi Donnarumma,"€ 213,654","€ 11,110,000","€ 11,110,000",K,20,Italy,Ac Milan,Serie A,2019-2020
1,1,Alessio Romagnoli,"€ 124,615","€ 6,480,000","€ 6,480,000",D,24,Italy,Ac Milan,Serie A,2019-2020
2,2,Lucas Biglia,"€ 124,615","€ 6,480,000","€ 6,480,000",M,33,Argentina,Ac Milan,Serie A,2019-2020
3,3,Pepe Reina,"€ 106,923","€ 5,560,000","€ 5,560,000",K,37,Spain,Ac Milan,Serie A,2019-2020
4,4,Suso,"€ 106,923","€ 5,560,000","€ 5,560,000",F,25,Spain,Ac Milan,Serie A,2019-2020
5,5,Hakan Calhanoglu,"€ 89,038","€ 4,630,000","€ 4,630,000",F,25,Turkey,Ac Milan,Serie A,2019-2020
6,6,Fabio Borini,"€ 89,038","€ 4,630,000","€ 4,630,000",F,28,Italy,Ac Milan,Serie A,2019-2020
7,7,Franck Kessié,"€ 78,269","€ 4,070,000","€ 4,070,000",M,22,Cote d'Ivoire,Ac Milan,Serie A,2019-2020
8,8,Mattia Caldara,"€ 78,269","€ 4,070,000","€ 4,070,000",D,25,Italy,Ac Milan,Serie A,2019-2020
9,9,Ricardo Rodríguez,"€ 74,808","€ 3,890,000","€ 3,890,000",D,27,Switzerland,Ac Milan,Serie A,2019-2020
10,10,Ante Rebic,"€ 74,038","€ 3,850,000","€ 3,850,000",F,25,Croatia,Ac Milan,Serie A,2019-2020
11,11,Zlatan Ibrahimovic,"€ 74,038","€ 3,850,000","€ 3,850,000",F,38,Sweden,Ac Milan,Serie A,2019-2020
12,12,Mateo Musacchio,"€ 71,154","€ 3,700,000","€ 3,700,000",D,29,Argentina,Ac Milan,Serie A,2019-2020
13,13,Andrea Conti,"€ 71,154","€ 3,700,000","€ 3,700,000",D,25,Italy,Ac Milan,Serie A,2019-2020
14,14,Giacomo Bonaventura,"€ 71,154","€ 3,700,000","€ 3,700,000",M,30,Italy,Ac Milan,Serie A,2019-2020
15,15,Krzysztof Piatek,"€ 64,038","€ 3,330,000","€ 3,330,000",F,24,Poland,Ac Milan,Serie A,2019-2020
16,16,Lucas Paquetá,"€ 60,577","€ 3,150,000","€ 3,150,000",F,22,Brazil,Ac Milan,Serie A,2019-2020
17,17,Samu Castillejo,"€ 53,462","€ 2,780,000","€ 2,780,000",F,24,Spain,Ac Milan,Serie A,2019-2020
18,18,Ismaël Bennacer,"€ 53,462","€ 2,780,000","€ 2,780,000",M,21,Algeria,Ac Milan,Serie A,2019-2020
19,19,Diego Laxalt,"€ 49,808","€ 2,590,000","€ 2,590,000",M,26,Uruguay,Ac Milan,Serie A,2019-2020
20,20,Rade Krunic,"€ 39,231","€ 2,040,000","€ 2,040,000",M,25,Bosnia-Herzegovina,Ac Milan,Serie A,2019-2020
21,21,Theo Hernández,"€ 36,923","€ 1,920,000","€ 1,920,000",D,21,France,Ac Milan,Serie A,2019-2020
22,22,Davide Calabria,"€ 35,577","€ 1,850,000","€ 1,850,000",D,22,Italy,Ac Milan,Serie A,2019-2020
23,23,Antonio Donnarumma,"€ 35,577","€ 1,850,000","€ 1,850,000",K,29,Italy,Ac Milan,Serie A,2019-2020
24,24,Rafael Leão,"€ 34,615","€ 1,800,000","€ 1,800,000",F,20,Portugal,Ac Milan,Serie A,2019-2020
25,25,Alexis Saelemaekers,"€ 25,000","€ 1,300,000","€ 1,300,000",M,20,Belgium,Ac Milan,Serie A,2019-2020
26,26,Léo Duarte,"€ 24,615","€ 1,280,000","€ 1,280,000",D,23,Brazil,Ac Milan,Serie A,2019-2020
27,27,Simon Kjaer,"€ 24,615","€ 1,280,000","€ 1,280,000",D,30,Denmark,Ac Milan,Serie A,2019-2020
28,28,Matteo Gabbia,"€ 21,346","€ 1,110,000","€ 1,110,000",D,19,Italy,Ac Milan,Serie A,2019-2020
29,29,Asmir Begovic,"€ 12,308","€ 640,000","€ 640,000",K,32,Bosnia-Herzegovina,Ac Milan,Serie A,2019-2020
30,30,Matteo Soncin,"€ 1,346","€ 70,000","€ 70,000",K,18,Italy,Ac Milan,Serie A,2019-2020
31,31,Marco Brescianini,"€ 1,154","€ 60,000","€ 60,000",M,19,Italy,Ac Milan,Serie A,2019-2020
32,32,Daniel Maldini,€ 385,"€ 20,000","€ 20,000",F,17,Italy,Ac Milan,Serie A,2019-2020
33,33,Andrea Capone,€ 385,"€ 20,000","€ 20,000",F,17,Italy,Ac Milan,Serie A,2019-2020
34,34,Antonio Mionić,€ 385,"€ 20,000","€ 20,000",M,18,Croatia,Ac Milan,Serie A,2019-2020
35,35,Alessandro Sala,€ 385,"€ 20,000","€ 20,000",M,18,Italy,Ac Milan,Serie A,2019-2020
0,0,Mattia Caldara,"€ 78,269","€ 4,070,000","€ 4,070,000",D,25,Italy,Atalanta,Serie A,2019-2020
1,1,Duván Zapata,"€ 64,038","€ 3,330,000","€ 3,330,000",F,28,Colombia,Atalanta,Serie A,2019-2020
2,2,Papu Gómez,"€ 64,038","€ 3,330,000","€ 3,330,000",F,31,Argentina,Atalanta,Serie A,2019-2020
3,3,Josip Ilicic,"€ 53,462","€ 2,780,000","€ 2,780,000",F,31,Slovenia,Atalanta,Serie A,2019-2020
4,4,Mario Pasalic,"€ 46,346","€ 2,410,000","€ 2,410,000",M,24,Croatia,Atalanta,Serie A,2019-2020
5,5,Luis Muriel,"€ 44,423","€ 2,310,000","€ 2,310,000",F,28,Colombia,Atalanta,Serie A,2019-2020
6,6,Rafael Tolói,"€ 28,462","€ 1,480,000","€ 1,480,000",D,28,Brazil,Atalanta,Serie A,2019-2020
7,7,Marten de Roon,"€ 26,731","€ 1,390,000","€ 1,390,000",M,28,Netherlands,Atalanta,Serie A,2019-2020
8,8,Simon Kjaer,"€ 24,615","€ 1,280,000","€ 1,280,000",D,30,Denmark,Atalanta,Serie A,2019-2020
9,9,Ruslan Malinovskyi,"€ 24,615","€ 1,280,000","€ 1,280,000",M,26,Ukraine,Atalanta,Serie A,2019-2020
10,10,José Luis Palomino,"€ 21,346","€ 1,110,000","€ 1,110,000",D,29,Argentina,Atalanta,Serie A,2019-2020
11,11,Timothy Castagne,"€ 19,615","€ 1,020,000","€ 1,020,000",D,23,Belgium,Atalanta,Serie A,2019-2020
12,12,Raoul Bellanova,"€ 18,269","€ 950,000","€ 950,000",D,19,Italy,Atalanta,Serie A,2019-2020
13,13,Andrea Masiello,"€ 17,885","€ 930,000","€ 930,000",D,33,Italy,Atalanta,Serie A,2019-2020
14,14,Pierluigi Gollini,"€ 17,885","€ 930,000","€ 930,000",K,24,Italy,Atalanta,Serie A,2019-2020
15,15,Hans Hateboer,"€ 17,885","€ 930,000","€ 930,000",D,25,Netherlands,Atalanta,Serie A,2019-2020
16,16,Remo Freuler,"€ 17,885","€ 930,000","€ 930,000",M,27,Switzerland,Atalanta,Serie A,2019-2020
17,17,Adrien Tamèze,"€ 15,769","€ 820,000","€ 820,000",M,26,France,Atalanta,Serie A,2019-2020
18,18,Berat Djimsiti,"€ 14,231","€ 740,000","€ 740,000",D,26,Albania,Atalanta,Serie A,2019-2020
19,19,Lennart Czyborra,"€ 14,038","€ 730,000","€ 730,000",D,20,Germany,Atalanta,Serie A,2019-2020
20,20,Bosko Sutalo,"€ 12,500","€ 650,000","€ 650,000",D,20,Croatia,Atalanta,Serie A,2019-2020
21,21,Marco Sportiello,"€ 12,500","€ 650,000","€ 650,000",K,27,Italy,Atalanta,Serie A,2019-2020
22,22,Guilherme Arana,"€ 12,308","€ 640,000","€ 640,000",D,22,Brazil,Atalanta,Serie A,2019-2020
23,23,João Schmidt,"€ 11,538","€ 600,000","€ 600,000",M,26,Brazil,Atalanta,Serie A,2019-2020
24,24,Robin Gosens,"€ 10,769","€ 560,000","€ 560,000",D,25,Germany,Atalanta,Serie A,2019-2020
25,25,Musa Barrow,"€ 8,846","€ 460,000","€ 460,000",F,20,The Gambia,Atalanta,Serie A,2019-2020
26,26,Roger Ibañez,"€ 6,154","€ 320,000","€ 320,000",D,20,Brazil,Atalanta,Serie A,2019-2020
