,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Khouma Babacar,"€ 35,577","€ 1,850,000","€ 1,850,000",F,26,Senegal,Lecce,Serie A,2019-2020
1,Luca Rossettini,"€ 28,462","€ 1,480,000","€ 1,480,000",D,34,Italy,Lecce,Serie A,2019-2020
2,Filippo Falco,"€ 28,462","€ 1,480,000","€ 1,480,000",F,27,Italy,Lecce,Serie A,2019-2020
3,Gianluca Lapadula,"€ 26,731","€ 1,390,000","€ 1,390,000",F,29,Italy,Lecce,Serie A,2019-2020
4,Fabio Lucioni,"€ 25,000","€ 1,300,000","€ 1,300,000",D,31,Italy,Lecce,Serie A,2019-2020
5,Gabriel,"€ 25,000","€ 1,300,000","€ 1,300,000",K,26,Brazil,Lecce,Serie A,2019-2020
6,Andrea La Mantia,"€ 25,000","€ 1,300,000","€ 1,300,000",F,28,Italy,Lecce,Serie A,2019-2020
7,Andrea Rispoli,"€ 25,000","€ 1,300,000","€ 1,300,000",D,30,Italy,Lecce,Serie A,2019-2020
8,Diego Farias,"€ 25,000","€ 1,300,000","€ 1,300,000",F,29,Brazil,Lecce,Serie A,2019-2020
9,Giannelli Imbula,"€ 24,615","€ 1,280,000","€ 1,280,000",M,26,Democratic Republic of Congo,Lecce,Serie A,2019-2020
10,Romario Benzar,"€ 24,615","€ 1,280,000","€ 1,280,000",D,27,Romania,Lecce,Serie A,2019-2020
11,Riccardo Saponara,"€ 22,115","€ 1,150,000","€ 1,150,000",F,28,Italy,Lecce,Serie A,2019-2020
12,Cristian Dell'Orco,"€ 21,346","€ 1,110,000","€ 1,110,000",D,25,Italy,Lecce,Serie A,2019-2020
13,Panagiotis Tachtsidis,"€ 19,808","€ 1,030,000","€ 1,030,000",M,28,Greece,Lecce,Serie A,2019-2020
14,Yevhen Shakhov,"€ 19,808","€ 1,030,000","€ 1,030,000",M,28,Ukraine,Lecce,Serie A,2019-2020
15,Mauro Vigorito,"€ 17,885","€ 930,000","€ 930,000",K,29,Italy,Lecce,Serie A,2019-2020
16,Marco Mancosu,"€ 17,885","€ 930,000","€ 930,000",F,31,Italy,Lecce,Serie A,2019-2020
17,Biagio Meccariello,"€ 17,885","€ 930,000","€ 930,000",D,28,Italy,Lecce,Serie A,2019-2020
18,Andrea Tabanelli,"€ 17,885","€ 930,000","€ 930,000",M,29,Italy,Lecce,Serie A,2019-2020
19,Jacopo Petriccione,"€ 17,885","€ 930,000","€ 930,000",M,24,Italy,Lecce,Serie A,2019-2020
20,Brayan Vera,"€ 17,308","€ 900,000","€ 900,000",D,20,Colombia,Lecce,Serie A,2019-2020
21,Zan Majer,"€ 17,308","€ 900,000","€ 900,000",M,27,Slovenia,Lecce,Serie A,2019-2020
22,Nehuén Paz,"€ 15,962","€ 830,000","€ 830,000",D,26,Argentina,Lecce,Serie A,2019-2020
23,Riccardo Fiamozzi,"€ 14,231","€ 740,000","€ 740,000",D,26,Italy,Lecce,Serie A,2019-2020
24,Alessandro Deiola,"€ 10,769","€ 560,000","€ 560,000",M,24,Italy,Lecce,Serie A,2019-2020
25,Antonin Barak,"€ 10,769","€ 560,000","€ 560,000",M,25,Czech Republic,Lecce,Serie A,2019-2020
26,Davide Riccardi,"€ 10,769","€ 560,000","€ 560,000",D,23,Italy,Lecce,Serie A,2019-2020
27,Radoslav Tsonev,"€ 10,769","€ 560,000","€ 560,000",M,24,Bulgaria,Lecce,Serie A,2019-2020
28,Giulio Donati,"€ 10,577","€ 550,000","€ 550,000",D,29,Italy,Lecce,Serie A,2019-2020
29,Simone Lo Faso,"€ 7,115","€ 370,000","€ 370,000",F,21,Italy,Lecce,Serie A,2019-2020
30,Antonino Gallo,"€ 7,115","€ 370,000","€ 370,000",D,19,Italy,Lecce,Serie A,2019-2020
31,Marco Bleve,"€ 7,115","€ 370,000","€ 370,000",K,23,Italy,Lecce,Serie A,2019-2020
32,Edgaras Dubickas,"€ 7,115","€ 370,000","€ 370,000",F,21,Lithuania,Lecce,Serie A,2019-2020
33,Marco Calderoni,"€ 6,346","€ 330,000","€ 330,000",D,30,Italy,Lecce,Serie A,2019-2020
34,Luka Dumancic,"€ 1,154","€ 60,000","€ 60,000",D,20,Croatia,Lecce,Serie A,2019-2020
35,Gianmarco Chironi,€ 769,"€ 40,000","€ 40,000",K,22,Italy,Lecce,Serie A,2019-2020
36,Roberto Pierno,€ 385,"€ 20,000","€ 20,000",D,18,Italy,Lecce,Serie A,2019-2020
