,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Jacopo Dezi,,"€ 15,000","€ 780,000",CM,29,,"Jun 30, 2022",1-yr,"€ 780,000",Venezia,Serie A,2021-2022
1,Francesco Forte,,"€ 9,038","€ 470,000",CF,28,,"Jun 30, 2023",2-yrs,"€ 940,000",Venezia,Serie A,2021-2022
2,Tyronne Ebuehi,,"€ 8,462","€ 440,000",RB,25,,"Jun 30, 2022",1-yr,"€ 440,000",Venezia,Serie A,2021-2022
3,Pasquale Mazzocchi,,"€ 8,462","€ 440,000",RB,25,,"Jun 30, 2023",2-yrs,"€ 880,000",Venezia,Serie A,2021-2022
4,Michael Svoboda,,"€ 8,462","€ 440,000",CB,22,,"Jun 30, 2023",2-yrs,"€ 880,000",Venezia,Serie A,2021-2022
5,Domen Crnigoj,,"€ 6,731","€ 350,000",RM,25,,"Jun 30, 2023",2-yrs,"€ 700,000",Venezia,Serie A,2021-2022
6,Marco Modolo,,"€ 6,346","€ 330,000",CB,32,,"Jun 30, 2023",2-yrs,"€ 660,000",Venezia,Serie A,2021-2022
7,Riccardo Bocalon,,"€ 5,962","€ 310,000",CF,32,,"Jun 30, 2022",1-yr,"€ 310,000",Venezia,Serie A,2021-2022
8,Luca Lezzerini,,"€ 5,769","€ 300,000",GK,26,,"Jun 30, 2023",2-yrs,"€ 600,000",Venezia,Serie A,2021-2022
9,Dennis Johnsen,,"€ 5,577","€ 290,000",LW,23,,"Jun 30, 2024",3-yrs,"€ 870,000",Venezia,Serie A,2021-2022
10,Anthony Taugourdeau,,"€ 4,615","€ 240,000",DM,32,,"Jun 30, 2023",2-yrs,"€ 480,000",Venezia,Serie A,2021-2022
11,Cristian Molinaro,,"€ 4,231","€ 220,000",LB,37,,"Jun 30, 2024",3-yrs,"€ 660,000",Venezia,Serie A,2021-2022
12,Óttar Magnús Karlsson,,"€ 3,462","€ 180,000",CF,24,,"Jun 30, 2023",2-yrs,"€ 360,000",Venezia,Serie A,2021-2022
13,Luca Fiordilino,,"€ 2,500","€ 130,000",DM,24,,"Jun 30, 2022",1-yr,"€ 130,000",Venezia,Serie A,2021-2022
14,Harvey St Clair,,"€ 1,731","€ 90,000",LW,22,,"Jun 30, 2023",2-yrs,"€ 180,000",Venezia,Serie A,2021-2022
15,Gian Filippo Felicioli,,"€ 1,731","€ 90,000",LB,23,,"Jun 30, 2023",2-yrs,"€ 180,000",Venezia,Serie A,2021-2022
16,Antonio Junior Vacca,,"€ 1,346","€ 70,000",DM,31,,"Jun 30, 2022",1-yr,"€ 70,000",Venezia,Serie A,2021-2022
17,Mattia Aramu,,"€ 1,154","€ 60,000",AM,26,,"Jun 30, 2023",2-yrs,"€ 120,000",Venezia,Serie A,2021-2022
18,Francesco Di Mariano,,€ 769,"€ 40,000",LW,25,,"Jun 30, 2022",1-yr,"€ 40,000",Venezia,Serie A,2021-2022
19,Riccardo Pigozzo,,€ 769,"€ 40,000",GK,21,,"Jun 30, 2022",1-yr,"€ 40,000",Venezia,Serie A,2021-2022
20,Domenico Rossi,,€ 769,"€ 40,000",CM,21,,"Jun 30, 2022",1-yr,"€ 40,000",Venezia,Serie A,2021-2022
21,Bjarki Steinn Bjarkason,,€ 577,"€ 30,000",LW,21,,"Jun 30, 2023",2-yrs,"€ 60,000",Venezia,Serie A,2021-2022
22,Lauri Ala-Myllymäki,,€ 577,"€ 30,000",AM,24,,"Jun 30, 2024",3-yrs,"€ 90,000",Venezia,Serie A,2021-2022
23,Pietro Ceccaroni,,€ 385,"€ 20,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 60,000",Venezia,Serie A,2021-2022
24,Daan Heymans,,€ 0,€ 0,AM,22,,"Jun 30, 2024",3-yrs,€ 0,Venezia,Serie A,2021-2022
25,Gianmarco Zigoni,,€ 0,€ 0,CF,30,,"Jun 30, 2022",1-yr,€ 0,Venezia,Serie A,2021-2022
26,David Schnegg,,€ 0,€ 0,LB,22,,"Jun 30, 2024",3-yrs,€ 0,Venezia,Serie A,2021-2022
27,Damiano Pecile,,€ 0,€ 0,DM,19,,"Jun 30, 2022",1-yr,€ 0,Venezia,Serie A,2021-2022
28,Dor Peretz,,€ 0,€ 0,DM,26,,"Jun 30, 2024",3-yrs,€ 0,Venezia,Serie A,2021-2022
29,Nicolas Galazzi,,€ 0,€ 0,RW,20,,"Jun 30, 2022",1-yr,€ 0,Venezia,Serie A,2021-2022
30,Niki Mäenpää,,€ 0,€ 0,GK,36,,"Jun 30, 2023",2-yrs,€ 0,Venezia,Serie A,2021-2022
31,Bruno Bertinato,,€ 0,€ 0,GK,23,,"Jun 30, 2022",1-yr,€ 0,Venezia,Serie A,2021-2022
