,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Francesco Di Tacchio,,"€ 10,000","€ 520,000",DM,31,,"Jun 30, 2023",2-yrs,"€ 1,040,000",Salernitana,Serie A,2021-2022
1,Frédéric Veseli,,"€ 7,885","€ 410,000",CB,28,,"Jun 30, 2023",2-yrs,"€ 820,000",Salernitana,Serie A,2021-2022
2,Milan Djuric,,"€ 7,308","€ 380,000",CF,31,,"Jun 30, 2022",1-yr,"€ 380,000",Salernitana,Serie A,2021-2022
3,Leonardo Capezzi,,"€ 7,115","€ 370,000",DM,26,,"Jun 30, 2023",2-yrs,"€ 740,000",Salernitana,Serie A,2021-2022
4,Norbert Gyomber,,"€ 5,385","€ 280,000",CB,29,,"Jun 30, 2023",2-yrs,"€ 560,000",Salernitana,Serie A,2021-2022
5,Ramzi Aya,,"€ 4,615","€ 240,000",CB,31,,"Jun 30, 2022",1-yr,"€ 240,000",Salernitana,Serie A,2021-2022
6,Andrea Schiavone,,"€ 3,846","€ 200,000",DM,28,,"Jun 30, 2022",1-yr,"€ 200,000",Salernitana,Serie A,2021-2022
7,Vid Belec,,"€ 3,269","€ 170,000",GK,31,,"Jun 30, 2023",2-yrs,"€ 340,000",Salernitana,Serie A,2021-2022
8,Guido Guerrieri,,"€ 1,346","€ 70,000",GK,25,,"Jun 30, 2022",1-yr,"€ 70,000",Salernitana,Serie A,2021-2022
9,Reda Boultam,,"€ 1,346","€ 70,000",AM,23,,"Jun 30, 2022",1-yr,"€ 70,000",Salernitana,Serie A,2021-2022
10,Tomasz Kupisz,,"€ 1,154","€ 60,000",RM,31,,"Jun 30, 2022",1-yr,"€ 60,000",Salernitana,Serie A,2021-2022
11,Julian Kristoffersen,,€ 962,"€ 50,000",CF,24,,"Jun 30, 2024",3-yrs,"€ 150,000",Salernitana,Serie A,2021-2022
12,Valerio Mantovani,,€ 769,"€ 40,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 120,000",Salernitana,Serie A,2021-2022
13,Francesco Orlando,,€ 0,€ 0,RW,24,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
14,Mirko Esposito,,€ 0,€ 0,RB,25,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
15,Niccolò Giannetti,,€ 0,€ 0,CF,30,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
16,Filippo D'Andrea,,€ 0,€ 0,CF,22,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
17,Felipe Curcio,,€ 0,€ 0,LB,27,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
18,Sanasi Sy,,€ 0,€ 0,LB,22,,"Jun 30, 2024",3-yrs,€ 0,Salernitana,Serie A,2021-2022
19,Sedrick Kalombo,,€ 0,€ 0,RB,26,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
20,Giuseppe Fella,,€ 0,€ 0,SS,27,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
21,Antonio Russo,,€ 0,€ 0,GK,21,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
22,Iacopo Cernigoi,,€ 0,€ 0,CF,26,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
23,Gaetano Vitale,,€ 0,€ 0,CM,19,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
24,Marco Firenze,,€ 0,€ 0,CM,28,,"Jun 30, 2022",1-yr,€ 0,Salernitana,Serie A,2021-2022
25,Michele Cavion,,€ 0,€ 0,CM,26,,"Jun 30, 2025",4-yrs,€ 0,Salernitana,Serie A,2021-2022
