,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
13,Fikayo Tomori,"€ 49,231","€ 2,560,000",CB,23,,"Jun 30, 2025",4-yrs,"€ 10,240,000",Ac Milan,Serie A,2021-2022
14,Sandro Tonali,"€ 42,692","€ 2,220,000",DM,21,,"Jun 30, 2026",5-yrs,"€ 11,100,000",Ac Milan,Serie A,2021-2022
15,Rade Krunic,"€ 39,231","€ 2,040,000",CM,27,,"Jun 30, 2024",3-yrs,"€ 6,120,000",Ac Milan,Serie A,2021-2022
16,Theo Hernández,"€ 36,923","€ 1,920,000",LB,23,,"Jun 30, 2024",3-yrs,"€ 5,760,000",Ac Milan,Serie A,2021-2022
17,Brahim Díaz,"€ 36,923","€ 1,920,000",AM,21,,"Jun 30, 2023",2-yrs,"€ 3,840,000",Ac Milan,Serie A,2021-2022
18,Mattia Caldara,"€ 35,577","€ 1,850,000",CB,27,,"Jun 30, 2023",2-yrs,"€ 3,700,000",Ac Milan,Serie A,2021-2022
19,Rafael Leão,"€ 34,423","€ 1,790,000",CF,22,,"Jun 30, 2024",3-yrs,"€ 5,370,000",Ac Milan,Serie A,2021-2022
20,Ciprian Tatarusanu,"€ 29,615","€ 1,540,000",GK,35,,"Jun 30, 2023",2-yrs,"€ 3,080,000",Ac Milan,Serie A,2021-2022
21,Simon Kjaer,"€ 29,615","€ 1,540,000",CB,32,,"Jun 30, 2022",1-yr,"€ 1,540,000",Ac Milan,Serie A,2021-2022
22,Pietro Pellegri,"€ 24,615","€ 1,280,000",CF,20,,"Jun 30, 2022",1-yr,"€ 1,280,000",Ac Milan,Serie A,2021-2022
23,Jens Petter Hauge,"€ 24,615","€ 1,280,000",LW,21,,"Jun 30, 2025",4-yrs,"€ 5,120,000",Ac Milan,Serie A,2021-2022
24,Fodé Ballo-Touré,"€ 24,615","€ 1,280,000",LB,24,,"Jun 30, 2025",4-yrs,"€ 5,120,000",Ac Milan,Serie A,2021-2022
25,Alexis Saelemaekers,"€ 24,615","€ 1,280,000",RW,22,,"Jun 30, 2024",3-yrs,"€ 3,840,000",Ac Milan,Serie A,2021-2022
26,Matteo Gabbia,"€ 21,346","€ 1,110,000",CB,21,,"Jun 30, 2024",3-yrs,"€ 3,330,000",Ac Milan,Serie A,2021-2022
27,Pierre Kalulu,"€ 14,808","€ 770,000",RB,21,,"Jun 30, 2025",4-yrs,"€ 3,080,000",Ac Milan,Serie A,2021-2022
28,Lorenzo Colombo,"€ 10,769","€ 560,000",CF,19,,"Jun 30, 2024",3-yrs,"€ 1,680,000",Ac Milan,Serie A,2021-2022
29,Daniel Maldini,"€ 10,769","€ 560,000",AM,19,,"Jun 30, 2024",3-yrs,"€ 1,680,000",Ac Milan,Serie A,2021-2022
30,Alessandro Plizzari,"€ 5,769","€ 300,000",GK,21,,"Jun 30, 2023",2-yrs,"€ 600,000",Ac Milan,Serie A,2021-2022
0,Duván Zapata,"€ 64,038","€ 3,330,000",CF,30,,"Jun 30, 2023",2-yrs,"€ 6,660,000",Atalanta,Serie A,2021-2022
1,Josip Ilicic,"€ 64,038","€ 3,330,000",SS,33,,"Jun 30, 2022",1-yr,"€ 3,330,000",Atalanta,Serie A,2021-2022
2,Juan Musso,"€ 56,923","€ 2,960,000",GK,27,,"Jun 30, 2025",4-yrs,"€ 11,840,000",Atalanta,Serie A,2021-2022
3,Aleksey Miranchuk,"€ 53,462","€ 2,780,000",AM,25,,"Jun 30, 2024",3-yrs,"€ 8,340,000",Atalanta,Serie A,2021-2022
4,Viktor Kovalenko,"€ 49,231","€ 2,560,000",AM,25,,"Jun 30, 2025",4-yrs,"€ 10,240,000",Atalanta,Serie A,2021-2022
5,Luis Muriel,"€ 44,423","€ 2,310,000",CF,30,,"Jun 30, 2023",2-yrs,"€ 4,620,000",Atalanta,Serie A,2021-2022
6,Marten de Roon,"€ 35,577","€ 1,850,000",DM,30,,"Jun 30, 2024",3-yrs,"€ 5,550,000",Atalanta,Serie A,2021-2022
7,Mario Pasalic,"€ 35,577","€ 1,850,000",CM,26,,"Jun 30, 2025",4-yrs,"€ 7,400,000",Atalanta,Serie A,2021-2022
8,Rafael Tolói,"€ 35,577","€ 1,850,000",CB,30,,"Jun 30, 2023",2-yrs,"€ 3,700,000",Atalanta,Serie A,2021-2022
9,Hans Hateboer,"€ 28,462","€ 1,480,000",RB,27,,"Jun 30, 2023",2-yrs,"€ 2,960,000",Atalanta,Serie A,2021-2022
10,Berat Djimsiti,"€ 28,462","€ 1,480,000",CB,28,,"Jun 30, 2023",2-yrs,"€ 2,960,000",Atalanta,Serie A,2021-2022
11,José Luis Palomino,"€ 28,462","€ 1,480,000",CB,31,,"Jun 30, 2022",1-yr,"€ 1,480,000",Atalanta,Serie A,2021-2022
12,Remo Freuler,"€ 28,462","€ 1,480,000",CM,29,,"Jun 30, 2022",1-yr,"€ 1,480,000",Atalanta,Serie A,2021-2022
13,Robin Gosens,"€ 28,462","€ 1,480,000",LB,27,,"Jun 30, 2023",2-yrs,"€ 2,960,000",Atalanta,Serie A,2021-2022
14,Ruslan Malinovskyi,"€ 24,615","€ 1,280,000",AM,28,,"Jun 30, 2023",2-yrs,"€ 2,560,000",Atalanta,Serie A,2021-2022
15,Marco Sportiello,"€ 21,346","€ 1,110,000",GK,29,,"Jun 30, 2022",1-yr,"€ 1,110,000",Atalanta,Serie A,2021-2022
16,Arkadiusz Reca,"€ 21,346","€ 1,110,000",LM,26,,"Jun 30, 2022",1-yr,"€ 1,110,000",Atalanta,Serie A,2021-2022
