,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Domenico Criscito,,"€ 42,692","€ 2,220,000",LB,34,,"Jun 30, 2023",2-yrs,"€ 4,440,000",Genoa,Serie A,2021-2022
1,Milan Badelj,,"€ 34,423","€ 1,790,000",DM,32,,"Jun 30, 2023",2-yrs,"€ 3,580,000",Genoa,Serie A,2021-2022
2,Stefano Sturaro,,"€ 29,615","€ 1,540,000",CM,28,,"Jun 30, 2022",1-yr,"€ 1,540,000",Genoa,Serie A,2021-2022
3,Davide Biraschi,,"€ 25,000","€ 1,300,000",CB,27,,"Jun 30, 2024",3-yrs,"€ 3,900,000",Genoa,Serie A,2021-2022
4,Andrea Favilli,,"€ 25,000","€ 1,300,000",CF,24,,"Jun 30, 2023",2-yrs,"€ 2,600,000",Genoa,Serie A,2021-2022
5,Mattia Bani,,"€ 25,000","€ 1,300,000",CB,27,,"Jun 30, 2022",1-yr,"€ 1,300,000",Genoa,Serie A,2021-2022
6,Andrea Masiello,,"€ 25,000","€ 1,300,000",CB,35,,"Jun 30, 2022",1-yr,"€ 1,300,000",Genoa,Serie A,2021-2022
7,Francesco Cassata,,"€ 21,346","€ 1,110,000",CM,23,,"Jun 30, 2022",1-yr,"€ 1,110,000",Genoa,Serie A,2021-2022
8,Ivan Radovanovic,,"€ 21,346","€ 1,110,000",CB,32,,"Jun 30, 2022",1-yr,"€ 1,110,000",Genoa,Serie A,2021-2022
9,Paolo Ghiglione,,"€ 21,346","€ 1,110,000",RM,24,,"Jun 30, 2023",2-yrs,"€ 2,220,000",Genoa,Serie A,2021-2022
10,Manolo Portanova,,"€ 21,346","€ 1,110,000",AM,21,,"Jun 30, 2024",3-yrs,"€ 3,330,000",Genoa,Serie A,2021-2022
11,Mattia Destro,,"€ 19,615","€ 1,020,000",CF,30,,"Jun 30, 2022",1-yr,"€ 1,020,000",Genoa,Serie A,2021-2022
12,Kevin Agudelo,,"€ 14,231","€ 740,000",RW,22,,"Jun 30, 2023",2-yrs,"€ 1,480,000",Genoa,Serie A,2021-2022
13,Federico Marchetti,,"€ 14,231","€ 740,000",GK,38,,"Jun 30, 2022",1-yr,"€ 740,000",Genoa,Serie A,2021-2022
14,Lennart Czyborra,,"€ 9,808","€ 510,000",LM,22,,"Jun 30, 2022",1-yr,"€ 510,000",Genoa,Serie A,2021-2022
15,Alberto Paleari,,"€ 3,269","€ 170,000",GK,28,,"Jun 30, 2022",1-yr,"€ 170,000",Genoa,Serie A,2021-2022
16,Giuseppe Caso,,"€ 1,346","€ 70,000",LW,22,,"Jun 30, 2022",1-yr,"€ 70,000",Genoa,Serie A,2021-2022
17,Filippo Melegoni,,€ 962,"€ 50,000",CM,22,,"Jun 30, 2022",1-yr,"€ 50,000",Genoa,Serie A,2021-2022
18,Nicolò Rovella,,€ 769,"€ 40,000",DM,19,,"Jun 30, 2022",1-yr,"€ 40,000",Genoa,Serie A,2021-2022
19,Lorenzo Andrenacci,,€ 0,€ 0,GK,26,,"Jun 30, 2024",3-yrs,€ 0,Genoa,Serie A,2021-2022
20,Luca Chierico,,€ 0,€ 0,DM,19,,"Jun 30, 2022",1-yr,€ 0,Genoa,Serie A,2021-2022
21,Lukas Lerager,,€ 0,€ 0,CM,28,,"Jun 30, 2023",2-yrs,€ 0,Genoa,Serie A,2021-2022
22,Gabriel Charpentier,,€ 0,€ 0,CF,22,,"Jun 30, 2023",2-yrs,€ 0,Genoa,Serie A,2021-2022
23,Flavio Bianchi,,€ 0,€ 0,CF,21,,"Jun 30, 2024",3-yrs,€ 0,Genoa,Serie A,2021-2022
24,Filip Jagiello,,€ 0,€ 0,CM,23,,"Jun 30, 2023",2-yrs,€ 0,Genoa,Serie A,2021-2022
25,Andrea Cambiaso,,€ 0,€ 0,RB,21,,"Jun 30, 2022",1-yr,€ 0,Genoa,Serie A,2021-2022
26,Pawel Jaroszynski,,€ 0,€ 0,LB,26,,"Jun 30, 2023",2-yrs,€ 0,Genoa,Serie A,2021-2022
27,Raúl Asencio,,€ 0,€ 0,CF,23,,"Jun 30, 2024",3-yrs,€ 0,Genoa,Serie A,2021-2022
28,Aleksander Buksa,,€ 0,€ 0,CF,18,,"Jun 30, 2026",5-yrs,€ 0,Genoa,Serie A,2021-2022
29,Vittorio Parigini,,€ 0,€ 0,RW,25,,"Jun 30, 2024",3-yrs,€ 0,Genoa,Serie A,2021-2022
30,Yayah Kallon,,€ 0,€ 0,SS,20,,"Jun 30, 2022",1-yr,€ 0,Genoa,Serie A,2021-2022
31,Jandrei,,€ 0,€ 0,GK,28,,"Jun 30, 2022",1-yr,€ 0,Genoa,Serie A,2021-2022
32,Zinho Vanheusden,,€ 0,€ 0,CB,21,,"Jun 30, 2026",5-yrs,€ 0,Genoa,Serie A,2021-2022
33,Laurens Serpe,,€ 0,€ 0,CB,20,,"Jun 30, 2023",2-yrs,€ 0,Genoa,Serie A,2021-2022
34,Giacomo Calò,,€ 0,€ 0,DM,24,,"Jun 30, 2023",2-yrs,€ 0,Genoa,Serie A,2021-2022
