,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Javier Pastore,,"€ 160,192","€ 8,330,000",AM,32,,"Jun 30, 2023",2-yrs,"€ 16,660,000",Roma,Serie A,2021-2022
1,Tammy Abraham,,"€ 110,962","€ 5,770,000",CF,23,,"Jun 30, 2026",5-yrs,"€ 28,850,000",Roma,Serie A,2021-2022
2,Steven Nzonzi,,"€ 110,385","€ 5,740,000",DM,32,,"Jun 30, 2022",1-yr,"€ 5,740,000",Roma,Serie A,2021-2022
3,Jordan Veretout,,"€ 106,923","€ 5,560,000",CM,28,,"Jun 30, 2024",3-yrs,"€ 16,680,000",Roma,Serie A,2021-2022
4,Stephan El Shaarawy,,"€ 106,923","€ 5,560,000",LW,28,,"Jun 30, 2023",2-yrs,"€ 11,120,000",Roma,Serie A,2021-2022
5,Leonardo Spinazzola,,"€ 106,923","€ 5,560,000",LB,28,,"Jun 30, 2024",3-yrs,"€ 16,680,000",Roma,Serie A,2021-2022
6,Chris Smalling,,"€ 93,654","€ 4,870,000",CB,31,,"Jun 30, 2023",2-yrs,"€ 9,740,000",Roma,Serie A,2021-2022
7,Nicolò Zaniolo,,"€ 89,038","€ 4,630,000",AM,22,,"Jun 30, 2024",3-yrs,"€ 13,890,000",Roma,Serie A,2021-2022
8,Amadou Diawara,,"€ 89,038","€ 4,630,000",DM,23,,"Jun 30, 2024",3-yrs,"€ 13,890,000",Roma,Serie A,2021-2022
9,Federico Fazio,,"€ 89,038","€ 4,630,000",CB,34,,"Jun 30, 2022",1-yr,"€ 4,630,000",Roma,Serie A,2021-2022
10,Henrikh Mkhitaryan,,"€ 86,346","€ 4,490,000",AM,32,,"Jun 30, 2022",1-yr,"€ 4,490,000",Roma,Serie A,2021-2022
11,Lorenzo Pellegrini,,"€ 81,923","€ 4,260,000",CM,25,,"Jun 30, 2022",1-yr,"€ 4,260,000",Roma,Serie A,2021-2022
12,Rick Karsdorp,,"€ 78,269","€ 4,070,000",RB,26,,"Jun 30, 2025",4-yrs,"€ 16,280,000",Roma,Serie A,2021-2022
13,Pau López,,"€ 74,038","€ 3,850,000",GK,26,,"Jun 30, 2024",3-yrs,"€ 11,550,000",Roma,Serie A,2021-2022
14,Gianluca Mancini,,"€ 71,154","€ 3,700,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 11,100,000",Roma,Serie A,2021-2022
15,Rui Patrício,,"€ 66,538","€ 3,460,000",GK,33,,"Jun 30, 2024",3-yrs,"€ 10,380,000",Roma,Serie A,2021-2022
16,Bryan Cristante,,"€ 64,038","€ 3,330,000",CM,26,,"Jun 30, 2024",3-yrs,"€ 9,990,000",Roma,Serie A,2021-2022
17,Justin Kluivert,,"€ 64,038","€ 3,330,000",LW,22,,"Jun 30, 2023",2-yrs,"€ 6,660,000",Roma,Serie A,2021-2022
18,Marash Kumbulla,,"€ 64,038","€ 3,330,000",CB,21,,"Jun 30, 2022",1-yr,"€ 3,330,000",Roma,Serie A,2021-2022
19,Borja Mayoral,,"€ 56,731","€ 2,950,000",CF,24,,"Jun 30, 2023",2-yrs,"€ 5,900,000",Roma,Serie A,2021-2022
20,Davide Santon,,"€ 53,462","€ 2,780,000",RB,30,,"Jun 30, 2022",1-yr,"€ 2,780,000",Roma,Serie A,2021-2022
21,Carles Pérez,,"€ 49,231","€ 2,560,000",RW,23,,"Jun 30, 2024",3-yrs,"€ 7,680,000",Roma,Serie A,2021-2022
22,Eldor Shomurodov,,"€ 36,923","€ 1,920,000",CF,26,,"Jun 30, 2026",5-yrs,"€ 9,600,000",Roma,Serie A,2021-2022
