,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Fernando Llorente,,"€ 61,731","€ 3,210,000",CF,36,,"Jun 30, 2022",1-yr,"€ 3,210,000",Udinese,Serie A,2021-2022
1,Ilija Nestorovski,,"€ 25,000","€ 1,300,000",CF,31,,"Jun 30, 2022",1-yr,"€ 1,300,000",Udinese,Serie A,2021-2022
2,Mato Jajalo,,"€ 25,000","€ 1,300,000",DM,33,,"Jun 30, 2022",1-yr,"€ 1,300,000",Udinese,Serie A,2021-2022
3,Roberto Pereyra,,"€ 24,615","€ 1,280,000",AM,30,,"Jun 30, 2023",2-yrs,"€ 2,560,000",Udinese,Serie A,2021-2022
4,Gerard Deulofeu,,"€ 24,615","€ 1,280,000",LW,27,,"Jun 30, 2024",3-yrs,"€ 3,840,000",Udinese,Serie A,2021-2022
5,Bram Nuytinck,,"€ 21,346","€ 1,110,000",CB,31,,"Jun 30, 2023",2-yrs,"€ 2,220,000",Udinese,Serie A,2021-2022
6,Sebastien De Maio,,"€ 21,346","€ 1,110,000",CB,34,,"Jun 30, 2022",1-yr,"€ 1,110,000",Udinese,Serie A,2021-2022
7,Stefano Okaka,,"€ 19,808","€ 1,030,000",CF,31,,"Jun 30, 2022",1-yr,"€ 1,030,000",Udinese,Serie A,2021-2022
8,Ignacio Pussetto,,"€ 17,885","€ 930,000",RW,25,,"Jun 30, 2022",1-yr,"€ 930,000",Udinese,Serie A,2021-2022
9,Jens Stryger Larsen,,"€ 17,885","€ 930,000",RB,30,,"Jun 30, 2022",1-yr,"€ 930,000",Udinese,Serie A,2021-2022
10,Samir,,"€ 17,885","€ 930,000",CB,26,,"Jun 30, 2023",2-yrs,"€ 1,860,000",Udinese,Serie A,2021-2022
11,Tolgay Arslan,,"€ 14,808","€ 770,000",CM,30,,"Jun 30, 2022",1-yr,"€ 770,000",Udinese,Serie A,2021-2022
12,Rodrigo Becão,,"€ 14,808","€ 770,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 2,310,000",Udinese,Serie A,2021-2022
13,Walace,,"€ 12,308","€ 640,000",DM,26,,"Jun 30, 2024",3-yrs,"€ 1,920,000",Udinese,Serie A,2021-2022
14,Fernando Forestieri,,"€ 12,308","€ 640,000",SS,31,,"Jun 30, 2022",1-yr,"€ 640,000",Udinese,Serie A,2021-2022
15,Marvin Zeegelaar,,"€ 12,308","€ 640,000",LB,30,,"Jun 30, 2022",1-yr,"€ 640,000",Udinese,Serie A,2021-2022
16,Simone Scuffet,,"€ 8,846","€ 460,000",GK,25,,"Jun 30, 2022",1-yr,"€ 460,000",Udinese,Serie A,2021-2022
17,Jean-Victor Makengo,,"€ 7,308","€ 380,000",CM,23,,"Jun 30, 2025",4-yrs,"€ 1,520,000",Udinese,Serie A,2021-2022
18,Nahuel Molina,,"€ 7,308","€ 380,000",RB,23,,"Jun 30, 2025",4-yrs,"€ 1,520,000",Udinese,Serie A,2021-2022
19,Mamadou Coulibaly,,"€ 7,115","€ 370,000",CM,22,,"Jun 30, 2023",2-yrs,"€ 740,000",Udinese,Serie A,2021-2022
20,Petar Micin,,"€ 3,654","€ 190,000",AM,22,,"Jun 30, 2022",1-yr,"€ 190,000",Udinese,Serie A,2021-2022
21,Martin Palumbo,,"€ 1,346","€ 70,000",CM,19,,"Jun 30, 2025",4-yrs,"€ 280,000",Udinese,Serie A,2021-2022
22,Cristo,,€ 0,€ 0,CF,23,,"Jun 30, 2024",3-yrs,€ 0,Udinese,Serie A,2021-2022
23,Nicholas Opoku,,€ 0,€ 0,CB,23,,"Jun 30, 2022",1-yr,€ 0,Udinese,Serie A,2021-2022
24,Ryder Matos,,€ 0,€ 0,SS,28,,"Jun 30, 2022",1-yr,€ 0,Udinese,Serie A,2021-2022
25,Lukasz Teodorczyk,,€ 0,€ 0,CF,30,,"Jun 30, 2022",1-yr,€ 0,Udinese,Serie A,2021-2022
26,Felipe Vizeu,,€ 0,€ 0,CF,24,,"Jun 30, 2023",2-yrs,€ 0,Udinese,Serie A,2021-2022
27,Daniele Padelli,,€ 0,€ 0,GK,35,,"Jun 30, 2023",2-yrs,€ 0,Udinese,Serie A,2021-2022
