id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3063,Artem Dzyuba,27,2264,20,17.053601887077093,6,7.485693387687206,73,56,0,0,F S,Zenit St. Petersburg,17,12.527953337877989,23.01992779970169,5.772048437036574
2774,Sardar Azmoun,24,1763,19,18.60520789772272,2,2.467504202388227,83,22,4,0,F S,Zenit St. Petersburg,16,14.833837740123272,17.949673832394183,4.6096703708171844
7770,Jordan Larsson,29,2539,15,12.243045318871737,5,4.853524178266525,80,56,6,0,F M,Spartak Moscow,14,10.734494660049677,18.47791014239192,5.657541151158512
5397,Alexander Sobolev,22,1518,14,11.036436654627323,4,3.543534576892853,71,30,10,0,F S,Spartak Moscow,9,7.265066988766193,10.061934396624565,1.9965612906962633
7121,Djorde Despotovic,26,1987,14,11.748051516711712,3,2.423572488129139,63,23,6,0,F S,Rubin Kazan,10,8.730950282886624,11.140357855707407,3.2643680535256863
2771,Christian Noboa,25,2185,12,7.48794656060636,7,6.584155730903149,64,52,6,0,M,PFC Sochi,6,2.9622946605086327,12.331050960347056,7.436038298532367
6276,Nikola Vlasic,26,2271,11,8.393302984535694,5,5.512591104954481,103,71,3,0,M,CSKA Moscow,8,4.621931299567223,15.72785796225071,8.641544813290238
5899,Anton Zabolotny,27,1973,10,9.33310778439045,4,1.8886667480692267,83,25,6,0,F S,PFC Sochi,10,9.33310778439045,11.487380998209119,1.6335268095135689
2057,Ezequiel Ponce,25,1584,9,7.875526847317815,1,1.6943831611424685,62,15,4,0,F M S,Spartak Moscow,9,7.875526847317815,9.426476144231856,2.4872309174388647
2414,Grzegorz Krychowiak,26,2263,9,5.416873384267092,3,3.238405905663967,63,23,7,1,F M S,Lokomotiv Moscow,8,4.6625995226204395,14.046899534761906,8.223813746124506
5497,Vladimir Iljin,28,2056,9,10.679769337177277,3,2.1922492794692516,74,21,6,0,F M S,FK Akhmat,8,8.416943348944187,10.723933711647987,1.4234583619982004
7668,Marcus Berg,21,1625,9,9.61270401161164,3,2.3700210619717836,47,19,4,0,F S,FC Krasnodar,8,8.104153390042484,11.250831068493426,1.9356095036491752
2946,Bernard Berisha,27,1970,8,8.413566147908568,2,3.4370469702407718,59,33,10,0,F M S,FK Akhmat,5,5.396466327831149,10.557269994169474,3.036643907427788
3390,Rémy Cabella,24,1573,8,4.320781169459224,1,2.962011491879821,38,34,2,1,F M S,FC Krasnodar,7,3.5665058474987745,11.941628200933337,7.47193724475801
2772,Aleksandr Erokhin,25,829,7,6.284714721143246,3,2.359804769977927,41,13,2,0,F M S,Zenit St. Petersburg,7,6.284714721143246,9.50076211988926,1.5782458307221532
2775,Dmitriy Poloz,29,1816,7,5.736933507025242,3,1.0363047234714031,32,18,2,0,F M S,"FC Rostov,PFC Sochi",3,2.7198322974145412,4.6627343855798244,2.1406701784580946
2925,Fedor Smolov,21,1389,7,5.747676998376846,3,3.973087053745985,50,22,1,0,F S,Lokomotiv Moscow,7,5.747676998376846,9.916914915665984,2.833044992759824
5454,Fedor Chalov,27,1214,7,9.63767078705132,4,2.8060034960508347,59,22,1,0,F M S,CSKA Moscow,6,8.883395494893193,12.091243620961905,2.0040872301906347
5483,Eric Bicfalvi,22,1948,7,8.556881616823375,1,2.693654917180538,74,28,4,0,F M,Ural,3,5.539785305969417,8.79629211127758,3.002458831295371
6793,Daniil Lesovoy,28,2203,7,5.282271264120936,3,3.064409545622766,56,49,2,1,F M S,"Arsenal Tula,Dinamo Moscow",6,4.527995942160487,11.684750000014901,4.807724355719984
8361,Denis Makarov,28,1943,7,6.64530755020678,1,3.2960083913058043,85,28,8,1,F M S,Rubin Kazan,7,6.64530755020678,11.811111545190215,3.4095958843827248
2869,Reziuan Mirzov,18,1320,6,4.52096363902092,1,2.4685401897877455,44,22,3,0,F M S,"Khimki,Spartak Moscow",4,3.012412967160344,7.343482106924057,2.616782331839204
2986,Nikita Burmistrov,21,1491,6,4.678557453677058,1,1.4965870026499033,43,24,3,1,F M S,PFC Sochi,6,4.678557453677058,8.036973215639591,3.9955241717398167
3067,Artur Yusupov,23,1946,6,2.278654381632805,2,2.2071936167776585,33,30,5,0,F M S,PFC Sochi,6,2.278654381632805,10.607449090108275,7.112854344770312
5459,Konstantin Kuchaev,21,1451,6,4.251942474395037,3,1.8058747332543135,27,23,1,0,M S,CSKA Moscow,6,4.251942474395037,8.530148450285196,3.5254193861037493
5478,Viktor Claesson,24,1732,6,5.717084862291813,5,2.3057753164321184,36,27,6,0,F M S,FC Krasnodar,5,4.9628095254302025,9.915040096268058,3.994773691520095
5536,Daniil Fomin,29,2380,6,5.346103256568313,3,2.933994465507567,49,34,6,0,M,Dinamo Moscow,3,3.0832787696272135,8.409766018390656,5.795331344008446
7680,Andrey Mostovoy,26,955,6,3.763219479471445,2,3.101560326293111,28,25,0,0,F M S,Zenit St. Petersburg,6,3.763219479471445,9.993962181732059,5.436249956488609
8610,Kento Hashimoto,19,1282,6,3.6858943291008472,1,0.4953158609569073,30,10,6,0,M S,FC Rostov,6,3.6858943291008472,4.774209378287196,1.8406411539763212
2751,Aleksey Ionov,28,2199,5,4.014265574514866,5,3.4919646065682173,20,35,3,0,D F M S,"FC Krasnodar,FC Rostov",4,3.2599902227520943,9.641835430637002,4.21669505815953
3333,Francois Kamano,25,1401,5,3.4207948157563806,1,0.7967825336381793,36,15,1,0,F M S,Lokomotiv Moscow,5,3.4207948157563806,7.292145848274231,3.28678685054183
8599,Ilya Kukharchuk,21,1359,5,3.2289864635095,5,2.0845435839146376,30,20,5,1,D F M S,Khimki,5,3.2289864635095,6.781054264865816,2.199248095974326
8694,Chidera Ejuke,25,1606,5,3.552451567724347,2,2.532058828510344,51,22,0,0,F M S,CSKA Moscow,5,3.552451567724347,10.010408218950033,5.072643261402845
541,Victor Moses,19,1520,4,2.217687461525202,2,3.2162708062678576,31,27,2,0,M S,Spartak Moscow,4,2.217687461525202,8.431236999109387,3.3039438324049115
813,Salomón Rondón,10,754,4,6.038814008235931,2,1.0273790210485458,28,8,0,0,F S,CSKA Moscow,2,4.53026476688683,6.2030896730721,0.8613635879009962
960,Clinton N&#039;Jie,23,1137,4,1.8762180246412754,0,1.123718935996294,24,16,4,0,F M S,Dinamo Moscow,4,1.8762180246412754,5.061575211584568,2.3137593204155564
2830,Pavel Pogrebnyak,18,1359,4,3.5878442702814937,0,0.8806080408394337,31,18,3,1,F S,Ural,4,3.5878442702814937,4.648235410451889,0.8960582613945007
3015,Nikolay Komlichenko,25,1072,4,4.148467635735869,0,1.0257413145154715,27,13,3,1,F M S,Dinamo Moscow,1,1.8856416549533606,4.306643228977919,1.7847257144749165
4605,Anton Miranchuk,23,1328,4,6.293050475418568,5,5.434067855589092,43,47,1,0,F M S,Lokomotiv Moscow,1,2.521673873066902,8.598357691429555,2.520959544926882
4695,Arshak Koryan,14,723,4,2.1469213888049126,1,0.8151684915646911,15,9,2,0,D F M S,Khimki,2,0.6383721958845854,2.391778089106083,1.074869493022561
5458,Timur Zhamaletdinov,28,1780,4,4.862118223682046,1,2.0006071012467146,50,20,3,0,F M S,FC Ufa,4,4.862118223682046,7.187488120049238,2.1128006521612406
5926,Magomed-Shapi Suleymanov,27,917,4,3.6406266037374735,0,0.760787270963192,37,19,1,0,F M S,FC Krasnodar,4,3.6406266037374735,5.386854464188218,2.062669463455677
6275,Evans Kangwa,25,1644,4,2.5000828076153994,2,1.1844771848991513,25,14,5,1,F M S,Arsenal Tula,4,2.5000828076153994,3.679272928275168,0.7344903433695436
6331,Alexander Lomovitskiy,26,1965,4,2.9504456743597984,2,1.9817401496693492,36,24,4,0,D F M S,"Arsenal Tula,Khimki",4,2.9504456743597984,5.8436677772551775,2.156178983859718
6611,Vyacheslav Grulev,25,1380,4,4.065494794398546,1,1.2744323229417205,56,24,7,0,F S,Dinamo Moscow,4,4.065494794398546,5.674147240817547,1.3833125876262784
7453,Khvicha Kvaratskhelia,23,1751,4,4.526861833408475,4,3.67791023850441,51,33,6,0,F M S,Rubin Kazan,4,4.526861833408475,12.040317406877875,4.851715917699039
7633,Rafal Augustyniak,25,1930,4,1.2488783840090036,0,0.6583098135888577,35,11,4,1,D M S,Ural,4,1.2488783840090036,4.288164489902556,2.9378946032375097
7650,Murilo Cerqueira,22,1980,4,1.5268347188830376,0,1.0852101184427738,18,7,3,0,D,Lokomotiv Moscow,4,1.5268347188830376,5.127064758911729,4.607865573838353
8143,German Onugkha,11,692,4,3.397149657830596,0,0.17130129039287567,21,2,5,0,F S,FC Tambov,3,1.8885990483686328,2.35272703692317,0.41041109152138233
8873,Vladislav Kamilov,18,1354,4,3.4163930960930884,1,0.6747018061578274,26,16,5,0,D M S,FC Ufa,4,2.662117774132639,6.858054004609585,4.783805905841291
8928,Flamarion Junior,20,1548,4,4.527308586984873,1,1.3743510004132986,23,14,3,0,F M S,FC Rotor Volgograd,2,2.2644826509058475,3.381502028554678,1.288065833505243
9153,Filip Mrzljak,15,1131,4,2.796036960557103,1,2.2023974619805813,15,15,7,0,F M S,FC Ufa,4,2.796036960557103,6.565310601145029,2.2973380591720343
2712,Rifat Zhemaletdinov,22,1373,3,1.8711818512529135,5,1.715357679873705,21,23,8,0,M S,Lokomotiv Moscow,3,1.8711818512529135,6.746358025819063,3.6121782083064318
2814,Denis Glushakov,15,1246,3,1.7086008191108704,1,1.4914545565843582,29,16,4,0,M S,Khimki,3,1.7086008191108704,3.59337842091918,1.9558150470256805
2815,Quincy Promes,11,901,3,2.9614965077489614,2,1.3487165942788124,37,22,3,0,M S,Spartak Moscow,3,2.9614965077489614,5.226378507912159,1.7295513562858105
2822,George Melkadze,19,1101,3,5.281130263581872,1,0.7658196669071913,33,13,3,0,F M S,FK Akhmat,2,3.7725796345621347,5.420521734282374,1.6558831837028265
2832,Brian Idowu,28,2507,3,2.6043768422678113,1,1.58284249342978,23,33,7,1,D,Khimki,3,2.6043768422678113,6.7983636148273945,3.230105619877577
2854,Daler Kuzyaev,18,1283,3,2.4018531627953053,3,1.691105306148529,30,19,4,0,F M S,Zenit St. Petersburg,3,2.4018531627953053,8.900852978229523,5.877169858664274
2880,Sergey Tkachev,21,1095,3,1.6870515812188387,3,2.1027790857478976,36,32,5,1,F M S,Arsenal Tula,3,1.6870515812188387,3.3024117331951857,0.88658507168293
2887,Kirill Panchenko,26,1432,3,4.26376261562109,1,0.7263027280569077,62,10,4,0,F M S,"Arsenal Tula,FC Tambov",3,4.26376261562109,4.269278363324702,1.3315204735845327
2894,Vladislav Ignatjev,16,955,3,2.2799681276082993,0,0.713486754335463,14,8,2,0,D M S,Lokomotiv Moscow,3,2.2799681276082993,2.5855609215795994,1.3576551713049412
2929,Yuri Gazinskiy,26,1942,3,1.8832878954708576,2,2.2568646874278784,18,20,7,0,M S,FC Krasnodar,3,1.8832878954708576,9.81673715915531,6.69264951813966
3026,Artem Timofeev,26,2160,3,4.076989788562059,2,1.8371611246839166,37,21,7,1,M S,FK Akhmat,3,4.076989788562059,10.610698669217527,5.692631423473358
3162,Khoren Bayramyan,23,1291,3,2.2292762361466885,1,1.9798450032249093,24,15,4,0,F M S,FC Rostov,3,2.2292762361466885,5.106527889147401,1.1517003513872623
3196,Kamil Mullin,25,1534,3,2.3715696167200804,0,0.8241663770750165,27,16,1,0,F M S,FC Rotor Volgograd,3,2.3715696167200804,3.302982426248491,0.7450009235180914
3262,Malcom,21,1645,3,4.2969986237585545,3,4.651069538667798,64,44,2,0,F M S,Zenit St. Petersburg,3,4.2969986237585545,14.674901507794857,8.835158752277493
5286,Douglas Santos,28,2466,3,1.666952078230679,7,3.9970061164349318,29,62,2,0,D M,Zenit St. Petersburg,3,1.666952078230679,14.28198605030775,11.559504480101168
5417,Mohamed Konate,26,1511,3,4.6377821527421474,2,0.9029284538701177,47,12,5,0,F S,Khimki,3,4.6377821527421474,4.960809249430895,0.9090846944600344
5452,Miha Mevlja,29,2580,3,0.7974112574011087,0,0.08275019004940987,6,2,4,0,D,PFC Sochi,3,0.7974112574011087,5.072702014818788,4.970847183838487
5538,Vyacheslav Karavayev,25,2178,3,1.6926489882171154,3,1.653648354113102,19,21,2,0,D,Zenit St. Petersburg,3,1.6926489882171154,8.98462425544858,6.658032119274139
5940,Sergey Terekhov,27,2376,3,2.741486232727766,1,2.7158769108355045,25,17,8,1,D,PFC Sochi,3,2.741486232727766,9.914919067174196,5.957308929413557
6773,Samuel Gigot,26,2311,3,2.3682089745998383,0,0.2697619888931513,22,8,5,1,D,Spartak Moscow,3,2.3682089745998383,5.6964834136888385,5.261492400430143
6774,Aleksey Sutormin,26,941,3,1.5180425653234124,4,2.3316878899931908,22,27,3,0,D F M S,Zenit St. Petersburg,3,1.5180425653234124,8.54393407702446,6.014573875814676
7123,Evgeny Kharin,29,1717,3,1.3690957385115325,1,2.245135957375169,21,16,4,0,D F M S,FK Akhmat,3,1.3690957385115325,5.566391472239047,2.3023432167246938
7183,Daniil Khlusevich,25,1240,3,1.8005042290315032,3,2.632968733087182,18,15,5,0,D M S,Arsenal Tula,3,1.8005042290315032,5.113425490446389,2.1128884283825755
7479,Kristoffer Olsson,26,1724,3,3.2287166276946664,2,1.6167846787720919,24,21,6,0,M S,FC Krasnodar,3,3.2287166276946664,11.912874948233366,7.652173918671906
7632,Ivan Ordets,27,2388,3,1.062031639739871,0,0.3098296197131276,12,6,7,1,D,Dinamo Moscow,3,1.062031639739871,5.240107011049986,5.0375343332998455
7655,Carl Starfelt,29,2595,3,1.746274383738637,0,0.2119656801223755,9,3,1,0,D,Rubin Kazan,3,1.746274383738637,5.049131041392684,4.919555490836501
7658,Aleksandre Karapetian,16,913,3,2.0621408745646477,0,0.08300820365548134,24,2,1,0,F S,FC Tambov,3,2.0621408745646477,2.533700332045555,0.6984153520315886
8342,Ilia Shkurin,9,348,3,1.8397421780973673,0,0.4980634246021509,9,7,0,1,F S,CSKA Moscow,3,1.8397421780973673,2.345478320494294,0.06426434591412544
8360,Darko Jevtic,25,1835,3,1.8646372444927692,3,5.087098558433354,29,49,3,1,M S,Rubin Kazan,3,1.8646372444927692,8.02583842817694,3.145599542185664
8626,Nikola Moro,24,1638,3,2.219409117475152,1,1.0414209049195051,30,18,2,0,M S,Dinamo Moscow,1,0.710858503356576,5.111064994707704,3.6196924545802176
8634,Hwang In-Beom,18,1262,3,1.697390479966998,2,2.697268022224307,19,32,3,1,M S,Rubin Kazan,3,1.697390479966998,5.297149093821645,2.37625034712255
8760,Arsen Zakharyan,13,886,3,2.889622699469328,3,2.056089950725436,26,23,3,0,F M S,Dinamo Moscow,3,2.889622699469328,6.462141044437885,2.685153588652611
