player,season,league,team,position,outfielder_goalkeeper,age,country,weekly_gross_base_salary_gbp,annual_gross_base_salary_gbp,adj_current_gross_base_salary_gbp,estimated_gross_total_gbp,current_contract_status,current_contract_expiration,current_contract_length
Aaron Leya Iseka,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,17,Belgium,3757,195415,208123,,nan,,
Alexander Büttner,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,26,Netherlands,18928,984279,1048291,,nan,,
Andy Kawaya,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,18,Belgium,0,0,0,,nan,,
Andy Nájar,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,22,Honduras,0,0,0,,nan,,
Anthony Vanden Borre,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,27,Belgium,8676,451165,480506,,nan,,
Bram Nuytinck,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,25,Netherlands,8676,451165,480506,,nan,,
Davy Roef,2015-2016,Belgian First Division A,Anderlecht,Goalkeeper,Goalkeeper,21,Belgium,2892,150388,160169,,nan,,
Dennis Praet,2015-2016,Belgian First Division A,Anderlecht,Midfielder,Outfielder,21,Belgium,13888,722225,769194,,nan,,
Dodi Lukebakio,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,17,Belgium,1159,60335,64259,,nan,,
Fabrice N'Sakala,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,24,Democratic Republic of the Congo,7238,376421,400901,,nan,,
Filip Djuricic,2015-2016,Belgian First Division A,Anderlecht,Midfielder,Outfielder,23,Serbia,9369,487186,518870,,nan,,
Frank Acheampong,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,21,Ghana,5212,271059,288687,,nan,,
Frank Boeckx,2015-2016,Belgian First Division A,Anderlecht,Goalkeeper,Goalkeeper,28,Belgium,1159,60335,64259,,nan,,
Guillaume Gillet,2015-2016,Belgian First Division A,Anderlecht,Midfielder,Outfielder,31,Belgium,0,0,0,,nan,,
Hervé Matthys,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,19,Belgium,0,0,0,,nan,,
Ibrahima Conté,2015-2016,Belgian First Division A,Anderlecht,Midfielder,Outfielder,24,Guinea,7238,376421,400901,,nan,,
Idrissa Sylla,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,24,Guinea,5784,300777,320338,,nan,,
Imoh Ezekiel,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,21,Nigeria,28938,1504785,1602648,,nan,,
