,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Raul Ruidiaz,"$ 38,462","$ 2,000,004","$ 2,024,676",F,30,Peru,Seattle Sounders,Mls,2019
1,Nicolas Lodeiro,"$ 38,462","$ 2,000,000","$ 2,024,672",M,31,Uruguay,Seattle Sounders,Mls,2019
2,Victor Rodriguez,"$ 19,231","$ 1,000,000","$ 1,012,336",M,31,Spain,Seattle Sounders,Mls,2019
3,Roman Torres,"$ 12,885","$ 670,000","$ 678,265",D,34,Panama,Seattle Sounders,Mls,2019
4,Emanuel Cecchini,"$ 12,462","$ 648,000","$ 655,994",M,24,Argentina,Seattle Sounders,Mls,2019
5,Kim Kee-Hee,"$ 12,308","$ 640,000","$ 647,895",D,31,South Korea,Seattle Sounders,Mls,2019
6,Gustav Svensson,"$ 10,962","$ 570,000","$ 577,031",D,34,Sweden,Seattle Sounders,Mls,2019
7,Kelvin Leerdam,"$ 10,577","$ 550,000","$ 556,785",D,30,Netherlands,Seattle Sounders,Mls,2019
8,Brad Smith,"$ 10,175","$ 529,092","$ 535,619",D,26,Australia,Seattle Sounders,Mls,2019
9,Jordan Morris,"$ 9,606","$ 499,500","$ 505,662",F,26,United States,Seattle Sounders,Mls,2019
10,Joevin Jones,"$ 9,269","$ 482,004","$ 487,950",M,29,Trinidad and Tobago,Seattle Sounders,Mls,2019
11,Cristian Roldan,"$ 8,846","$ 460,000","$ 465,674",M,25,United States,Seattle Sounders,Mls,2019
12,Xavier Arreaga,"$ 7,569","$ 393,600","$ 398,455",D,26,Ecuador,Seattle Sounders,Mls,2019
13,Will Bruin,"$ 6,731","$ 350,000","$ 354,318",F,31,United States,Seattle Sounders,Mls,2019
14,Stefan Frei,"$ 6,250","$ 325,000","$ 329,009",K,34,United States,Seattle Sounders,Mls,2019
15,Harry Shipp,"$ 4,519","$ 235,000","$ 237,899",M,29,United States,Seattle Sounders,Mls,2019
16,Nouhou Tolo,"$ 1,615","$ 84,000","$ 85,036",D,24,Cameroon,Seattle Sounders,Mls,2019
17,Jordy Delem,"$ 1,363","$ 70,875","$ 71,749",D,27,Martinique,Seattle Sounders,Mls,2019
18,Bryan Meredith,"$ 1,363","$ 70,875","$ 71,749",K,31,United States,Seattle Sounders,Mls,2019
19,Justin Dhillon,"$ 1,351","$ 70,250","$ 71,117",F,25,United States,Seattle Sounders,Mls,2019
20,Jonathan Campbell,"$ 1,351","$ 70,250","$ 71,117",D,27,United States,Seattle Sounders,Mls,2019
21,Luis Silva,"$ 1,351","$ 70,250","$ 71,117",F,32,United States,Seattle Sounders,Mls,2019
22,Saad Abdul-Salaam,"$ 1,351","$ 70,250","$ 71,117",D,29,United States,Seattle Sounders,Mls,2019
23,Alex Roldan,"$ 1,100","$ 57,225","$ 57,931",M,24,United States,Seattle Sounders,Mls,2019
24,Handwalla Bwana,"$ 1,100","$ 57,225","$ 57,931",M,21,Kenya,Seattle Sounders,Mls,2019
25,Trey Muse,"$ 1,082","$ 56,250","$ 56,944",K,21,United States,Seattle Sounders,Mls,2019
26,Danny Leyva,"$ 1,082","$ 56,250","$ 56,944",D,17,United States,Seattle Sounders,Mls,2019
27,Alfonso Ocampo-Chavez,"$ 1,082","$ 56,250","$ 56,944",F,18,United States,Seattle Sounders,Mls,2019
