,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Ali Adnan,"$ 23,077","$ 1,200,000","$ 1,214,803",D,27,Iraq,Vancouver Whitecaps,Mls,2019
1,Fredy Montero,"$ 14,769","$ 768,000","$ 777,474",F,33,Colombia,Vancouver Whitecaps,Mls,2019
2,Jon Erice Dominguez,"$ 12,587","$ 654,546","$ 662,620",M,34,Spain,Vancouver Whitecaps,Mls,2019
3,Yordy Reyna,"$ 12,500","$ 650,000","$ 658,018",F,27,Peru,Vancouver Whitecaps,Mls,2019
4,Hwang In-Beom,"$ 11,538","$ 600,000","$ 607,402",M,24,South Korea,Vancouver Whitecaps,Mls,2019
5,Erik Godoy,"$ 7,343","$ 381,818","$ 386,528",D,27,Argentina,Vancouver Whitecaps,Mls,2019
6,Michaell Chirinos,"$ 6,923","$ 360,000","$ 364,441",M,25,Honduras,Vancouver Whitecaps,Mls,2019
7,Joaquín Ardaiz,"$ 5,245","$ 272,727","$ 276,091",F,22,Uruguay,Vancouver Whitecaps,Mls,2019
8,Anthony Blondell,"$ 5,048","$ 262,500","$ 265,738",F,26,Venezuela,Vancouver Whitecaps,Mls,2019
9,Andy Rose,"$ 3,702","$ 192,500","$ 194,875",M,31,Australia,Vancouver Whitecaps,Mls,2019
10,Doneil Henry,"$ 3,654","$ 190,008","$ 192,352",D,27,Canada,Vancouver Whitecaps,Mls,2019
11,Zac MacMath,"$ 3,654","$ 190,000","$ 192,344",K,29,United States,Vancouver Whitecaps,Mls,2019
12,Jasser Khmiri,"$ 3,462","$ 180,000","$ 182,220",D,23,Tunisia,Vancouver Whitecaps,Mls,2019
13,Russell Teibert,"$ 3,269","$ 170,000","$ 172,097",D,28,Canada,Vancouver Whitecaps,Mls,2019
14,Scott Sutter,"$ 2,981","$ 155,000","$ 156,912",D,34,Switzerland,Vancouver Whitecaps,Mls,2019
15,Jake Nerwinski,"$ 2,308","$ 120,000","$ 121,480",D,26,United States,Vancouver Whitecaps,Mls,2019
16,Victor Giro,"$ 2,019","$ 105,000","$ 106,295",D,26,Brazil,Vancouver Whitecaps,Mls,2019
17,Alhassane Bangoura,"$ 1,923","$ 100,000","$ 101,234",M,28,Guinea,Vancouver Whitecaps,Mls,2019
18,Derek Cornelius,"$ 1,923","$ 100,000","$ 101,234",D,23,Canada,Vancouver Whitecaps,Mls,2019
19,Maxime Crepeau,"$ 1,731","$ 90,000","$ 91,110",K,26,Canada,Vancouver Whitecaps,Mls,2019
20,Brett Levis,"$ 1,378","$ 71,663","$ 72,547",D,27,Canada,Vancouver Whitecaps,Mls,2019
21,Tosaint Ricketts,"$ 1,351","$ 70,250","$ 71,117",F,33,Canada,Vancouver Whitecaps,Mls,2019
22,Sean Melvin,"$ 1,351","$ 70,250","$ 71,117",K,26,Canada,Vancouver Whitecaps,Mls,2019
23,David Norman,"$ 1,100","$ 57,225","$ 57,931",M,22,Canada,Vancouver Whitecaps,Mls,2019
24,Brendan McDonough,"$ 1,082","$ 56,250","$ 56,944",D,24,United States,Vancouver Whitecaps,Mls,2019
25,Georges Mukumbilwa,"$ 1,082","$ 56,250","$ 56,944",D,21,Canada,Vancouver Whitecaps,Mls,2019
26,Michael Baldisimo,"$ 1,082","$ 56,250","$ 56,944",D,20,Canada,Vancouver Whitecaps,Mls,2019
27,Simon Colyn,"$ 1,082","$ 56,250","$ 56,944",M,18,Canada,Vancouver Whitecaps,Mls,2019
28,Thelonius Bair,"$ 1,082","$ 56,250","$ 56,944",F,21,Canada,Vancouver Whitecaps,Mls,2019
29,Thomas Hasal,"$ 1,082","$ 56,250","$ 56,944",K,21,Canada,Vancouver Whitecaps,Mls,2019
