,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Carlos Vela,"$ 86,538","$ 4,500,000","$ 4,555,511",M,31,Mexico,La FC,Mls,2019
1,Diego Rossi,"$ 19,231","$ 1,000,000","$ 1,012,336",M,22,Uruguay,La FC,Mls,2019
2,Adama Diomande,"$ 16,346","$ 850,000","$ 860,485",F,31,Norway,La FC,Mls,2019
3,Brian Rodriguez Bravo,"$ 13,462","$ 700,000","$ 708,635",F,20,Uruguay,La FC,Mls,2019
4,Walker Zimmerman,"$ 11,538","$ 600,000","$ 607,402",D,27,United States,La FC,Mls,2019
5,Lee Nguyen,"$ 10,096","$ 525,000","$ 531,476",M,34,United States,La FC,Mls,2019
6,Eduard Atuesta,"$ 9,135","$ 475,000","$ 480,860",D,23,Colombia,La FC,Mls,2019
7,Diego Palacios,"$ 6,231","$ 324,000","$ 327,997",D,21,Ecuador,La FC,Mls,2019
8,Steven Beitashour,"$ 5,288","$ 275,000","$ 278,392",D,34,Iran,La FC,Mls,2019
9,Danilo Silva,"$ 3,846","$ 200,000","$ 202,467",D,34,Brazil,La FC,Mls,2019
10,Eddie Segura,"$ 3,846","$ 200,000","$ 202,467",D,24,Colombia,La FC,Mls,2019
11,Mohammed El-Mounir,"$ 3,558","$ 185,000","$ 187,282",D,28,Libya,La FC,Mls,2019
12,Mark-Anthony Kaye,"$ 3,197","$ 166,248","$ 168,299",M,26,Canada,La FC,Mls,2019
13,Jordan Harvey,"$ 3,173","$ 165,000","$ 167,035",D,37,United States,La FC,Mls,2019
14,Rodolfo Zelaya,"$ 3,125","$ 162,500","$ 164,505",F,32,El Salvador,La FC,Mls,2019
15,Dejan Jakovic,"$ 2,885","$ 150,000","$ 151,850",D,35,Canada,La FC,Mls,2019
16,Alejandro Guido,"$ 2,308","$ 120,000","$ 121,480",D,26,United States,La FC,Mls,2019
17,Pablo Sisniega,"$ 2,019","$ 105,000","$ 106,295",K,25,Mexico,La FC,Mls,2019
18,Latif Blessing,"$ 1,803","$ 93,750","$ 94,906",M,24,Ghana,La FC,Mls,2019
19,Tyler Miller,"$ 1,492","$ 77,565","$ 78,522",K,27,United States,La FC,Mls,2019
20,Josh Perez,"$ 1,462","$ 76,000","$ 76,938",M,23,United States,La FC,Mls,2019
21,Tristan Blackmon,"$ 1,351","$ 70,250","$ 71,117",D,24,United States,La FC,Mls,2019
22,Peter Vassell,"$ 1,351","$ 70,250","$ 71,117",M,23,Jamaica,La FC,Mls,2019
23,Adrien Perez,"$ 1,082","$ 56,250","$ 56,944",F,25,United States,La FC,Mls,2019
24,Lamar Batista,"$ 1,082","$ 56,250","$ 56,944",D,22,United States,La FC,Mls,2019
25,Philip Ejimadu,"$ 1,082","$ 56,250","$ 56,944",K,21,United States,La FC,Mls,2019
26,Javier Perez,"$ 1,082","$ 56,250","$ 56,944",M,24,Spain,La FC,Mls,2019
