,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Maxi Moralez,"$ 38,462","$ 2,000,000","$ 2,024,672",M,33,Argentina,Nyc FC,Mls,2019
1,Alexander Ring,"$ 16,346","$ 850,000","$ 860,485",M,29,Finland,Nyc FC,Mls,2019
2,Heber Araujo dos Santos,"$ 15,096","$ 785,000","$ 794,684",F,29,Brazil,Nyc FC,Mls,2019
3,Jesus Medina,"$ 14,423","$ 750,000","$ 759,252",M,23,Paraguay,Nyc FC,Mls,2019
4,Maxime Chanot,"$ 12,500","$ 650,000","$ 658,018",D,31,Luxembourg,Nyc FC,Mls,2019
5,Alexander Callens,"$ 11,538","$ 600,000","$ 607,402",D,28,Peru,Nyc FC,Mls,2019
6,Alexandru Mitrita,"$ 9,615","$ 500,000","$ 506,168",M,26,Romania,Nyc FC,Mls,2019
7,Anton Tinnerholm,"$ 9,554","$ 496,800","$ 502,928",D,29,Sweden,Nyc FC,Mls,2019
8,Sean Johnson,"$ 7,692","$ 400,000","$ 404,934",K,31,United States,Nyc FC,Mls,2019
9,Ismael Tajouri-Shradi,"$ 6,731","$ 350,000","$ 354,318",M,26,Libya,Nyc FC,Mls,2019
10,Ebenezer Ofori,"$ 6,250","$ 325,000","$ 329,009",D,25,Ghana,Nyc FC,Mls,2019
11,Ronald Matarrita,"$ 5,769","$ 300,000","$ 303,701",D,26,Costa Rica,Nyc FC,Mls,2019
12,Gary Mackay-Steven,"$ 5,000","$ 260,000","$ 263,207",M,30,Scotland,Nyc FC,Mls,2019
13,Valentin Castellanos,"$ 4,808","$ 250,000","$ 253,084",M,22,Argentina,Nyc FC,Mls,2019
14,Ben Sweat,"$ 3,846","$ 200,000","$ 202,467",D,29,United States,Nyc FC,Mls,2019
15,Keaton Parks,"$ 2,885","$ 150,000","$ 151,850",D,23,United States,Nyc FC,Mls,2019
16,Eric Miller,"$ 2,088","$ 108,550","$ 109,889",D,28,United States,Nyc FC,Mls,2019
17,James Sands,"$ 2,019","$ 105,000","$ 106,295",D,20,United States,Nyc FC,Mls,2019
18,Brad Stuver,"$ 1,923","$ 100,000","$ 101,234",K,29,United States,Nyc FC,Mls,2019
19,Sebastien Ibeagha,"$ 1,428","$ 74,250","$ 75,166",D,29,United States,Nyc FC,Mls,2019
20,Tony Rocha,"$ 1,391","$ 72,347","$ 73,239",M,27,United States,Nyc FC,Mls,2019
21,Juan Pablo Torres,"$ 1,351","$ 70,250","$ 71,117",M,21,United States,Nyc FC,Mls,2019
22,Daniel Bedoya,"$ 1,351","$ 70,250","$ 71,117",M,27,Colombia,Nyc FC,Mls,2019
23,Jeff Caldwell,"$ 1,100","$ 57,225","$ 57,931",K,24,United States,Nyc FC,Mls,2019
24,Luis Barraza,"$ 1,082","$ 56,250","$ 56,944",K,24,United States,Nyc FC,Mls,2019
25,Justin Haak,"$ 1,082","$ 56,250","$ 56,944",M,19,United States,Nyc FC,Mls,2019
26,Joe Scally,"$ 1,082","$ 56,250","$ 56,944",D,18,United States,Nyc FC,Mls,2019
27,Abdi Mohamed,"$ 1,082","$ 56,250","$ 56,944",D,24,Somalia,Nyc FC,Mls,2019
