,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Matias Pellegrini,"$ 1,442","$ 75,000","$ 75,925",M,20,Argentina,Inter Miami,Mls,2019
1,Julian Carranza,"$ 1,351","$ 70,250","$ 71,117",F,20,Argentina,Inter Miami,Mls,2019
