,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Albert Rusnak,"$ 34,615","$ 1,800,000","$ 1,822,205",M,26,Slovakia,Real Salt Lake,Mls,2019
1,Everton Luiz,"$ 19,231","$ 1,000,000","$ 1,012,336",D,32,Brazil,Real Salt Lake,Mls,2019
2,Damir Kreilach,"$ 18,630","$ 968,769","$ 980,720",M,31,Croatia,Real Salt Lake,Mls,2019
3,Marcelo Silva,"$ 13,942","$ 725,004","$ 733,948",D,31,Uruguay,Real Salt Lake,Mls,2019
4,Joao Plata,"$ 13,942","$ 725,004","$ 733,948",M,28,Ecuador,Real Salt Lake,Mls,2019
5,Sam Johnson,"$ 12,500","$ 650,000","$ 658,018",F,27,Liberia,Real Salt Lake,Mls,2019
6,Jefferson Savarino,"$ 9,135","$ 475,008","$ 480,868",M,24,Venezuela,Real Salt Lake,Mls,2019
7,Nedum Onuoha,"$ 8,654","$ 450,000","$ 455,551",D,34,England,Real Salt Lake,Mls,2019
8,Justen Glad,"$ 6,635","$ 345,000","$ 349,256",D,23,United States,Real Salt Lake,Mls,2019
9,Kyle Beckerman,"$ 5,769","$ 300,000","$ 303,701",D,38,United States,Real Salt Lake,Mls,2019
10,Nick Rimando,"$ 5,769","$ 300,000","$ 303,701",K,41,United States,Real Salt Lake,Mls,2019
11,Kelyn Rowe,"$ 5,027","$ 261,400","$ 264,625",M,29,United States,Real Salt Lake,Mls,2019
12,Jordan Allen,"$ 4,577","$ 238,000","$ 240,936",M,25,United States,Real Salt Lake,Mls,2019
13,Brooks Lennon,"$ 4,423","$ 230,004","$ 232,841",D,23,United States,Real Salt Lake,Mls,2019
14,Pablo Ruiz,"$ 3,846","$ 200,004","$ 202,471",M,22,Argentina,Real Salt Lake,Mls,2019
15,Tony Beltran,"$ 3,750","$ 195,000","$ 197,405",D,33,United States,Real Salt Lake,Mls,2019
16,Luke Mulholland,"$ 2,981","$ 155,000","$ 156,912",M,32,England,Real Salt Lake,Mls,2019
17,Donny Toia,"$ 2,524","$ 131,254","$ 132,873",D,28,United States,Real Salt Lake,Mls,2019
18,Sebastian Saucedo,"$ 2,163","$ 112,500","$ 113,888",M,24,United States,Real Salt Lake,Mls,2019
19,Alex Horwath,"$ 1,827","$ 95,000","$ 96,172",K,33,United States,Real Salt Lake,Mls,2019
20,Aaron Herrera,"$ 1,654","$ 86,000","$ 87,061",D,23,United States,Real Salt Lake,Mls,2019
21,Nick Besler,"$ 1,635","$ 85,000","$ 86,049",M,27,United States,Real Salt Lake,Mls,2019
22,Andrew Putna,"$ 1,363","$ 70,875","$ 71,749",K,26,United States,Real Salt Lake,Mls,2019
23,Tate Schmitt,"$ 1,351","$ 70,250","$ 71,117",F,23,United States,Real Salt Lake,Mls,2019
24,Erik Holt,"$ 1,351","$ 70,250","$ 71,117",D,24,United States,Real Salt Lake,Mls,2019
25,Justin Portillo,"$ 1,351","$ 70,250","$ 71,117",M,28,United States,Real Salt Lake,Mls,2019
26,David Ochoa,"$ 1,351","$ 70,250","$ 71,117",K,20,Colombia,Real Salt Lake,Mls,2019
27,Corey Baird,"$ 1,346","$ 70,008","$ 70,872",F,25,United States,Real Salt Lake,Mls,2019
28,Doug Martinez,"$ 1,082","$ 56,250","$ 56,944",F,23,Honduras,Real Salt Lake,Mls,2019
29,Julian Vazquez,"$ 1,082","$ 56,250","$ 56,944",F,20,Mexico,Real Salt Lake,Mls,2019
30,Luis Arriaga,"$ 1,082","$ 56,250","$ 56,944",M,20,United States,Real Salt Lake,Mls,2019
