,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Fanendo Adi,"$ 26,154","$ 1,360,008","$ 1,376,785",F,30,Nigeria,FC Cincinnati,Mls,2019
1,Roland Lamah,"$ 14,423","$ 750,000","$ 759,252",M,33,Belgium,FC Cincinnati,Mls,2019
2,Kendall Waston,"$ 14,423","$ 750,000","$ 759,252",D,33,Costa Rica,FC Cincinnati,Mls,2019
3,Maikel Van Der Werff,"$ 10,577","$ 550,000","$ 556,785",D,31,Netherlands,FC Cincinnati,Mls,2019
4,Darren Mattocks,"$ 10,000","$ 520,000","$ 526,415",F,30,Jamaica,FC Cincinnati,Mls,2019
5,Leonardo Bertone,"$ 8,654","$ 450,000","$ 455,551",M,26,Switzerland,FC Cincinnati,Mls,2019
6,Kekuta Manneh,"$ 7,212","$ 375,000","$ 379,626",M,26,United States,FC Cincinnati,Mls,2019
7,Caleb Stanko,"$ 6,490","$ 337,500","$ 341,663",D,27,United States,FC Cincinnati,Mls,2019
8,Allan Cruz,"$ 5,769","$ 300,000","$ 303,701",M,24,Costa Rica,FC Cincinnati,Mls,2019
9,Greg Garza,"$ 5,192","$ 270,000","$ 273,331",D,29,United States,FC Cincinnati,Mls,2019
10,Emmanuel Ledesma,"$ 4,808","$ 250,000","$ 253,084",M,32,Argentina,FC Cincinnati,Mls,2019
11,Mathieu Deplagne,"$ 4,615","$ 240,000","$ 242,961",D,29,France,FC Cincinnati,Mls,2019
12,Alvas Powell,"$ 4,519","$ 235,000","$ 237,899",D,26,Jamaica,FC Cincinnati,Mls,2019
13,Przemyslaw Tyton,"$ 4,457","$ 231,750","$ 234,609",K,34,Poland,FC Cincinnati,Mls,2019
14,Victor Ulloa,"$ 4,038","$ 210,000","$ 212,591",D,28,Mexico,FC Cincinnati,Mls,2019
15,Fatai Alashe,"$ 3,654","$ 190,000","$ 192,344",D,27,United States,FC Cincinnati,Mls,2019
16,Joe Gyau,"$ 2,850","$ 148,200","$ 150,028",M,28,United States,FC Cincinnati,Mls,2019
17,Nick Hagglund,"$ 2,644","$ 137,504","$ 139,200",D,28,United States,FC Cincinnati,Mls,2019
18,Frankie Amaya,"$ 2,115","$ 110,000","$ 111,357",M,20,United States,FC Cincinnati,Mls,2019
19,Andrew Gutman,"$ 1,923","$ 100,000","$ 101,234",D,24,United States,FC Cincinnati,Mls,2019
20,Derrick Etienne,"$ 1,482","$ 77,063","$ 78,014",M,24,Haiti,FC Cincinnati,Mls,2019
21,Spencer Richey,"$ 1,378","$ 71,667","$ 72,551",K,28,United States,FC Cincinnati,Mls,2019
22,Hassan N'dam,"$ 1,351","$ 70,260","$ 71,127",D,22,Cameroon,FC Cincinnati,Mls,2019
23,Jimmy McLaughlin,"$ 1,351","$ 70,250","$ 71,117",M,27,United States,FC Cincinnati,Mls,2019
24,Nazmi Albadawi,"$ 1,351","$ 70,250","$ 71,117",M,29,Palästina,FC Cincinnati,Mls,2019
25,Justin Hoyte,"$ 1,351","$ 70,250","$ 71,117",D,36,Trinidad and Tobago,FC Cincinnati,Mls,2019
26,Corben Bone,"$ 1,351","$ 70,250","$ 71,117",M,32,United States,FC Cincinnati,Mls,2019
27,Forrest Lasso,"$ 1,351","$ 70,250","$ 71,117",D,27,United States,FC Cincinnati,Mls,2019
28,Rashawn Dally,"$ 1,082","$ 56,250","$ 56,944",F,24,Jamaica,FC Cincinnati,Mls,2019
29,Jimmy Hague,"$ 1,082","$ 56,250","$ 56,944",K,24,United States,FC Cincinnati,Mls,2019
30,Ben Lundt,"$ 1,082","$ 56,250","$ 56,944",K,25,Germany,FC Cincinnati,Mls,2019
31,Logan Gdula,"$ 1,082","$ 56,250","$ 56,944",D,24,United States,FC Cincinnati,Mls,2019
32,Tommy McCabe,"$ 1,082","$ 56,250","$ 56,944",D,22,United States,FC Cincinnati,Mls,2019
