,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Zlatan Ibrahimovic,"$ 138,462","$ 7,200,000","$ 7,288,818",F,39,Sweden,La Galaxy,Mls,2019
1,Jonathan dos Santos,"$ 38,462","$ 2,000,000","$ 2,024,672",M,30,Mexico,La Galaxy,Mls,2019
2,Romain Alessandrini,"$ 30,962","$ 1,610,004","$ 1,629,865",M,31,France,La Galaxy,Mls,2019
3,Cristian Pavon,"$ 23,077","$ 1,200,000","$ 1,214,803",F,25,Argentina,La Galaxy,Mls,2019
4,Jorgen Skjelvik,"$ 19,231","$ 1,000,000","$ 1,012,336",D,29,Norway,La Galaxy,Mls,2019
5,Diego Polenta,"$ 13,217","$ 687,276","$ 695,754",D,29,Uruguay,La Galaxy,Mls,2019
6,Giancarlo Gonzalez,"$ 12,500","$ 650,000","$ 658,018",D,33,Costa Rica,La Galaxy,Mls,2019
7,Joe Corona,"$ 10,577","$ 550,000","$ 556,785",M,30,United States,La Galaxy,Mls,2019
8,Favio Alvarez,"$ 10,096","$ 525,000","$ 531,476",M,28,Argentina,La Galaxy,Mls,2019
9,Perry Kitchen,"$ 8,654","$ 450,000","$ 455,551",D,28,United States,La Galaxy,Mls,2019
10,Uriel Antuna,"$ 8,077","$ 420,000","$ 425,181",M,23,Mexico,La Galaxy,Mls,2019
11,David Bingham,"$ 7,212","$ 375,000","$ 379,626",K,31,United States,La Galaxy,Mls,2019
12,Sebastian Lletget,"$ 5,769","$ 300,000","$ 303,701",M,28,United States,La Galaxy,Mls,2019
13,Joao Pedro,"$ 4,615","$ 240,000","$ 242,961",M,27,Portugal,La Galaxy,Mls,2019
14,Rolf Feltscher,"$ 4,192","$ 218,000","$ 220,689",D,30,Venezuela,La Galaxy,Mls,2019
15,Chris Pontius,"$ 3,654","$ 190,000","$ 192,344",M,33,United States,La Galaxy,Mls,2019
16,Juninho,"$ 2,885","$ 150,000","$ 151,850",M,31,Brazil,La Galaxy,Mls,2019
17,Daniel Steres,"$ 2,885","$ 150,000","$ 151,850",D,30,United States,La Galaxy,Mls,2019
18,Dave Romney,"$ 1,962","$ 102,000","$ 103,258",D,27,United States,La Galaxy,Mls,2019
19,Tomas Hilliard-Arce,"$ 1,923","$ 100,000","$ 101,234",D,25,Costa Rica,La Galaxy,Mls,2019
20,Hugo Arellano,"$ 1,587","$ 82,500","$ 83,518",D,22,United States,La Galaxy,Mls,2019
21,Julian Araujo,"$ 1,538","$ 80,000","$ 80,987",D,19,United States,La Galaxy,Mls,2019
22,Bradford Jamieson,"$ 1,469","$ 76,403","$ 77,345",F,24,United States,La Galaxy,Mls,2019
23,Ethan Zubak,"$ 1,442","$ 75,000","$ 75,925",F,22,United States,La Galaxy,Mls,2019
24,Efrain Alvarez,"$ 1,363","$ 70,872","$ 71,746",M,18,Mexico,La Galaxy,Mls,2019
25,Servando Carrasco,"$ 1,351","$ 70,250","$ 71,117",M,32,United States,La Galaxy,Mls,2019
26,Emil Cuello,"$ 1,351","$ 70,250","$ 71,117",M,24,Argentina,La Galaxy,Mls,2019
27,Matt Lampson,"$ 1,351","$ 70,250","$ 71,117",K,31,United States,La Galaxy,Mls,2019
28,Justin Vom Steeg,"$ 1,100","$ 57,225","$ 57,931",K,23,United States,La Galaxy,Mls,2019
29,Diedie Traore,"$ 1,082","$ 56,250","$ 56,944",D,22,France,La Galaxy,Mls,2019
