,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Marco Fabian,"$ 38,476","$ 2,000,727","$ 2,025,408",M,31,Mexico,Philadelphia Union,Mls,2019
1,Alejandro Bedoya,"$ 23,077","$ 1,200,000","$ 1,214,803",M,33,United States,Philadelphia Union,Mls,2019
2,Jamiro Monteiro,"$ 11,885","$ 618,000","$ 625,624",M,27,Cape Verde,Philadelphia Union,Mls,2019
3,Sergio Santos,"$ 11,538","$ 600,000","$ 607,402",F,26,Brazil,Philadelphia Union,Mls,2019
4,Haris Medunjanin,"$ 10,577","$ 550,008","$ 556,793",M,35,Bosnia-Herzegovina,Philadelphia Union,Mls,2019
5,Andrew Wooten,"$ 9,808","$ 510,000","$ 516,291",F,31,United States,Philadelphia Union,Mls,2019
6,Andre Blake,"$ 9,615","$ 500,004","$ 506,172",K,30,Jamaica,Philadelphia Union,Mls,2019
7,Ilsinho,"$ 6,346","$ 330,000","$ 334,071",M,35,Brazil,Philadelphia Union,Mls,2019
8,Kai Wagner,"$ 6,115","$ 318,000","$ 321,923",D,24,Germany,Philadelphia Union,Mls,2019
9,Jack Elliott,"$ 4,808","$ 250,000","$ 253,084",D,25,England,Philadelphia Union,Mls,2019
10,Kacper Przybylko,"$ 4,615","$ 240,000","$ 242,961",F,27,Poland,Philadelphia Union,Mls,2019
11,Raymon Gaddis,"$ 3,654","$ 190,000","$ 192,344",D,31,United States,Philadelphia Union,Mls,2019
12,Aurelien Collin,"$ 3,365","$ 175,000","$ 177,159",D,34,France,Philadelphia Union,Mls,2019
13,Warren Creavalle,"$ 3,115","$ 162,000","$ 163,998",D,30,Guyana,Philadelphia Union,Mls,2019
14,Fafa Picault,"$ 3,077","$ 160,000","$ 161,974",M,29,United States,Philadelphia Union,Mls,2019
15,Joe Bendik,"$ 2,769","$ 144,000","$ 145,776",K,31,United States,Philadelphia Union,Mls,2019
16,Fabinho Alves,"$ 2,308","$ 120,000","$ 121,480",D,35,Brazil,Philadelphia Union,Mls,2019
17,Auston Trusty,"$ 1,827","$ 95,000","$ 96,172",D,22,United States,Philadelphia Union,Mls,2019
18,Jack De Vries,"$ 1,731","$ 90,000","$ 91,110",M,18,United States,Philadelphia Union,Mls,2019
19,Cory Burke,"$ 1,460","$ 75,938","$ 76,875",F,29,Jamaica,Philadelphia Union,Mls,2019
20,Derrick Jones,"$ 1,442","$ 75,000","$ 75,925",M,23,United States,Philadelphia Union,Mls,2019
21,Mark McKenzie,"$ 1,389","$ 72,225","$ 73,116",D,21,United States,Philadelphia Union,Mls,2019
22,Olivier Mbaizo,"$ 1,363","$ 70,875","$ 71,749",D,23,Cameroon,Philadelphia Union,Mls,2019
23,Anthony Fontana,"$ 1,351","$ 70,260","$ 71,127",M,21,United States,Philadelphia Union,Mls,2019
24,RJ Allen,"$ 1,351","$ 70,250","$ 71,117",D,30,United States,Philadelphia Union,Mls,2019
25,Matt Freese,"$ 1,346","$ 70,000","$ 70,864",K,22,United States,Philadelphia Union,Mls,2019
26,Brenden Aaronson,"$ 1,346","$ 70,000","$ 70,864",M,20,United States,Philadelphia Union,Mls,2019
27,Matthew Real,"$ 1,100","$ 57,225","$ 57,931",D,21,United States,Philadelphia Union,Mls,2019
28,Michee Ngalina,"$ 1,082","$ 56,250","$ 56,944",M,20,Democratic Republic of the Congo,Philadelphia Union,Mls,2019
