,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Saphir Taider,"$ 26,923","$ 1,400,000","$ 1,417,270",M,28,Algeria,Montreal Impact,Mls,2019
1,Bojan Krkic,"$ 23,709","$ 1,232,877","$ 1,248,086",F,30,Spain,Montreal Impact,Mls,2019
2,Maximiliano Urruti,"$ 17,308","$ 900,000","$ 911,102",F,29,Argentina,Montreal Impact,Mls,2019
3,Rudy Camacho,"$ 13,462","$ 700,000","$ 708,635",D,29,France,Montreal Impact,Mls,2019
4,Bacary Sagna,"$ 12,692","$ 660,000","$ 668,142",D,38,France,Montreal Impact,Mls,2019
5,Ignacio Piatti,"$ 10,192","$ 530,000","$ 536,538",M,36,Argentina,Montreal Impact,Mls,2019
6,Lassi Lappalainen,"$ 5,819","$ 302,574","$ 306,307",M,22,Finland,Montreal Impact,Mls,2019
7,Rod Fanni,"$ 5,755","$ 299,250","$ 302,942",D,39,France,Montreal Impact,Mls,2019
8,Jukka Raitala,"$ 4,808","$ 250,000","$ 253,084",D,32,Finland,Montreal Impact,Mls,2019
9,Evan Bush,"$ 4,462","$ 232,000","$ 234,862",K,34,United States,Montreal Impact,Mls,2019
10,Jeisson Vargas,"$ 4,327","$ 225,000","$ 227,776",M,23,Chile,Montreal Impact,Mls,2019
11,Orji Okwonkwo,"$ 3,846","$ 200,000","$ 202,467",M,23,Nigeria,Montreal Impact,Mls,2019
12,Anthony Jackson-Hamel,"$ 3,077","$ 160,000","$ 161,974",F,27,Canada,Montreal Impact,Mls,2019
13,Victor Cabrera,"$ 2,885","$ 150,000","$ 151,850",D,28,Argentina,Montreal Impact,Mls,2019
14,Samuel Piette,"$ 2,596","$ 135,000","$ 136,665",D,26,Canada,Montreal Impact,Mls,2019
15,Shamit Shome,"$ 1,923","$ 100,000","$ 101,234",M,23,Canada,Montreal Impact,Mls,2019
16,Daniel Lovitz,"$ 1,874","$ 97,453","$ 98,655",D,29,United States,Montreal Impact,Mls,2019
17,Clement Diop,"$ 1,817","$ 94,500","$ 95,666",K,27,Senegal,Montreal Impact,Mls,2019
18,Mathieu Choiniere,"$ 1,538","$ 80,000","$ 80,987",M,22,Canada,Montreal Impact,Mls,2019
19,Zachary Brault-Guillard,"$ 1,385","$ 72,000","$ 72,888",D,22,Canada,Montreal Impact,Mls,2019
20,Jorge Corrales,"$ 1,363","$ 70,875","$ 71,749",D,29,Cuba,Montreal Impact,Mls,2019
21,Ballou Tabla,"$ 1,351","$ 70,250","$ 71,117",M,21,Canada,Montreal Impact,Mls,2019
22,Jason Beaulieu,"$ 1,351","$ 70,250","$ 71,117",K,27,Canada,Montreal Impact,Mls,2019
23,James Pantemis,"$ 1,351","$ 70,250","$ 71,117",K,23,Canada,Montreal Impact,Mls,2019
24,Clement Bayiha,"$ 1,188","$ 61,750","$ 62,512",M,21,Canada,Montreal Impact,Mls,2019
25,Ken Krolicki,"$ 1,153","$ 59,950","$ 60,690",M,24,Japan,Montreal Impact,Mls,2019
26,Thomas Meilleure-Giguere,"$ 1,098","$ 57,120","$ 57,825",D,23,Canada,Montreal Impact,Mls,2019
27,Amar Sejdic,"$ 1,082","$ 56,250","$ 56,944",M,24,United States,Montreal Impact,Mls,2019
28,Karifa Yao,"$ 1,082","$ 56,250","$ 56,944",D,20,Canada,Montreal Impact,Mls,2019
29,Daniel Kinumbe,"$ 1,082","$ 56,250","$ 56,944",D,21,Democratic Republic of the Congo,Montreal Impact,Mls,2019
