player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year
8865,Ollie Watkins,16,1440,6,9.123375088,2,2.130841517,45,21,1,0,F,Aston Villa,5,7.601037458,10.9845312,3.290792545,2020
675,Jack Grealish,16,1440,5,4.161457401,7,7.406799093,40,58,3,0,F M,Aston Villa,5,4.161457401,12.98424235,4.744125359,2020
5612,Anwar El Ghazi,10,502,5,4.594317369,0,0.865506107,27,10,1,0,M S,Aston Villa,3,3.071979694,3.629397618,1.07361405,2020
695,Bertrand Traoré,14,683,3,2.305125264,2,1.624441814,21,10,0,0,F M S,Aston Villa,3,2.305125264,3.344485145,0.602057708,2020
592,Ross Barkley,7,524,2,1.671557255,1,1.767355099,20,15,0,0,M,Aston Villa,2,1.671557255,3.731773347,0.755002975,2020
1024,Tyrone Mings,15,1304,2,1.553400937,1,0.177448133,10,5,3,1,D,Aston Villa,2,1.553400937,2.987272855,2.862076934,2020
7726,Ezri Konsa Ngoyo,14,1212,2,1.02039995,0,0,8,0,1,0,D S,Aston Villa,2,1.02039995,1.253046008,1.205439957,2020
6859,Kortney Hause,4,360,1,1.249496058,0,0,3,0,1,0,D,Aston Villa,1,1.249496058,1.265404642,1.265404642,2020
7721,Conor Hourihane,4,236,1,0.56795454,1,0.919187903,5,5,0,0,M S,Aston Villa,1,0.56795454,0.668175921,0.190557707,2020
7723,John McGinn,16,1440,1,0.878869862,4,1.850991085,18,19,5,0,M,Aston Villa,1,0.878869862,7.794196017,5.354338549,2020
710,Neil Taylor,1,13,0,0,0,0,0,0,1,0,S,Aston Villa,0,0,0,0,2020
884,Matt Targett,16,1427,0,0.176126905,0,0.671302497,3,13,4,0,D,Aston Villa,0,0.176126905,3.806989094,3.520558512,2020
1053,Keinan Davis,4,39,0,0.248349369,0,0.025605757,3,1,0,0,S,Aston Villa,0,0.248349369,0.391044676,0.142695308,2020
1685,Ahmed Elmohamady,5,121,0,0.047978062,0,0.356839415,2,5,0,0,D S,Aston Villa,0,0.047978062,0.98554387,0.705670827,2020
4401,Emiliano Martinez,16,1440,0,0,0,0.043013871,0,1,0,0,GK,Aston Villa,0,0,1.673147686,1.630133815,2020
6122,Douglas Luiz,15,1327,0,0.403648801,1,0.975043995,14,11,2,1,M,Aston Villa,0,0.403648801,5.490199273,4.326007741,2020
7722,Trézéguet,9,735,0,2.528539281,1,2.013985751,22,9,0,0,F M S,Aston Villa,0,2.528539281,4.730545938,1.056356808,2020
8040,Marvelous Nakamba,4,99,0,0.022241635,0,0.021364143,1,1,1,0,M S,Aston Villa,0,0.022241635,0.102385174,0.058779396,2020
8864,Matthew Cash,15,1320,0,0.15612502,2,1.06401974,5,14,5,0,D,Aston Villa,0,0.15612502,3.654548563,2.842085313,2020
8941,Jacob Ramsey,6,136,0,0.196658857,0,0.029147323,4,1,0,0,M S,Aston Villa,0,0.196658857,0.115269292,0,2020
5555,Dominic Calvert-Lewin,16,1414,11,10.51972906,0,0.568962257,45,8,3,0,F,Everton,11,10.51972906,10.93237524,2.628631847,2020
1653,Michael Keane,16,1416,3,1.319373851,0,0.376000289,9,3,0,0,D,Everton,3,1.319373851,3.755759135,3.607843816,2020
2249,James Rodríguez,12,972,3,2.208344923,3,4.060683504,22,27,1,0,F S,Everton,3,2.208344923,8.439021796,5.167269437,2020
714,Gylfi Sigurdsson,16,895,2,1.971950037,2,1.671410656,15,21,0,0,F M S,Everton,1,1.210781185,2.519823389,1.119610671,2020
6026,Richarlison,13,1015,2,3.511318276,3,2.312501988,30,11,2,1,F M S,Everton,1,2.750149438,7.33301045,2.938111745,2020
6521,Yerry Mina,15,1350,2,0.94778996,0,0.019598974,10,1,1,0,D,Everton,2,0.94778996,3.409863843,3.39740975,2020
500,Alex Iwobi,15,863,1,0.560845092,2,1.845314771,9,10,0,0,D F M S,Everton,1,0.560845092,5.44677081,3.26081798,2020
985,Mason Holgate,8,714,1,1.278742416,0,0.134225633,4,4,3,0,D,Everton,1,1.278742416,0.976635382,0.955678994,2020
1726,Abdoulaye Doucouré,17,1462,1,1.488532249,2,1.307574131,13,12,5,0,M,Everton,1,1.488532249,6.429011244,4.673879083,2020
7063,Bernard,6,269,1,0.158927133,0,0.340006901,4,6,2,0,F M S,Everton,1,0.158927133,0.83434318,0.403327137,2020
503,Theo Walcott,1,10,0,0,0,0,0,0,0,0,S,Everton,0,0,0,0,2020
585,Seamus Coleman,10,573,0,0.114041673,1,0.603955235,3,4,0,0,D S,Everton,0,0.114041673,2.483054318,2.384823512,2020
741,Jordan Pickford,15,1350,0,0,0,0.021773621,0,1,1,0,GK,Everton,0,0,2.061564281,2.039790659,2020
876,Fabian Delph,5,206,0,0.014957983,0,0.028502554,1,1,0,0,D M S,Everton,0,0.014957983,1.034671485,0.991210967,2020
1042,Tom Davies,10,489,0,0.015081384,0,0.360388691,1,2,1,0,D M S,Everton,0,0.015081384,1.135008823,0.759538747,2020
1084,Jonjoe Kenny,4,81,0,0,0,0,0,0,0,0,D S,Everton,0,0,0.240644515,0.240644515,2020
1304,Moise Kean,2,10,0,0.022345722,0,0,1,0,0,0,S,Everton,0,0.022345722,0.022345722,0,2020
1379,Allan,12,1030,0,0.097733792,0,0.289341012,4,7,4,0,M,Everton,0,0.097733792,4.687586218,4.351881221,2020
1823,Lucas Digne,9,793,0,0.139114032,5,2.328124929,3,16,0,1,D M,Everton,0,0.139114032,3.601709437,1.847595606,2020
2383,André Gomes,12,576,0,0.127771747,1,0.227344422,4,6,2,0,M S,Everton,0,0.127771747,1.718707806,1.41514932,2020
