,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Jérémy Morel,,"€ 12,115","€ 630,000",CB,37,,"Jun 30, 2022",1-yr,"€ 630,000",Lorient,Ligue 1,2021-2022
1,Fabien Lemoine,,"€ 11,154","€ 580,000",DM,34,,"Jun 30, 2022",1-yr,"€ 580,000",Lorient,Ligue 1,2021-2022
2,Paul Nardi,,"€ 11,154","€ 580,000",GK,27,,"Jun 30, 2023",2-yrs,"€ 1,160,000",Lorient,Ligue 1,2021-2022
3,Quentin Boisgard,,"€ 10,577","€ 550,000",AM,24,,"Jun 30, 2023",2-yrs,"€ 1,100,000",Lorient,Ligue 1,2021-2022
4,Adrian Grbic,,"€ 9,808","€ 510,000",CF,24,,"Jun 30, 2025",4-yrs,"€ 2,040,000",Lorient,Ligue 1,2021-2022
5,Terem Moffi,,"€ 9,615","€ 500,000",CF,22,,"Jun 30, 2024",3-yrs,"€ 1,500,000",Lorient,Ligue 1,2021-2022
6,Julien Laporte,,"€ 8,462","€ 440,000",CB,27,,"Jun 30, 2023",2-yrs,"€ 880,000",Lorient,Ligue 1,2021-2022
7,Thomas Monconduit,,"€ 8,077","€ 420,000",DM,30,,"Jun 30, 2023",2-yrs,"€ 840,000",Lorient,Ligue 1,2021-2022
8,Yoane Wissa,,"€ 7,308","€ 380,000",LW,24,,"Jun 30, 2024",3-yrs,"€ 1,140,000",Lorient,Ligue 1,2021-2022
9,Thomas Fontaine,,"€ 5,000","€ 260,000",CB,30,,"Jun 30, 2022",1-yr,"€ 260,000",Lorient,Ligue 1,2021-2022
10,Houboulang Mendes,,"€ 5,000","€ 260,000",RB,23,,"Jun 30, 2022",1-yr,"€ 260,000",Lorient,Ligue 1,2021-2022
11,Vincent Le Goff,,"€ 4,808","€ 250,000",LB,31,,"Jun 30, 2022",1-yr,"€ 250,000",Lorient,Ligue 1,2021-2022
12,Armand Laurienté,,"€ 4,808","€ 250,000",RW,22,,"Jun 30, 2024",3-yrs,"€ 750,000",Lorient,Ligue 1,2021-2022
13,Laurent Abergel,,"€ 4,615","€ 240,000",DM,28,,"Jun 30, 2025",4-yrs,"€ 960,000",Lorient,Ligue 1,2021-2022
14,Stéphane Diarra,,"€ 4,231","€ 220,000",RW,22,,"Jun 30, 2025",4-yrs,"€ 880,000",Lorient,Ligue 1,2021-2022
15,Matthieu Dreyer,,"€ 4,231","€ 220,000",GK,32,,"Jun 30, 2023",2-yrs,"€ 440,000",Lorient,Ligue 1,2021-2022
16,Pierre-Yves Hamel,,"€ 4,231","€ 220,000",CF,27,,"Jun 30, 2023",2-yrs,"€ 440,000",Lorient,Ligue 1,2021-2022
17,Quentin Lecoeuche,,"€ 4,038","€ 210,000",LB,27,,"Jun 30, 2022",1-yr,"€ 210,000",Lorient,Ligue 1,2021-2022
18,Jérôme Hergault,,"€ 3,654","€ 190,000",RB,35,,"Jun 30, 2022",1-yr,"€ 190,000",Lorient,Ligue 1,2021-2022
19,Enzo Le Fée,,"€ 1,923","€ 100,000",AM,21,,"Jun 30, 2024",3-yrs,"€ 300,000",Lorient,Ligue 1,2021-2022
20,Teddy Bartouche,,€ 577,"€ 30,000",GK,24,,"Jun 30, 2022",1-yr,"€ 30,000",Lorient,Ligue 1,2021-2022
21,Malamine Doumbouya,,€ 385,"€ 20,000",DM,21,,"Jun 30, 2022",1-yr,"€ 20,000",Lorient,Ligue 1,2021-2022
22,Loris Mouyokolo,,€ 0,€ 0,CB,20,,"Jun 30, 2025",4-yrs,€ 0,Lorient,Ligue 1,2021-2022
