,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Valon Berisha,,"€ 14,231","€ 740,000",CM,28,,"Jun 30, 2024",3-yrs,"€ 2,220,000",Reims,Ligue 1,2021-2022
1,Anastasios Donis,,"€ 13,846","€ 720,000",CF,24,,"Jun 30, 2024",3-yrs,"€ 2,160,000",Reims,Ligue 1,2021-2022
2,Predrag Rajkovic,,"€ 13,846","€ 720,000",GK,25,,"Jun 30, 2023",2-yrs,"€ 1,440,000",Reims,Ligue 1,2021-2022
3,Thomas Foket,,"€ 13,846","€ 720,000",RB,26,,"Jun 30, 2023",2-yrs,"€ 1,440,000",Reims,Ligue 1,2021-2022
4,Arbër Zeneli,,"€ 13,462","€ 700,000",LW,26,,"Jun 30, 2023",2-yrs,"€ 1,400,000",Reims,Ligue 1,2021-2022
5,Xavier Chavalerin,,"€ 10,769","€ 560,000",DM,30,,"Jun 30, 2022",1-yr,"€ 560,000",Reims,Ligue 1,2021-2022
6,Yunis Abdelhamid,,"€ 9,231","€ 480,000",CB,33,,"Jun 30, 2022",1-yr,"€ 480,000",Reims,Ligue 1,2021-2022
7,Wout Faes,,"€ 8,077","€ 420,000",CB,23,,"Jun 30, 2024",3-yrs,"€ 1,260,000",Reims,Ligue 1,2021-2022
8,Moussa Doumbia,,"€ 7,500","€ 390,000",LW,26,,"Jun 30, 2022",1-yr,"€ 390,000",Reims,Ligue 1,2021-2022
9,Mathieu Cafaro,,"€ 7,500","€ 390,000",AM,24,,"Jun 30, 2022",1-yr,"€ 390,000",Reims,Ligue 1,2021-2022
10,Kaj Sierhuis,,"€ 7,308","€ 380,000",CF,23,,"Jun 30, 2024",3-yrs,"€ 1,140,000",Reims,Ligue 1,2021-2022
11,Moreto Cassamá,,"€ 7,115","€ 370,000",CM,23,,"Jun 30, 2024",3-yrs,"€ 1,110,000",Reims,Ligue 1,2021-2022
12,Dereck Kutesa,,"€ 5,385","€ 280,000",RW,23,,"Jun 30, 2023",2-yrs,"€ 560,000",Reims,Ligue 1,2021-2022
13,El Bilal Touré,,"€ 4,808","€ 250,000",CF,19,,"Jun 30, 2024",3-yrs,"€ 750,000",Reims,Ligue 1,2021-2022
14,Ghislain Konan,,"€ 4,423","€ 230,000",LB,25,,"Jun 30, 2022",1-yr,"€ 230,000",Reims,Ligue 1,2021-2022
15,Fraser Hornby,,"€ 4,231","€ 220,000",CF,21,,"Jun 30, 2024",3-yrs,"€ 660,000",Reims,Ligue 1,2021-2022
16,Andreaw Gravillon,,"€ 1,731","€ 90,000",CB,23,,"Jun 30, 2022",1-yr,"€ 90,000",Reims,Ligue 1,2021-2022
17,Marshall Munetsi,,€ 769,"€ 40,000",DM,25,,"Jun 30, 2024",3-yrs,"€ 120,000",Reims,Ligue 1,2021-2022
18,Nathanaël Mbuku,,€ 769,"€ 40,000",LW,19,,"Jun 30, 2023",2-yrs,"€ 80,000",Reims,Ligue 1,2021-2022
19,Yehvann Diouf,,€ 577,"€ 30,000",GK,21,,"Jun 30, 2024",3-yrs,"€ 90,000",Reims,Ligue 1,2021-2022
20,Fodé Doucouré,,€ 577,"€ 30,000",RB,20,,"Jun 30, 2023",2-yrs,"€ 60,000",Reims,Ligue 1,2021-2022
21,Ilan Kebbal,,€ 385,"€ 20,000",AM,23,,"Jun 30, 2024",3-yrs,"€ 60,000",Reims,Ligue 1,2021-2022
22,Logan Costa,,€ 0,€ 0,CB,20,,"Jun 30, 2022",1-yr,€ 0,Reims,Ligue 1,2021-2022
23,Dion Lopy,,€ 0,€ 0,DM,19,,"Jun 30, 2023",2-yrs,€ 0,Reims,Ligue 1,2021-2022
24,Nicolas Penneteau,,€ 0,€ 0,GK,40,,"Jun 30, 2023",2-yrs,€ 0,Reims,Ligue 1,2021-2022
25,Billal Brahimi,,€ 0,€ 0,LW,21,,"Jun 30, 2022",1-yr,€ 0,Reims,Ligue 1,2021-2022
26,Alexis Flips,,€ 0,€ 0,RW,21,,"Jun 30, 2024",3-yrs,€ 0,Reims,Ligue 1,2021-2022
27,Sambou Sissoko,,€ 0,€ 0,RB,22,,"Jun 30, 2023",2-yrs,€ 0,Reims,Ligue 1,2021-2022
