,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Anthony Lopes,,"€ 92,308","€ 4,800,000",GK,30,,"Jun 30, 2023",2-yrs,"€ 9,600,000",Lyon,Ligue 1,2021-2022
1,Islam Slimani,,"€ 87,692","€ 4,560,000",CF,33,,"Jun 30, 2022",1-yr,"€ 4,560,000",Lyon,Ligue 1,2021-2022
2,Moussa Dembélé,,"€ 78,846","€ 4,100,000",CF,25,,"Jun 30, 2023",2-yrs,"€ 8,200,000",Lyon,Ligue 1,2021-2022
3,Houssem Aouar,,"€ 71,538","€ 3,720,000",CM,23,,"Jun 30, 2023",2-yrs,"€ 7,440,000",Lyon,Ligue 1,2021-2022
4,Thiago Mendes,,"€ 69,231","€ 3,600,000",DM,29,,"Jun 30, 2023",2-yrs,"€ 7,200,000",Lyon,Ligue 1,2021-2022
5,Maxwel Cornet,,"€ 68,654","€ 3,570,000",LB,24,,"Jun 30, 2023",2-yrs,"€ 7,140,000",Lyon,Ligue 1,2021-2022
6,Lucas Paquetá,,"€ 62,500","€ 3,250,000",AM,23,,"Jun 30, 2025",4-yrs,"€ 13,000,000",Lyon,Ligue 1,2021-2022
7,Joachim Andersen,,"€ 60,385","€ 3,140,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 9,420,000",Lyon,Ligue 1,2021-2022
8,Jason Denayer,,"€ 50,577","€ 2,630,000",CB,26,,"Jun 30, 2022",1-yr,"€ 2,630,000",Lyon,Ligue 1,2021-2022
9,Marcelo,,"€ 46,346","€ 2,410,000",CB,34,,"Jun 30, 2023",2-yrs,"€ 4,820,000",Lyon,Ligue 1,2021-2022
10,Bruno Guimarães,,"€ 46,154","€ 2,400,000",CM,23,,"Jun 30, 2024",3-yrs,"€ 7,200,000",Lyon,Ligue 1,2021-2022
11,Léo Dubois,,"€ 38,077","€ 1,980,000",RB,26,,"Jun 30, 2024",3-yrs,"€ 5,940,000",Lyon,Ligue 1,2021-2022
12,Karl Toko Ekambi,,"€ 29,423","€ 1,530,000",LW,28,,"Jun 30, 2024",3-yrs,"€ 4,590,000",Lyon,Ligue 1,2021-2022
13,Jean Lucas,,"€ 27,692","€ 1,440,000",CM,23,,"Jun 30, 2024",3-yrs,"€ 4,320,000",Lyon,Ligue 1,2021-2022
14,Jeff Reine-Adélaïde,,"€ 21,731","€ 1,130,000",AM,23,,"Jun 30, 2024",3-yrs,"€ 3,390,000",Lyon,Ligue 1,2021-2022
15,Youssouf Koné,,"€ 21,346","€ 1,110,000",LB,26,,"Jun 30, 2024",3-yrs,"€ 3,330,000",Lyon,Ligue 1,2021-2022
16,Tino Kadewere,,"€ 20,769","€ 1,080,000",RW,25,,"Jun 30, 2024",3-yrs,"€ 3,240,000",Lyon,Ligue 1,2021-2022
17,Julian Pollersbeck,,"€ 19,423","€ 1,010,000",GK,26,,"Jun 30, 2024",3-yrs,"€ 3,030,000",Lyon,Ligue 1,2021-2022
18,Pape Cheikh,,"€ 17,500","€ 910,000",CM,23,,"Jun 30, 2022",1-yr,"€ 910,000",Lyon,Ligue 1,2021-2022
19,Maxence Caqueret,,"€ 12,115","€ 630,000",CM,21,,"Jun 30, 2023",2-yrs,"€ 1,260,000",Lyon,Ligue 1,2021-2022
20,Sinaly Diomandé,,"€ 11,731","€ 610,000",CB,20,,"Jun 30, 2025",4-yrs,"€ 2,440,000",Lyon,Ligue 1,2021-2022
21,Rayan Cherki,,"€ 5,769","€ 300,000",AM,17,,"Jun 30, 2023",2-yrs,"€ 600,000",Lyon,Ligue 1,2021-2022
22,Malcolm Barcola,,"€ 5,385","€ 280,000",GK,22,,"Jun 30, 2022",1-yr,"€ 280,000",Lyon,Ligue 1,2021-2022
23,Lenny Pintor,,"€ 3,077","€ 160,000",CF,20,,"Jun 30, 2023",2-yrs,"€ 320,000",Lyon,Ligue 1,2021-2022
24,Titouan Thomas,,€ 0,€ 0,CM,19,,"Jun 30, 2022",1-yr,€ 0,Lyon,Ligue 1,2021-2022
25,Castello Lukeba,,€ 0,€ 0,CB,18,,"Jun 30, 2024",3-yrs,€ 0,Lyon,Ligue 1,2021-2022
26,Henrique,,€ 0,€ 0,LB,27,,"Jun 30, 2024",3-yrs,€ 0,Lyon,Ligue 1,2021-2022
27,Malo Gusto,,€ 0,€ 0,RB,18,,"Jun 30, 2024",3-yrs,€ 0,Lyon,Ligue 1,2021-2022
28,Habib Keïta,,€ 0,€ 0,CM,19,,"Jun 30, 2025",4-yrs,€ 0,Lyon,Ligue 1,2021-2022
29,Florent Da Silva,,€ 0,€ 0,CM,18,,"Jun 30, 2025",4-yrs,€ 0,Lyon,Ligue 1,2021-2022
30,Eli Wissa,,€ 0,€ 0,CF,18,,"Jun 30, 2024",3-yrs,€ 0,Lyon,Ligue 1,2021-2022
31,Sekou Lega,,€ 0,€ 0,CF,18,,"Jun 30, 2024",3-yrs,€ 0,Lyon,Ligue 1,2021-2022
32,Damien Da Silva,,€ 0,€ 0,CB,33,,"Jun 30, 2023",2-yrs,€ 0,Lyon,Ligue 1,2021-2022
