,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Jordan Ferri,,"€ 30,000","€ 1,560,000",CM,29,,"Jun 30, 2023",2-yrs,"€ 3,120,000",Montpellier,Ligue 1,2021-2022
1,Florent Mollet,,"€ 29,423","€ 1,530,000",CM,29,,"Jun 30, 2023",2-yrs,"€ 3,060,000",Montpellier,Ligue 1,2021-2022
2,Andy Delort,,"€ 27,692","€ 1,440,000",CF,29,,"Jun 30, 2024",3-yrs,"€ 4,320,000",Montpellier,Ligue 1,2021-2022
3,Gaëtan Laborde,,"€ 25,385","€ 1,320,000",CF,27,,"Jun 30, 2023",2-yrs,"€ 2,640,000",Montpellier,Ligue 1,2021-2022
4,Téji Savanier,,"€ 25,385","€ 1,320,000",CM,29,,"Jun 30, 2023",2-yrs,"€ 2,640,000",Montpellier,Ligue 1,2021-2022
5,Jonas Omlin,,"€ 16,154","€ 840,000",GK,27,,"Jun 30, 2024",3-yrs,"€ 2,520,000",Montpellier,Ligue 1,2021-2022
6,Junior Sambia,,"€ 12,500","€ 650,000",RB,24,,"Jun 30, 2022",1-yr,"€ 650,000",Montpellier,Ligue 1,2021-2022
7,Pedro Mendes,,"€ 10,577","€ 550,000",CB,30,,"Jun 30, 2023",2-yrs,"€ 1,100,000",Montpellier,Ligue 1,2021-2022
8,Petar Skuletic,,"€ 10,577","€ 550,000",CF,31,,"Jun 30, 2022",1-yr,"€ 550,000",Montpellier,Ligue 1,2021-2022
9,Stephy Mavididi,,"€ 9,615","€ 500,000",LW,23,,"Jun 30, 2024",3-yrs,"€ 1,500,000",Montpellier,Ligue 1,2021-2022
10,Ambroise Oyongo,,"€ 8,654","€ 450,000",LB,30,,"Jun 30, 2022",1-yr,"€ 450,000",Montpellier,Ligue 1,2021-2022
11,Mihailo Ristic,,"€ 8,654","€ 450,000",LM,25,,"Jun 30, 2022",1-yr,"€ 450,000",Montpellier,Ligue 1,2021-2022
12,Arnaud Souquet,,"€ 8,269","€ 430,000",RB,29,,"Jun 30, 2023",2-yrs,"€ 860,000",Montpellier,Ligue 1,2021-2022
13,Mathías Suárez,,"€ 8,077","€ 420,000",RB,25,,"Jun 30, 2023",2-yrs,"€ 840,000",Montpellier,Ligue 1,2021-2022
14,Nicolas Cozza,,"€ 5,962","€ 310,000",CB,22,,"Jun 30, 2022",1-yr,"€ 310,000",Montpellier,Ligue 1,2021-2022
15,Thuler,,"€ 3,077","€ 160,000",CB,22,,"Jun 30, 2022",1-yr,"€ 160,000",Montpellier,Ligue 1,2021-2022
16,Elye Wahi,,"€ 1,923","€ 100,000",CF,18,,"Jun 30, 2025",4-yrs,"€ 400,000",Montpellier,Ligue 1,2021-2022
17,Dimitry Bertaud,,"€ 1,923","€ 100,000",GK,23,,"Jun 30, 2022",1-yr,"€ 100,000",Montpellier,Ligue 1,2021-2022
18,Joris Chotard,,"€ 1,154","€ 60,000",DM,19,,"Jun 30, 2024",3-yrs,"€ 180,000",Montpellier,Ligue 1,2021-2022
19,Béni Makouana,,€ 577,"€ 30,000",CF,18,,"Jun 30, 2022",1-yr,"€ 30,000",Montpellier,Ligue 1,2021-2022
20,Thibault Tamas,,€ 385,"€ 20,000",LB,20,,"Jun 30, 2022",1-yr,"€ 20,000",Montpellier,Ligue 1,2021-2022
21,Matis Carvalho,,€ 385,"€ 20,000",GK,22,,"Jun 30, 2022",1-yr,"€ 20,000",Montpellier,Ligue 1,2021-2022
22,Yanis Guermouche,,€ 0,€ 0,AM,20,,"Jun 30, 2022",1-yr,€ 0,Montpellier,Ligue 1,2021-2022
23,Léo Leroy,,€ 0,€ 0,CM,21,,"Jun 30, 2025",4-yrs,€ 0,Montpellier,Ligue 1,2021-2022
24,Thibaut Vargas,,€ 0,€ 0,RM,21,,"Jun 30, 2022",1-yr,€ 0,Montpellier,Ligue 1,2021-2022
