,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Pepe Reina,"£ 91,923","£ 4,780,000","£ 4,780,000",K,37,Spain,Aston Villa,Premier League,2019-2020
1,Danny Drinkwater,"£ 60,000","£ 3,120,000","£ 3,120,000",M,29,England,Aston Villa,Premier League,2019-2020
2,Björn Engels,"£ 55,000","£ 2,860,000","£ 2,860,000",D,25,Belgium,Aston Villa,Premier League,2019-2020
3,Trezeguet,"£ 52,500","£ 2,730,000","£ 2,730,000",F,25,Egypt,Aston Villa,Premier League,2019-2020
4,Borja Bastón,"£ 45,000","£ 2,340,000","£ 2,340,000",F,27,Spain,Aston Villa,Premier League,2019-2020
5,Tom Heaton,"£ 41,923","£ 2,180,000","£ 2,180,000",K,33,England,Aston Villa,Premier League,2019-2020
6,Frédéric Guilbert,"£ 40,000","£ 2,080,000","£ 2,080,000",D,25,France,Aston Villa,Premier League,2019-2020
7,Mbwana Samatta,"£ 40,000","£ 2,080,000","£ 2,080,000",F,27,Tanzania,Aston Villa,Premier League,2019-2020
8,Henri Lansbury,"£ 40,000","£ 2,080,000","£ 2,080,000",M,29,England,Aston Villa,Premier League,2019-2020
9,Wesley,"£ 35,000","£ 1,820,000","£ 1,820,000",F,23,Brazil,Aston Villa,Premier League,2019-2020
10,Matt Targett,"£ 35,000","£ 1,820,000","£ 1,820,000",D,24,England,Aston Villa,Premier League,2019-2020
11,Jonathan Kodjia,"£ 35,000","£ 1,820,000","£ 1,820,000",F,29,Cote d'Ivoire,Aston Villa,Premier League,2019-2020
12,Jack Grealish,"£ 35,000","£ 1,820,000","£ 1,820,000",F,24,England,Aston Villa,Premier League,2019-2020
13,Douglas Luiz,"£ 32,692","£ 1,700,000","£ 1,700,000",M,21,Brazil,Aston Villa,Premier League,2019-2020
14,Marvelous Nakamba,"£ 32,500","£ 1,690,000","£ 1,690,000",M,26,Zimbabwe,Aston Villa,Premier League,2019-2020
15,Neil Taylor,"£ 31,923","£ 1,660,000","£ 1,660,000",D,30,Wales,Aston Villa,Premier League,2019-2020
16,Ezri Konsa,"£ 31,346","£ 1,630,000","£ 1,630,000",D,22,England,Aston Villa,Premier League,2019-2020
17,Anwar El Ghazi,"£ 30,962","£ 1,610,000","£ 1,610,000",F,24,Netherlands,Aston Villa,Premier League,2019-2020
18,James Chester,"£ 30,000","£ 1,560,000","£ 1,560,000",D,30,Wales,Aston Villa,Premier League,2019-2020
19,Conor Hourihane,"£ 30,000","£ 1,560,000","£ 1,560,000",M,29,Ireland,Aston Villa,Premier League,2019-2020
20,Jota,"£ 25,000","£ 1,300,000","£ 1,300,000",F,28,Spain,Aston Villa,Premier League,2019-2020
21,John McGinn,"£ 25,000","£ 1,300,000","£ 1,300,000",M,25,Scotland,Aston Villa,Premier League,2019-2020
22,Ahmed Elmohamady,"£ 25,000","£ 1,300,000","£ 1,300,000",D,32,Egypt,Aston Villa,Premier League,2019-2020
23,Tyrone Mings,"£ 25,000","£ 1,300,000","£ 1,300,000",D,26,England,Aston Villa,Premier League,2019-2020
24,Örjan Nyland,"£ 20,000","£ 1,040,000","£ 1,040,000",K,29,Norway,Aston Villa,Premier League,2019-2020
25,Lovre Kalinic,"£ 15,769","£ 820,000","£ 820,000",K,29,Croatia,Aston Villa,Premier League,2019-2020
26,Kortney Hause,"£ 8,077","£ 420,000","£ 420,000",D,24,England,Aston Villa,Premier League,2019-2020
27,Jed Steer,"£ 8,077","£ 420,000","£ 420,000",K,27,England,Aston Villa,Premier League,2019-2020
28,Keinan Davis,"£ 5,000","£ 260,000","£ 260,000",F,21,England,Aston Villa,Premier League,2019-2020
29,Matija Sarkic,£ 962,"£ 50,000","£ 50,000",K,22,Montenegro,Aston Villa,Premier League,2019-2020
