,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Phil Jagielka,"£ 50,000","£ 2,600,000","£ 2,600,000",D,37,England,Sheffield United,Premier League,2019-2020
1,Sander Berge,"£ 40,000","£ 2,080,000","£ 2,080,000",M,21,Norway,Sheffield United,Premier League,2019-2020
2,Richairo Zivkovic,"£ 37,692","£ 1,960,000","£ 1,960,000",F,23,Netherlands,Sheffield United,Premier League,2019-2020
3,Panagiotis Retsos,"£ 33,077","£ 1,720,000","£ 1,720,000",D,21,Greece,Sheffield United,Premier League,2019-2020
4,Muhamed Besic,"£ 30,000","£ 1,560,000","£ 1,560,000",M,27,Bosnia-Herzegovina,Sheffield United,Premier League,2019-2020
5,Jack Robinson,"£ 25,000","£ 1,300,000","£ 1,300,000",D,26,England,Sheffield United,Premier League,2019-2020
6,Lys Mousset,"£ 25,000","£ 1,300,000","£ 1,300,000",F,23,France,Sheffield United,Premier League,2019-2020
7,Ravel Morrison,"£ 25,000","£ 1,300,000","£ 1,300,000",F,26,Jamaica,Sheffield United,Premier League,2019-2020
8,Michael Verrips,"£ 20,000","£ 1,040,000","£ 1,040,000",K,23,Netherlands,Sheffield United,Premier League,2019-2020
9,Oliver McBurnie,"£ 20,000","£ 1,040,000","£ 1,040,000",F,23,Scotland,Sheffield United,Premier League,2019-2020
10,Richard Stearman,"£ 15,000","£ 780,000","£ 780,000",D,32,England,Sheffield United,Premier League,2019-2020
11,Oliver Norwood,"£ 15,000","£ 780,000","£ 780,000",M,28,Northern Ireland,Sheffield United,Premier League,2019-2020
12,Billy Sharp,"£ 11,923","£ 620,000","£ 620,000",F,33,England,Sheffield United,Premier League,2019-2020
13,Dean Henderson,"£ 10,000","£ 520,000","£ 520,000",K,22,England,Sheffield United,Premier League,2019-2020
14,Jack O'Connell,"£ 10,000","£ 520,000","£ 520,000",D,25,England,Sheffield United,Premier League,2019-2020
15,Luke Freeman,"£ 10,000","£ 520,000","£ 520,000",F,27,England,Sheffield United,Premier League,2019-2020
16,Leon Clarke,"£ 9,038","£ 470,000","£ 470,000",F,34,England,Sheffield United,Premier League,2019-2020
17,John Fleck,"£ 8,077","£ 420,000","£ 420,000",M,28,Scotland,Sheffield United,Premier League,2019-2020
18,John Egan,"£ 7,500","£ 390,000","£ 390,000",D,27,Ireland,Sheffield United,Premier League,2019-2020
19,Ricky Holmes,"£ 7,500","£ 390,000","£ 390,000",F,32,England,Sheffield United,Premier League,2019-2020
20,David McGoldrick,"£ 6,923","£ 360,000","£ 360,000",F,32,Ireland,Sheffield United,Premier League,2019-2020
21,Chris Basham,"£ 5,577","£ 290,000","£ 290,000",D,31,England,Sheffield United,Premier League,2019-2020
22,Simon Moore,"£ 5,000","£ 260,000","£ 260,000",K,29,England,Sheffield United,Premier League,2019-2020
23,Jack Rodwell,"£ 5,000","£ 260,000","£ 260,000",M,28,England,Sheffield United,Premier League,2019-2020
24,Callum Robinson,"£ 5,000","£ 260,000","£ 260,000",F,24,Ireland,Sheffield United,Premier League,2019-2020
25,Kieron Freeman,"£ 4,423","£ 230,000","£ 230,000",D,27,Wales,Sheffield United,Premier League,2019-2020
26,Ben Osborn,"£ 4,038","£ 210,000","£ 210,000",M,25,England,Sheffield United,Premier League,2019-2020
27,John Lundstram,"£ 4,038","£ 210,000","£ 210,000",M,25,England,Sheffield United,Premier League,2019-2020
28,George Baldock,"£ 4,038","£ 210,000","£ 210,000",D,26,England,Sheffield United,Premier League,2019-2020
29,George Baldock,"£ 4,038","£ 210,000","£ 210,000",D,26,England,Sheffield United,Premier League,2019-2020
30,Enda Stevens,"£ 4,038","£ 210,000","£ 210,000",D,29,Ireland,Sheffield United,Premier League,2019-2020
31,Kean Bryan,"£ 3,077","£ 160,000","£ 160,000",D,22,England,Sheffield United,Premier League,2019-2020
