,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Jamie Vardy,"£ 140,000","£ 7,280,000","£ 7,280,000",F,33,England,Leicester,Premier League,2019-2020
1,Kasper Schmeichel,"£ 130,000","£ 6,760,000","£ 6,760,000",K,33,Denmark,Leicester,Premier League,2019-2020
2,James Maddison,"£ 110,000","£ 5,720,000","£ 5,720,000",F,23,England,Leicester,Premier League,2019-2020
3,Jonny Evans,"£ 80,000","£ 4,160,000","£ 4,160,000",D,32,Northern Ireland,Leicester,Premier League,2019-2020
4,Dennis Praet,"£ 75,000","£ 3,900,000","£ 3,900,000",M,25,Belgium,Leicester,Premier League,2019-2020
5,Wilfred Ndidi,"£ 75,000","£ 3,900,000","£ 3,900,000",M,23,Nigeria,Leicester,Premier League,2019-2020
6,Ricardo Pereira,"£ 70,000","£ 3,640,000","£ 3,640,000",D,26,Portugal,Leicester,Premier League,2019-2020
7,Ben Chilwell,"£ 65,000","£ 3,380,000","£ 3,380,000",D,23,England,Leicester,Premier League,2019-2020
8,Wes Morgan,"£ 60,000","£ 3,120,000","£ 3,120,000",D,36,Jamaica,Leicester,Premier League,2019-2020
9,Kelechi Iheanacho,"£ 60,000","£ 3,120,000","£ 3,120,000",F,23,Nigeria,Leicester,Premier League,2019-2020
10,Demarai Gray,"£ 55,000","£ 2,860,000","£ 2,860,000",F,23,England,Leicester,Premier League,2019-2020
11,Nampalys Mendy,"£ 50,000","£ 2,600,000","£ 2,600,000",M,27,France,Leicester,Premier League,2019-2020
12,Christian Fuchs,"£ 50,000","£ 2,600,000","£ 2,600,000",D,33,Austria,Leicester,Premier League,2019-2020
13,Ayoze Pérez,"£ 45,000","£ 2,340,000","£ 2,340,000",F,26,Spain,Leicester,Premier League,2019-2020
14,Marc Albrighton,"£ 45,000","£ 2,340,000","£ 2,340,000",M,30,England,Leicester,Premier League,2019-2020
15,Caglar Söyüncü,"£ 45,000","£ 2,340,000","£ 2,340,000",D,23,Turkey,Leicester,Premier League,2019-2020
16,Youri Tielemans,"£ 33,077","£ 1,720,000","£ 1,720,000",M,22,Belgium,Leicester,Premier League,2019-2020
17,Matty James,"£ 31,923","£ 1,660,000","£ 1,660,000",M,28,England,Leicester,Premier League,2019-2020
18,Bartosz Kapustka,"£ 30,000","£ 1,560,000","£ 1,560,000",F,23,Poland,Leicester,Premier League,2019-2020
19,Filip Benkovic,"£ 30,000","£ 1,560,000","£ 1,560,000",D,22,Croatia,Leicester,Premier League,2019-2020
20,James Justin,"£ 30,000","£ 1,560,000","£ 1,560,000",D,21,England,Leicester,Premier League,2019-2020
21,Eldin Jakupovic,"£ 23,077","£ 1,200,000","£ 1,200,000",K,35,Switzerland,Leicester,Premier League,2019-2020
22,Daniel Amartey,"£ 20,962","£ 1,090,000","£ 1,090,000",M,25,Ghana,Leicester,Premier League,2019-2020
23,Ryan Bennett,"£ 20,000","£ 1,040,000","£ 1,040,000",D,29,England,Leicester,Premier League,2019-2020
24,Danny Ward,"£ 20,000","£ 1,040,000","£ 1,040,000",K,26,Wales,Leicester,Premier League,2019-2020
25,Harvey Barnes,"£ 10,000","£ 520,000","£ 520,000",M,22,England,Leicester,Premier League,2019-2020
26,Hamza Choudhury,"£ 7,500","£ 390,000","£ 390,000",M,22,England,Leicester,Premier League,2019-2020
27,George Thomas,"£ 2,500","£ 130,000","£ 130,000",F,22,Wales,Leicester,Premier League,2019-2020
