,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Kevin De Bruyne,"£ 350,000","£ 18,200,000","£ 18,200,000",F,28,Belgium,Manchester City,Premier League,2019-2020
1,Raheem Sterling,"£ 300,000","£ 15,600,000","£ 15,600,000",F,25,England,Manchester City,Premier League,2019-2020
2,Sergio Agüero,"£ 230,192","£ 11,970,000","£ 11,970,000",F,31,Argentina,Manchester City,Premier League,2019-2020
3,David Silva,"£ 220,000","£ 11,440,000","£ 11,440,000",F,34,Spain,Manchester City,Premier League,2019-2020
4,Fernandinho,"£ 150,000","£ 7,800,000","£ 7,800,000",M,34,Brazil,Manchester City,Premier League,2019-2020
5,Bernardo Silva,"£ 150,000","£ 7,800,000","£ 7,800,000",F,25,Portugal,Manchester City,Premier League,2019-2020
6,Ilkay Gündogan,"£ 140,000","£ 7,280,000","£ 7,280,000",M,29,Germany,Manchester City,Premier League,2019-2020
7,Rodri,"£ 121,154","£ 6,300,000","£ 6,300,000",M,23,Spain,Manchester City,Premier League,2019-2020
8,Riyad Mahrez,"£ 120,000","£ 6,240,000","£ 6,240,000",F,28,Algeria,Manchester City,Premier League,2019-2020
9,Aymeric Laporte,"£ 120,000","£ 6,240,000","£ 6,240,000",D,25,France,Manchester City,Premier League,2019-2020
10,Nicolás Otamendi,"£ 120,000","£ 6,240,000","£ 6,240,000",D,31,Argentina,Manchester City,Premier League,2019-2020
11,Kyle Walker,"£ 110,000","£ 5,720,000","£ 5,720,000",D,29,England,Manchester City,Premier League,2019-2020
12,John Stones,"£ 100,000","£ 5,200,000","£ 5,200,000",D,25,England,Manchester City,Premier League,2019-2020
13,Leroy Sané,"£ 90,000","£ 4,680,000","£ 4,680,000",F,24,Germany,Manchester City,Premier League,2019-2020
14,Benjamin Mendy,"£ 90,000","£ 4,680,000","£ 4,680,000",D,25,France,Manchester City,Premier League,2019-2020
15,Gabriel Jesus,"£ 90,000","£ 4,680,000","£ 4,680,000",F,22,Brazil,Manchester City,Premier League,2019-2020
16,João Cancelo,"£ 80,000","£ 4,160,000","£ 4,160,000",D,25,Portugal,Manchester City,Premier League,2019-2020
17,Claudio Bravo,"£ 80,000","£ 4,160,000","£ 4,160,000",K,36,Chile,Manchester City,Premier League,2019-2020
18,Ederson,"£ 65,000","£ 3,380,000","£ 3,380,000",K,26,Brazil,Manchester City,Premier League,2019-2020
19,Angeliño,"£ 60,000","£ 3,120,000","£ 3,120,000",D,22,Spain,Manchester City,Premier League,2019-2020
20,Scott Carson,"£ 25,000","£ 1,300,000","£ 1,300,000",K,34,England,Manchester City,Premier League,2019-2020
21,Oleksandr Zinchenko,"£ 20,000","£ 1,040,000","£ 1,040,000",D,23,Ukraine,Manchester City,Premier League,2019-2020
22,Eric García,"£ 11,923","£ 620,000","£ 620,000",D,19,Spain,Manchester City,Premier League,2019-2020
23,Phil Foden,"£ 11,923","£ 620,000","£ 620,000",M,19,England,Manchester City,Premier League,2019-2020
24,Mix Diskerud,"£ 10,000","£ 520,000","£ 520,000",M,29,United States,Manchester City,Premier League,2019-2020
