,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Josip Drmic,"£ 50,000","£ 2,600,000","£ 2,600,000",F,27,Switzerland,Norwich,Premier League,2019-2020
1,Ralf Fährmann,"£ 49,423","£ 2,570,000","£ 2,570,000",K,31,Germany,Norwich,Premier League,2019-2020
2,Patrick Roberts,"£ 40,000","£ 2,080,000","£ 2,080,000",F,22,England,Norwich,Premier League,2019-2020
3,Ibrahim Amadou,"£ 36,923","£ 1,920,000","£ 1,920,000",M,26,France,Norwich,Premier League,2019-2020
4,Lukas Rupp,"£ 32,500","£ 1,690,000","£ 1,690,000",M,29,Germany,Norwich,Premier League,2019-2020
5,Sam Byram,"£ 30,000","£ 1,560,000","£ 1,560,000",D,26,England,Norwich,Premier League,2019-2020
6,Tim Krul,"£ 25,000","£ 1,300,000","£ 1,300,000",K,31,Netherlands,Norwich,Premier League,2019-2020
7,Grant Hanley,"£ 25,000","£ 1,300,000","£ 1,300,000",D,28,Scotland,Norwich,Premier League,2019-2020
8,Mario Vrancic,"£ 20,000","£ 1,040,000","£ 1,040,000",M,30,Bosnia-Herzegovina,Norwich,Premier League,2019-2020
9,Timm Klose,"£ 20,000","£ 1,040,000","£ 1,040,000",D,31,Switzerland,Norwich,Premier League,2019-2020
10,Marco Stiepermann,"£ 17,500","£ 910,000","£ 910,000",F,28,Germany,Norwich,Premier League,2019-2020
11,Michael McGovern,"£ 16,923","£ 880,000","£ 880,000",K,35,Northern Ireland,Norwich,Premier League,2019-2020
12,Ondrej Duda,"£ 16,538","£ 860,000","£ 860,000",F,25,Slovakia,Norwich,Premier League,2019-2020
13,Philip Heise,"£ 16,154","£ 840,000","£ 840,000",D,28,Germany,Norwich,Premier League,2019-2020
14,Tom Trybull,"£ 15,000","£ 780,000","£ 780,000",M,26,Germany,Norwich,Premier League,2019-2020
15,Christoph Zimmermann,"£ 15,000","£ 780,000","£ 780,000",D,27,Germany,Norwich,Premier League,2019-2020
16,Alexander Tettey,"£ 13,077","£ 680,000","£ 680,000",M,33,Norway,Norwich,Premier League,2019-2020
17,Moritz Leitner,"£ 11,923","£ 620,000","£ 620,000",M,27,Germany,Norwich,Premier League,2019-2020
18,Kenny McLean,"£ 10,000","£ 520,000","£ 520,000",M,28,Scotland,Norwich,Premier League,2019-2020
19,Onel Hernández,"£ 8,077","£ 420,000","£ 420,000",F,27,Cuba,Norwich,Premier League,2019-2020
20,Emiliano Buendía,"£ 8,077","£ 420,000","£ 420,000",F,23,Argentina,Norwich,Premier League,2019-2020
21,Teemu Pukki,"£ 5,962","£ 310,000","£ 310,000",F,29,Finland,Norwich,Premier League,2019-2020
22,Jamal Lewis,"£ 5,000","£ 260,000","£ 260,000",D,22,Northern Ireland,Norwich,Premier League,2019-2020
23,Max Aarons,"£ 5,000","£ 260,000","£ 260,000",D,20,England,Norwich,Premier League,2019-2020
24,Ben Godfrey,"£ 5,000","£ 260,000","£ 260,000",D,22,England,Norwich,Premier League,2019-2020
25,Dennis Srbeny,"£ 4,038","£ 210,000","£ 210,000",F,25,Germany,Norwich,Premier League,2019-2020
26,Todd Cantwell,"£ 1,538","£ 80,000","£ 80,000",M,21,England,Norwich,Premier League,2019-2020
