,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Andrii Yarmolenko,"£ 115,000","£ 5,980,000","£ 5,980,000",F,30,Ukraine,West Ham,Premier League,2019-2020
1,Jack Wilshere,"£ 100,000","£ 5,200,000","£ 5,200,000",M,28,England,West Ham,Premier League,2019-2020
2,Felipe Anderson,"£ 85,000","£ 4,420,000","£ 4,420,000",F,26,Brazil,West Ham,Premier League,2019-2020
3,Pablo Fornals,"£ 80,000","£ 4,160,000","£ 4,160,000",F,23,Spain,West Ham,Premier League,2019-2020
4,Sébastien Haller,"£ 75,000","£ 3,900,000","£ 3,900,000",F,25,France,West Ham,Premier League,2019-2020
5,Pablo Zabaleta,"£ 75,000","£ 3,900,000","£ 3,900,000",D,35,Argentina,West Ham,Premier League,2019-2020
6,Winston Reid,"£ 70,000","£ 3,640,000","£ 3,640,000",D,31,New Zealand,West Ham,Premier League,2019-2020
7,Angelo Ogbonna,"£ 70,000","£ 3,640,000","£ 3,640,000",D,31,Italy,West Ham,Premier League,2019-2020
8,Manuel Lanzini,"£ 70,000","£ 3,640,000","£ 3,640,000",F,26,Argentina,West Ham,Premier League,2019-2020
9,Michail Antonio,"£ 70,000","£ 3,640,000","£ 3,640,000",F,29,England,West Ham,Premier League,2019-2020
10,Issa Diop,"£ 66,923","£ 3,480,000","£ 3,480,000",D,23,France,West Ham,Premier League,2019-2020
11,Lukasz Fabianski,"£ 65,000","£ 3,380,000","£ 3,380,000",K,34,Poland,West Ham,Premier League,2019-2020
12,Jarrod Bowen,"£ 55,000","£ 2,860,000","£ 2,860,000",F,23,England,West Ham,Premier League,2019-2020
13,Aaron Cresswell,"£ 50,000","£ 2,600,000","£ 2,600,000",D,30,England,West Ham,Premier League,2019-2020
14,Carlos Sánchez,"£ 50,000","£ 2,600,000","£ 2,600,000",M,33,Colombia,West Ham,Premier League,2019-2020
15,Albian Ajeti,"£ 50,000","£ 2,600,000","£ 2,600,000",F,22,Switzerland,West Ham,Premier League,2019-2020
16,Mark Noble,"£ 50,000","£ 2,600,000","£ 2,600,000",M,32,England,West Ham,Premier League,2019-2020
17,Fabián Balbuena,"£ 40,000","£ 2,080,000","£ 2,080,000",D,28,Paraguay,West Ham,Premier League,2019-2020
18,Arthur Masuaku,"£ 40,000","£ 2,080,000","£ 2,080,000",D,26,Democratic Republic of the Congo,West Ham,Premier League,2019-2020
19,Robert Snodgrass,"£ 40,000","£ 2,080,000","£ 2,080,000",F,32,Scotland,West Ham,Premier League,2019-2020
20,Ryan Fredericks,"£ 40,000","£ 2,080,000","£ 2,080,000",D,27,England,West Ham,Premier League,2019-2020
21,Darren Randolph,"£ 37,500","£ 1,950,000","£ 1,950,000",K,32,Ireland,West Ham,Premier League,2019-2020
22,Tomas Soucek,"£ 33,462","£ 1,740,000","£ 1,740,000",M,24,Czech Republic,West Ham,Premier League,2019-2020
23,Roberto,"£ 30,000","£ 1,560,000","£ 1,560,000",K,33,Spain,West Ham,Premier League,2019-2020
24,Gonçalo Cardoso,"£ 10,000","£ 520,000","£ 520,000",D,19,Portugal,West Ham,Premier League,2019-2020
25,David Martin,"£ 8,000","£ 416,000","£ 416,000",K,34,England,West Ham,Premier League,2019-2020
26,Declan Rice,"£ 3,077","£ 160,000","£ 160,000",M,21,England,West Ham,Premier League,2019-2020
