Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
1,Antonio AdÃ¡n,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30.0,53,1.77,128,82,60.9,14,4,12,9,30.0,4,3,1,0,25.0,Matches,0,6,4,38.5,0.28,-10.5,-0.35,177,459,38.6,905,95,41.1,36.3,130,66.9,48.8,289,30,10.4,18,0.60,14.7,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,90,78.9,,30,0,,0,1.53,50,53,-3,-0.10,-0.35,31.2,42.0,-10.8,-0.36,-0.52,0,0,4,0,0,0,0,0,0,127,0,0,,Big-5-European-Leagues,Big5,2017-2018
2,RenÃ© Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14.0,18,1.29,51,34,66.7,5,3,6,4,28.6,2,1,0,1,0.0,Matches,0,5,0,18.5,0.36,+0.5,+0.03,84,218,38.5,296,40,48.0,40.7,90,84.4,61.3,130,9,6.9,12,0.86,15.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.03,0.03,0.00,0.03,90,41.2,,14,0,,2,1.29,16,18,-2,-0.14,+0.46,15.5,21.1,-5.6,-0.40,+0.13,0,1,3,0,0,0,0,0,1,79,0,1,0.0,Big-5-European-Leagues,Big5,2017-2018
3,AdriÃ¡n,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19.0,29,1.53,96,66,70.8,7,6,6,6,31.6,1,1,0,0,0.0,Matches,1,8,1,27.3,0.28,-0.7,-0.04,159,470,33.8,387,47,78.0,54.1,186,90.3,61.9,197,12,6.1,14,0.74,13.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,50.0,,19,0,,19,1.42,30,29,+1,+0.05,+1.16,21.4,30.3,-8.9,-0.47,+0.08,0,0,3,0,0,0,0,0,0,116,0,0,,Big-5-European-Leagues,Big5,2017-2018
4,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,37,3330,37.0,28,0.76,135,107,81.5,22,8,7,17,45.9,5,3,2,0,40.0,Matches,0,2,0,38.8,0.26,+10.8,+0.29,245,443,55.3,994,198,35.7,35.2,181,48.6,45.3,306,25,8.2,49,1.32,17.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,97.4,,37,0,,0,2.00,60,28,+32,+0.86,-0.14,68.1,39.0,+29.1,+0.79,+0.35,0,0,3,0,0,0,0,0,0,230,0,0,,Big-5-European-Leagues,Big5,2017-2018
5,Sergio Ãlvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,17,16,1479,16.4,29,1.76,77,50,63.6,3,6,7,3,18.8,1,1,0,0,0.0,Matches,0,4,1,26.5,0.34,-1.5,-0.09,96,255,37.6,435,32,43.2,37.6,83,80.7,58.0,143,15,10.5,12,0.73,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,87,43.2,,16,1,,21,1.06,22,29,-7,-0.43,-0.70,24.1,23.6,+0.5,+0.03,+0.04,0,0,5,0,0,0,0,0,0,67,0,0,,Big-5-European-Leagues,Big5,2017-2018
6,Jon Ander Serantes,es ESP,GK,LeganÃ©s,es La Liga,27,1989,1,1,90,1.0,2,2.00,9,7,77.8,1,0,0,0,0.0,0,0,0,0,,Matches,0,0,0,2.5,0.28,+0.5,+0.53,5,24,20.8,21,1,85.7,61.5,6,100.0,77.5,9,2,22.2,0,0.00,15.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,,1,0,,2,3.00,3,2,+1,+1.00,+1.49,1.5,1.9,-0.3,-0.32,-0.15,0,0,0,0,0,0,0,0,0,4,0,0,,Big-5-European-Leagues,Big5,2017-2018
7,NÃ­colas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,3240,36.0,71,1.97,231,167,71.9,7,4,25,7,19.4,8,6,2,0,25.0,Matches,4,9,2,75.2,0.30,+6.2,+0.17,371,904,41.0,995,222,59.2,44.5,362,87.0,59.9,466,48,10.3,22,0.61,13.9,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,94.7,,35,0,,1,0.69,29,71,-42,-1.17,+1.83,34.0,71.7,-37.7,-1.05,+0.90,0,0,12,0,0,0,0,0,1,194,0,0,,Big-5-European-Leagues,Big5,2017-2018
8,Miguel Ãngel MoyÃ¡,es ESP,GK,Real Sociedad,es La Liga,33,1984,9,9,763,8.5,8,0.94,30,24,80.0,3,2,4,2,22.2,3,2,1,0,33.3,Matches,0,2,0,9.8,0.25,+1.8,+0.21,69,131,52.7,241,10,46.5,38.9,31,61.3,44.8,88,12,13.6,7,0.82,16.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,85,22.3,,8,0,,2,1.22,9,8,+1,+0.12,-0.09,8.9,9.9,-1.0,-0.11,-0.41,0,0,1,0,0,0,0,0,1,43,0,0,,Big-5-European-Leagues,Big5,2017-2018
9,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34,34,3060,34.0,25,0.74,106,82,77.4,26,6,2,17,50.0,2,1,1,0,50.0,Matches,2,6,0,26.0,0.23,+1.0,+0.03,48,95,50.5,504,90,13.9,24.3,80,31.3,34.4,299,24,8.0,31,0.91,16.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,89.5,,34,0,,3,2.47,101,25,+76,+2.24,+1.49,82.0,28.5,+53.5,+1.57,+0.70,0,0,2,0,0,0,0,0,0,135,0,0,,Big-5-European-Leagues,Big5,2017-2018
10,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30,30,2700,30.0,43,1.43,135,96,68.9,7,9,14,7,23.3,3,1,2,0,66.7,Matches,3,5,3,42.9,0.30,+2.9,+0.10,280,587,47.7,728,67,64.0,46.9,134,90.3,64.1,271,24,8.9,14,0.47,15.3,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,78.9,,30,0,,1,1.00,31,43,-12,-0.40,-0.90,35.9,37.0,-1.1,-0.04,+0.05,0,0,7,0,0,0,0,0,1,131,0,0,,Big-5-European-Leagues,Big5,2017-2018
11,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23,23,2070,23.0,30,1.30,89,62,69.7,12,3,8,6,26.1,5,3,2,0,40.0,Matches,1,3,0,32.5,0.32,+2.5,+0.11,102,282,36.2,360,86,52.2,41.5,109,86.2,61.3,284,24,8.5,16,0.70,14.3,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,60.5,,23,0,,2,1.70,33,30,+3,+0.13,-0.14,32.0,35.2,-3.2,-0.14,-0.14,0,3,3,0,0,0,0,0,1,119,0,0,,Big-5-European-Leagues,Big5,2017-2018
12,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,1984,13,12,1125,12.5,14,1.12,47,34,72.3,6,3,3,5,41.7,1,1,0,0,0.0,Matches,0,2,0,13.6,0.27,-0.4,-0.03,35,123,28.5,190,40,34.7,34.7,63,90.5,62.4,150,15,10.0,3,0.24,13.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,87,32.9,,12,1,,18,1.62,22,14,+8,+0.64,+0.68,18.2,15.7,+2.6,+0.20,+0.43,0,0,3,0,0,0,0,0,0,46,0,0,,Big-5-European-Leagues,Big5,2017-2018
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34,34,3060,34.0,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25.0,Matches,1,9,3,41.2,0.27,-3.8,-0.11,219,620,35.3,1175,174,40.8,35.9,230,61.3,48.7,311,20,6.4,37,1.09,15.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,,34,0,,0,1.62,66,48,+18,+0.53,,51.7,47.5,+4.2,+0.12,,0,0,6,0,0,0,0,0,0,236,0,0,,Big-5-European-Leagues,Big5,2017-2018
14,Asmir BegoviÄ,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,38,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3,Matches,2,8,1,57.5,0.33,-2.5,-0.07,233,668,34.9,823,227,48.8,41.5,329,80.9,58.5,389,35,9.0,8,0.21,13.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,,38,0,,0,1.16,45,61,-16,-0.42,,44.8,61.4,-16.6,-0.44,,0,2,8,0,0,0,0,0,1,213,1,0,100.0,Big-5-European-Leagues,Big5,2017-2018
15,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,2,180,2.0,5,2.50,15,11,73.3,0,0,2,0,0.0,1,1,0,0,0.0,Matches,0,1,0,5.6,0.31,+0.6,+0.28,9,24,37.5,70,11,27.1,26.6,16,31.3,36.2,21,2,9.5,3,1.50,13.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.3,,2,0,,11,0.00,1,5,-4,-2.00,-2.00,1.1,3.4,-2.4,-1.18,-0.91,0,0,0,0,0,0,0,0,0,12,0,0,,Big-5-European-Leagues,Big5,2017-2018
16,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,13,13,1113,12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0.0,Matches,1,1,2,24.3,0.31,-0.7,-0.06,63,183,34.4,259,68,48.6,40.4,102,55.9,46.5,133,10,7.5,5,0.40,12.2,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,86,32.5,,12,0,,8,0.46,7,27,-20,-1.62,-0.41,14.5,26.3,-11.8,-0.95,-0.02,0,2,3,0,0,0,0,0,1,68,0,0,,Big-5-European-Leagues,Big5,2017-2018
17,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,3,2,225,2.5,0,0.00,6,6,100.0,2,0,0,2,100.0,0,0,0,0,,Matches,0,0,0,1.5,0.24,+1.5,+0.59,9,22,40.9,35,9,40.0,33.7,12,66.7,53.8,25,1,4.0,2,0.80,14.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,75,6.6,,2,1,,20,3.00,9,0,+9,+3.60,+2.73,5.8,2.0,+3.8,+1.50,+1.20,0,0,0,0,0,0,0,0,0,13,0,0,,Big-5-European-Leagues,Big5,2017-2018
18,Walter BenÃ­tez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28,28,2520,28.0,36,1.29,114,83,71.1,12,8,8,7,25.0,5,3,2,0,40.0,Matches,1,0,2,35.5,0.28,+1.5,+0.05,64,201,31.8,394,84,26.6,30.3,127,75.6,54.4,320,17,5.3,6,0.21,13.0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,73.7,,28,0,,10,1.57,40,36,+4,+0.14,+0.44,35.8,36.5,-0.7,-0.02,-0.44,0,3,2,0,0,0,0,0,0,125,0,0,,Big-5-European-Leagues,Big5,2017-2018
19,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31,31,2790,31.0,34,1.10,99,66,66.7,13,10,8,8,25.8,2,1,1,0,50.0,Matches,2,2,0,27.3,0.26,-6.7,-0.22,196,438,44.7,587,156,42.9,37.8,214,86.9,58.9,249,14,5.6,15,0.48,14.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,81.6,,31,0,,7,1.58,46,34,+12,+0.39,-0.47,54.7,30.7,+24.0,+0.77,-0.12,0,1,3,0,0,0,0,0,0,170,0,0,,Big-5-European-Leagues,Big5,2017-2018
20,Quentin Beunardeau,fr FRA,GK,Metz,fr Ligue 1,23,1994,1,0,39,0.4,2,4.62,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches,0,0,0,1.7,0.43,-0.3,-0.68,6,16,37.5,16,2,87.5,50.7,2,100.0,71.5,6,0,0.0,0,0.00,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,39,1.1,,0,1,,17,0.00,1,2,-1,-2.31,-1.22,0.0,1.8,-1.7,-3.97,-3.24,0,0,0,0,0,0,0,0,0,3,0,0,,Big-5-European-Leagues,Big5,2017-2018
21,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32,32,2880,32.0,52,1.62,137,91,63.5,11,4,17,8,25.0,5,2,2,1,50.0,Matches,1,9,4,42.0,0.29,-6.0,-0.19,262,612,42.8,774,135,52.5,41.1,271,76.0,53.2,306,26,8.5,13,0.41,13.0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,84.2,,31,0,,5,1.16,41,52,-11,-0.34,+0.32,37.1,42.6,-5.5,-0.17,+0.11,0,2,3,0,0,0,0,0,0,186,0,0,,Big-5-European-Leagues,Big5,2017-2018
22,RubÃ©n Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,22,22,1941,21.6,31,1.44,90,62,68.9,10,4,8,4,18.2,4,3,0,1,0.0,Matches,0,4,0,25.5,0.26,-5.5,-0.26,112,357,31.4,602,57,48.0,41.2,82,82.9,62.4,231,28,12.1,7,0.32,14.9,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,56.8,,21,0,,12,1.55,37,31,+6,+0.28,+0.70,28.4,29.2,-0.8,-0.04,-0.10,0,4,0,0,0,0,0,0,0,69,0,0,,Big-5-European-Leagues,Big5,2017-2018
23,Landry Bonnefoi,fr FRA,GK,Strasbourg,fr Ligue 1,33,1983,4,3,272,3.0,6,1.99,17,11,64.7,2,0,1,1,33.3,0,0,0,0,,Matches,0,1,0,5.5,0.33,-0.5,-0.16,17,42,40.5,39,8,59.0,43.1,26,73.1,50.9,33,0,0.0,0,0.00,10.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,68,8.0,,3,1,,5,1.50,5,6,-1,-0.33,+0.30,5.6,4.6,+1.0,+0.33,+0.65,0,0,0,0,0,0,0,0,0,11,0,0,,Big-5-European-Leagues,Big5,2017-2018
