,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Leroy Sané,,"€ 384,615","€ 20,000,000",LW,25,Starter,"Jun 30, 2025",5-yrs,"€ 100,000,000",Bayern Munich,Bundesliga,2020-2021
1,Thomas Müller,,"€ 288,462","€ 15,000,000",SS,31,Starter,"Jun 30, 2023",3-yrs,"€ 45,000,000",Bayern Munich,Bundesliga,2020-2021
2,Robert Lewandowski,,"€ 288,462","€ 15,000,000",CF,32,Starter,"Jun 30, 2023",3-yrs,"€ 45,000,000",Bayern Munich,Bundesliga,2020-2021
3,Manuel Neuer,,"€ 288,462","€ 15,000,000",GK,34,Starter,"Jun 30, 2023",3-yrs,"€ 45,000,000",Bayern Munich,Bundesliga,2020-2021
4,Lucas Hernández,,"€ 250,000","€ 13,000,000",LB,24,Reserve,"Jun 30, 2024",4-yrs,"€ 52,000,000",Bayern Munich,Bundesliga,2020-2021
5,Jérôme Boateng,,"€ 230,769","€ 12,000,000",CB,32,Starter,"Jun 30, 2021",1-yr,"€ 12,000,000",Bayern Munich,Bundesliga,2020-2021
6,Douglas Costa,,"€ 201,923","€ 10,500,000",RW,30,Reserve,"Jun 30, 2021",1-yr,"€ 10,500,000",Bayern Munich,Bundesliga,2020-2021
7,David Alaba,,"€ 192,308","€ 10,000,000",CB,28,Starter,"Jun 30, 2021",1-yr,"€ 10,000,000",Bayern Munich,Bundesliga,2020-2021
8,Kingsley Coman,,"€ 153,846","€ 8,000,000",LW,24,Starter,"Jun 30, 2023",3-yrs,"€ 24,000,000",Bayern Munich,Bundesliga,2020-2021
9,Leon Goretzka,,"€ 153,846","€ 8,000,000",CM,25,Starter,"Jun 30, 2022",2-yrs,"€ 16,000,000",Bayern Munich,Bundesliga,2020-2021
10,Joshua Kimmich,,"€ 151,923","€ 7,900,000",DM,25,Starter,"Jun 30, 2023",3-yrs,"€ 23,700,000",Bayern Munich,Bundesliga,2020-2021
11,Corentin Tolisso,,"€ 134,615","€ 7,000,000",CM,26,Reserve,"Jun 30, 2022",2-yrs,"€ 14,000,000",Bayern Munich,Bundesliga,2020-2021
12,Javi Martínez,,"€ 115,385","€ 6,000,000",DM,32,Reserve,"Jun 30, 2021",1-yr,"€ 6,000,000",Bayern Munich,Bundesliga,2020-2021
13,Alexander Nübel,,"€ 96,154","€ 5,000,000",GK,24,Reserve,"Jun 30, 2025",5-yrs,"€ 25,000,000",Bayern Munich,Bundesliga,2020-2021
14,Alphonso Davies,,"€ 96,154","€ 5,000,000",LB,20,Starter,"Jun 30, 2025",5-yrs,"€ 25,000,000",Bayern Munich,Bundesliga,2020-2021
15,Jamal Musiala,,"€ 96,154","€ 5,000,000",AM,17,Reserve,"Jun 30, 2026",6-yrs,"€ 30,000,000",Bayern Munich,Bundesliga,2020-2021
16,Serge Gnabry,,"€ 86,538","€ 4,500,000",RW,25,Reserve,"Jun 30, 2023",3-yrs,"€ 13,500,000",Bayern Munich,Bundesliga,2020-2021
17,Niklas Süle,,"€ 57,692","€ 3,000,000",CB,25,Reserve,"Jun 30, 2022",2-yrs,"€ 6,000,000",Bayern Munich,Bundesliga,2020-2021
18,Marc Roca,,"€ 50,000","€ 2,600,000",DM,24,Reserve,"Jun 30, 2025",5-yrs,"€ 13,000,000",Bayern Munich,Bundesliga,2020-2021
19,Eric Maxim Choupo-Moting,,"€ 28,846","€ 1,500,000",CF,32,Reserve,"Jun 30, 2023",3-yrs,"€ 4,500,000",Bayern Munich,Bundesliga,2020-2021
20,Benjamin Pavard,,"€ 23,077","€ 1,200,000",RB,24,Starter,"Jun 30, 2024",4-yrs,"€ 4,800,000",Bayern Munich,Bundesliga,2020-2021
21,Bouna Sarr,,"€ 22,885","€ 1,190,000",RB,29,Reserve,"Jun 30, 2024",4-yrs,"€ 4,760,000",Bayern Munich,Bundesliga,2020-2021
22,Tanguy Nianzou,,"€ 11,538","€ 600,000",CB,18,Reserve,"Jun 30, 2024",4-yrs,"€ 2,400,000",Bayern Munich,Bundesliga,2020-2021
23,Tiago Dantas,,"€ 3,846","€ 200,000",CM,20,Reserve,"Jun 30, 2021",1-yr,"€ 200,000",Bayern Munich,Bundesliga,2020-2021
24,Ron-Thorben Hoffmann,,"€ 1,923","€ 100,000",GK,21,Reserve,"Jun 30, 2021",1-yr,"€ 100,000",Bayern Munich,Bundesliga,2020-2021
25,Bright Arrey-Mbi,,€ 769,"€ 40,000",CB,17,Reserve,"Jun 30, 2022",2-yrs,"€ 80,000",Bayern Munich,Bundesliga,2020-2021
26,Angelo Stiller,,€ 769,"€ 40,000",DM,19,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Bayern Munich,Bundesliga,2020-2021
