,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Sofiane Boufal,,"€ 32,308","€ 1,680,000",LW,27,Starter,"Jun 30, 2024",4-yrs,"€ 6,720,000",Angers,Ligue 1,2020-2021
1,Ibrahim Amadou,,"€ 23,462","€ 1,220,000",DM,27,Starter,"Jun 30, 2021",1-yr,"€ 1,220,000",Angers,Ligue 1,2020-2021
2,Stéphane Bahoken,,"€ 16,154","€ 840,000",CF,28,Starter,"Jun 30, 2022",2-yrs,"€ 1,680,000",Angers,Ligue 1,2020-2021
3,Thomas Mangani,,"€ 15,000","€ 780,000",CM,33,Starter,"Jun 30, 2022",2-yrs,"€ 1,560,000",Angers,Ligue 1,2020-2021
4,Ismaël Traoré,,"€ 15,000","€ 780,000",CB,34,Starter,"Jun 30, 2022",2-yrs,"€ 1,560,000",Angers,Ligue 1,2020-2021
5,Souleyman Doumbia,,"€ 13,077","€ 680,000",LB,24,Starter,"Jun 30, 2023",3-yrs,"€ 2,040,000",Angers,Ligue 1,2020-2021
6,Romain Thomas,,"€ 12,115","€ 630,000",CB,32,Starter,"Jun 30, 2022",2-yrs,"€ 1,260,000",Angers,Ligue 1,2020-2021
7,Elhadji Pape Diaw,,"€ 11,346","€ 590,000",CB,26,Reserve,"Jun 30, 2021",1-yr,"€ 590,000",Angers,Ligue 1,2020-2021
8,Mateo Pavlovic,,"€ 10,962","€ 570,000",CB,30,Reserve,"Jun 30, 2023",3-yrs,"€ 1,710,000",Angers,Ligue 1,2020-2021
9,Vincent Manceau,,"€ 9,423","€ 490,000",RB,31,Starter,"Jun 30, 2022",2-yrs,"€ 980,000",Angers,Ligue 1,2020-2021
10,Paul Bernardoni,,"€ 9,038","€ 470,000",GK,23,Starter,"Jun 30, 2024",4-yrs,"€ 1,880,000",Angers,Ligue 1,2020-2021
11,Angelo Fulgini,,"€ 8,846","€ 460,000",CM,24,Starter,"Jun 30, 2023",3-yrs,"€ 1,380,000",Angers,Ligue 1,2020-2021
12,Ludovic Butelle,,"€ 8,462","€ 440,000",GK,37,Reserve,"Jun 30, 2021",1-yr,"€ 440,000",Angers,Ligue 1,2020-2021
13,Mathias Pereira Lage,,"€ 7,692","€ 400,000",LM,24,Reserve,"Jun 30, 2022",2-yrs,"€ 800,000",Angers,Ligue 1,2020-2021
14,Pierrick Capelle,,"€ 6,923","€ 360,000",LM,33,Reserve,"Jun 30, 2022",2-yrs,"€ 720,000",Angers,Ligue 1,2020-2021
15,Sada Thioub,,"€ 6,538","€ 340,000",RW,25,Starter,"Jun 30, 2023",3-yrs,"€ 1,020,000",Angers,Ligue 1,2020-2021
16,Abdoulaye Bamba,,"€ 6,346","€ 330,000",RB,30,Reserve,"Jun 30, 2023",3-yrs,"€ 990,000",Angers,Ligue 1,2020-2021
17,Farid El Melali,,"€ 5,577","€ 290,000",RW,23,Reserve,"Jun 30, 2023",3-yrs,"€ 870,000",Angers,Ligue 1,2020-2021
18,Jimmy Cabot,,"€ 5,192","€ 270,000",RW,26,Reserve,"Jun 30, 2023",3-yrs,"€ 810,000",Angers,Ligue 1,2020-2021
19,Lassana Coulibaly,,"€ 3,462","€ 180,000",CM,24,Reserve,"Jun 30, 2021",1-yr,"€ 180,000",Angers,Ligue 1,2020-2021
20,Antonin Bobichon,,"€ 3,269","€ 170,000",CM,25,Reserve,"Jun 30, 2023",3-yrs,"€ 510,000",Angers,Ligue 1,2020-2021
21,Thomas Touré,,"€ 2,692","€ 140,000",LW,27,Reserve,"Jun 30, 2021",1-yr,"€ 140,000",Angers,Ligue 1,2020-2021
22,Danijel Petkovic,,"€ 2,308","€ 120,000",GK,27,Reserve,"Jun 30, 2022",2-yrs,"€ 240,000",Angers,Ligue 1,2020-2021
23,Enzo Ebosse,,€ 769,"€ 40,000",LB,21,Reserve,"Jun 30, 2023",3-yrs,"€ 120,000",Angers,Ligue 1,2020-2021
24,Zinédine Ould Khaled,,€ 385,"€ 20,000",DM,21,Reserve,"Jun 30, 2022",2-yrs,"€ 40,000",Angers,Ligue 1,2020-2021
25,Mohamed-Ali Cho,,€ 385,"€ 20,000",RW,17,Reserve,"Jun 30, 2023",3-yrs,"€ 60,000",Angers,Ligue 1,2020-2021
26,Kévin Boma,,€ 385,"€ 20,000",CB,18,Reserve,"Jun 30, 2021",1-yr,"€ 20,000",Angers,Ligue 1,2020-2021
27,Kevin Bemanga,,€ 385,"€ 20,000",RW,22,Reserve,"Jun 30, 2023",3-yrs,"€ 60,000",Angers,Ligue 1,2020-2021
28,Waniss Taïbi,,€ 385,"€ 20,000",AM,18,Reserve,"Jun 30, 2022",2-yrs,"€ 40,000",Angers,Ligue 1,2020-2021
29,Noah Fatar,,€ 385,"€ 20,000",RW,18,Reserve,"Jun 30, 2023",3-yrs,"€ 60,000",Angers,Ligue 1,2020-2021
