,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Moses Simon,,"€ 34,615","€ 1,800,000",LW,25,Reserve,"Jun 30, 2024",4-yrs,"€ 7,200,000",Nantes,Ligue 1,2020-2021
1,Kalifa Coulibaly,,"€ 28,846","€ 1,500,000",CF,29,Reserve,"Jun 30, 2022",2-yrs,"€ 3,000,000",Nantes,Ligue 1,2020-2021
2,Nicolas Pallois,,"€ 25,385","€ 1,320,000",CB,33,Starter,"Jun 30, 2022",2-yrs,"€ 2,640,000",Nantes,Ligue 1,2020-2021
3,Jean-Kévin Augustin,,"€ 23,077","€ 1,200,000",CF,23,Reserve,"Jun 30, 2022",2-yrs,"€ 2,400,000",Nantes,Ligue 1,2020-2021
4,Andrei Girotto,,"€ 20,769","€ 1,080,000",CB,28,Reserve,"Jun 30, 2024",4-yrs,"€ 4,320,000",Nantes,Ligue 1,2020-2021
5,Alban Lafont,,"€ 19,615","€ 1,020,000",GK,22,Reserve,"Jun 30, 2021",1-yr,"€ 1,020,000",Nantes,Ligue 1,2020-2021
6,Ludovic Blas,,"€ 18,462","€ 960,000",AM,23,Starter,"Jun 30, 2024",4-yrs,"€ 3,840,000",Nantes,Ligue 1,2020-2021
7,Dennis Appiah,,"€ 18,462","€ 960,000",RB,28,Starter,"Jun 30, 2023",3-yrs,"€ 2,880,000",Nantes,Ligue 1,2020-2021
8,Renaud Emond,,"€ 17,308","€ 900,000",CF,29,Reserve,"Jun 30, 2022",2-yrs,"€ 1,800,000",Nantes,Ligue 1,2020-2021
9,Anthony Limbombe,,"€ 17,308","€ 900,000",LW,26,Reserve,"Jun 30, 2023",3-yrs,"€ 2,700,000",Nantes,Ligue 1,2020-2021
10,Sébastien Corchia,,"€ 17,308","€ 900,000",RB,30,Starter,"Jun 30, 2023",3-yrs,"€ 2,700,000",Nantes,Ligue 1,2020-2021
11,Fábio,,"€ 15,000","€ 780,000",RB,30,Reserve,"Jun 30, 2022",2-yrs,"€ 1,560,000",Nantes,Ligue 1,2020-2021
12,Pedro Chirivella,,"€ 13,846","€ 720,000",DM,23,Starter,"Jun 30, 2023",3-yrs,"€ 2,160,000",Nantes,Ligue 1,2020-2021
13,Imran Louza,,"€ 11,538","€ 600,000",CM,21,Reserve,"Jun 30, 2024",4-yrs,"€ 2,400,000",Nantes,Ligue 1,2020-2021
14,Abdoulaye Touré,,"€ 10,385","€ 540,000",DM,26,Starter,"Jun 30, 2022",2-yrs,"€ 1,080,000",Nantes,Ligue 1,2020-2021
15,Charles Traoré,,"€ 10,385","€ 540,000",LB,29,Reserve,"Jun 30, 2023",3-yrs,"€ 1,620,000",Nantes,Ligue 1,2020-2021
16,Jean-Charles Castelletto,,"€ 10,385","€ 540,000",CB,26,Reserve,"Jun 30, 2023",3-yrs,"€ 1,620,000",Nantes,Ligue 1,2020-2021
17,Marcus Coco,,"€ 9,231","€ 480,000",RW,24,Reserve,"Jun 30, 2023",3-yrs,"€ 1,440,000",Nantes,Ligue 1,2020-2021
18,Randal Kolo Muani,,"€ 6,923","€ 360,000",CF,22,Starter,"Jun 30, 2022",2-yrs,"€ 720,000",Nantes,Ligue 1,2020-2021
19,Abdoul Kader Bamba,,"€ 6,154","€ 320,000",RW,26,Starter,"Jun 30, 2024",4-yrs,"€ 1,280,000",Nantes,Ligue 1,2020-2021
20,Thomas Basila,,"€ 5,577","€ 290,000",CB,21,starter,"Jun 30, 2021",1-yr,"€ 290,000",Nantes,Ligue 1,2020-2021
21,Denis Petric,,"€ 4,231","€ 220,000",GK,32,Starter,"Jun 30, 2022",2-yrs,"€ 440,000",Nantes,Ligue 1,2020-2021
22,Batista Mendy,,"€ 2,308","€ 120,000",DM,21,Reserve,"Jun 30, 2021",1-yr,"€ 120,000",Nantes,Ligue 1,2020-2021
23,Roli Pereira de Sa,,"€ 1,154","€ 60,000",AM,24,Reserve,"Jun 30, 2022",2-yrs,"€ 120,000",Nantes,Ligue 1,2020-2021
24,Charly Jan,,"€ 1,154","€ 60,000",GK,21,Reserve,"Jun 30, 2022",2-yrs,"€ 120,000",Nantes,Ligue 1,2020-2021
25,Bridge Ndilu,,"€ 1,154","€ 60,000",CF,20,Starter,"Jun 30, 2024",4-yrs,"€ 240,000",Nantes,Ligue 1,2020-2021
