Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,2,2,180,2.0,1,0.50,5,4,80.0,0,2,0,1,50.0,0,0,0,0,,Matches,0,0,0,0.6,0.11,-0.4,-0.22,4,16,25.0,30,8,36.7,38.9,16,31.3,31.9,21,1,4.8,4,2.00,17.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,66.7,90,2,0,,1,1.00,1,1,0,0.00,-1.00,2.2,1.9,+0.3,+0.14,+0.01,0,0,0,0,0,0,0,0,0,11,0,0,,Big-5-European-Leagues,Big5,2021-2022
2,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,3,3,270,3.0,1,0.33,9,8,88.9,2,1,0,2,66.7,0,0,0,0,,Matches,0,1,0,1.9,0.25,+0.9,+0.32,13,25,52.0,84,16,21.4,30.3,15,46.7,42.1,28,2,7.1,5,1.67,18.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,3,0,,0,2.33,6,1,+5,+1.67,,7.6,2.9,+4.7,+1.56,,0,0,0,0,0,0,0,0,0,24,0,0,,Big-5-European-Leagues,Big5,2021-2022
3,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,2,2,180,2.0,1,0.50,8,7,87.5,0,1,1,1,50.0,0,0,0,0,,Matches,0,0,0,2.3,0.29,+1.3,+0.65,17,33,51.5,48,11,41.7,36.6,16,81.3,56.7,11,1,9.1,0,0.00,13.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,2,0,,0,0.50,0,1,-1,-0.50,,1.7,2.4,-0.8,-0.38,,0,0,0,0,0,0,0,0,0,5,0,0,,Big-5-European-Leagues,Big5,2021-2022
4,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,3,3,270,3.0,5,1.67,12,8,66.7,1,0,2,0,0.0,1,1,0,0,0.0,Matches,1,1,0,4.1,0.26,-0.9,-0.30,13,37,35.1,71,18,38.0,36.9,25,40.0,39.5,32,2,6.3,0,0.00,11.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,3,0,,0,1.00,3,5,-2,-0.67,,2.6,3.5,-0.9,-0.30,,0,0,0,0,0,0,0,0,0,13,0,0,,Big-5-European-Leagues,Big5,2021-2022
5,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,3,3,270,3.0,5,1.67,21,16,76.2,1,1,1,1,33.3,0,0,0,0,,Matches,0,0,0,7.0,0.38,+2.0,+0.65,14,41,34.1,106,21,31.1,31.3,21,38.1,30.5,24,1,4.2,4,1.33,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,3,0,,0,1.33,8,5,+3,+1.00,,6.2,6.1,+0.2,+0.05,,0,0,0,0,0,0,0,0,0,24,0,0,,Big-5-European-Leagues,Big5,2021-2022
6,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,2,2,180,2.0,7,3.50,16,9,56.3,0,0,2,0,0.0,0,0,0,0,,Matches,0,2,0,4.9,0.30,-2.1,-1.07,10,37,27.0,24,4,79.2,57.8,18,100.0,64.6,16,0,0.0,0,0.00,10.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,2,0,,0,0.00,2,7,-5,-2.50,,1.9,3.5,-1.5,-0.77,,0,0,0,0,0,0,0,0,0,7,0,0,,Big-5-European-Leagues,Big5,2021-2022
7,Walter BenÃ­tez,ar ARG,GK,Nice,fr Ligue 1,28,1993,3,3,270,3.0,0,0.00,10,10,100.0,2,1,0,3,100.0,0,0,0,0,,Matches,0,0,0,2.0,0.20,+2.0,+0.66,16,49,32.7,54,10,50.0,40.1,34,64.7,49.8,21,1,4.8,1,0.33,13.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,79.4,90,3,0,,0,1.75,8,0,+8,+2.67,+1.38,7.2,2.8,+4.4,+1.46,+1.46,0,0,0,0,0,0,0,0,0,13,0,0,,Big-5-European-Leagues,Big5,2021-2022
8,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,4,4,360,4.0,1,0.25,11,10,90.9,3,1,0,3,75.0,0,0,0,0,,Matches,0,0,0,1.1,0.10,+0.1,+0.03,17,39,43.6,71,24,38.0,36.9,24,50.0,44.6,42,4,9.5,3,0.75,16.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,4,0,,0,2.50,8,1,+7,+1.75,,5.4,3.0,+2.4,+0.61,,0,0,1,0,0,0,0,0,0,17,0,0,,Big-5-European-Leagues,Big5,2021-2022
9,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,4,4,360,4.0,9,2.25,24,16,62.5,1,1,2,0,0.0,0,0,0,0,,Matches,1,1,1,7.3,0.30,-0.7,-0.18,32,72,44.4,100,22,52.0,39.7,34,58.8,47.3,34,6,17.6,0,0.00,11.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,4,0,,0,1.00,9,9,0,0.00,,6.0,6.6,-0.5,-0.14,,0,0,1,0,0,0,0,0,0,13,0,0,,Big-5-European-Leagues,Big5,2021-2022
10,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,4,4,360,4.0,9,2.25,20,12,55.0,0,2,2,0,0.0,0,0,0,0,,Matches,0,1,1,5.2,0.27,-2.8,-0.70,39,69,56.5,97,23,51.5,41.6,31,61.3,48.6,26,1,3.8,0,0.00,13.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,90,100.0,90,4,0,,0,0.50,5,9,-4,-1.00,,4.4,5.3,-0.8,-0.21,,0,0,1,0,0,0,0,0,0,25,0,0,,Big-5-European-Leagues,Big5,2021-2022
