Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
127,Neto,br BRA,GK,Barcelona,es La Liga,31,1989,7,7,630,7.0,6,0.86,21,16,81.0,3,2,2,3,42.9,2,2,0,0,0.0,Matches,0,1,0,6.7,0.24,+0.7,+0.10,22,47,46.8,186,36,21.0,27.6,53,15.1,24.4,64,4,6.3,4,0.57,15.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,18.4,90,7,0,,28,1.57,11,6,+5,+0.71,-0.64,9.7,8.8,+0.9,+0.13,-1.11,0,0,0,0,0,0,0,0,0,26,0,0,,Big-5-European-Leagues,Big5,2020-2021
128,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,34,1986,33,33,2970,33.0,42,1.27,126,83,67.5,24,5,4,9,27.3,3,1,1,1,50.0,Matches,0,5,0,44.2,0.34,+2.2,+0.07,239,391,61.1,1131,189,30.9,32.1,186,22.6,29.1,228,6,2.6,42,1.27,16.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,90,97.1,90,33,0,,1,2.33,97,42,+55,+1.67,+1.67,72.4,39.6,+32.8,+0.99,-1.01,0,1,2,0,0,1,0,0,1,214,0,0,,Big-5-European-Leagues,Big5,2020-2021
129,Will Norris,eng ENG,GK,Burnley,eng Premier League,26,1993,2,2,180,2.0,4,2.00,6,2,33.3,0,0,2,0,0.0,0,0,0,0,,Matches,0,2,0,1.1,0.19,-2.9,-1.44,21,50,42.0,37,1,89.2,62.6,19,89.5,67.7,18,1,5.6,1,0.50,15.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,90,5.3,90,,0,,15,0.00,0,4,-4,-2.00,-1.50,1.7,3.5,-1.8,-0.91,-0.46,0,0,0,0,0,0,0,0,0,6,0,0,,Big-5-European-Leagues,Big5,2020-2021
130,Alexander NÃ¼bel,de GER,GK,Bayern Munich,de Bundesliga,23,1996,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Matches,0,1,0,1.9,0.47,-0.1,-0.11,1,3,33.3,27,2,11.1,26.7,8,0.0,28.1,10,0,0.0,0,0.00,9.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.9,90,1,0,,26,1.00,2,2,0,0.00,-1.67,3.4,1.4,+2.0,+2.01,+1.01,0,0,0,0,0,0,0,0,0,4,0,0,,Big-5-European-Leagues,Big5,2020-2021
131,Jan Oblak,si SVN,GK,AtlÃ©tico Madrid,es La Liga,27,1993,38,38,3420,38.0,25,0.66,120,97,80.0,26,8,4,18,47.4,4,1,2,1,66.7,Matches,0,6,3,31.8,0.25,+9.8,+0.26,269,620,43.4,714,122,59.5,44.6,289,67.5,50.2,327,19,5.8,18,0.47,15.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,2.26,67,25,+42,+1.11,,52.4,32.7,+19.6,+0.52,,0,0,5,0,0,0,0,0,0,145,0,0,,Big-5-European-Leagues,Big5,2020-2021
132,Robin Olsen,se SWE,GK,Everton,eng Premier League,30,1990,7,7,630,7.0,9,1.29,27,18,70.4,2,3,2,2,28.6,1,1,0,0,0.0,Matches,0,0,0,9.5,0.33,+0.5,+0.08,50,104,48.1,148,21,49.3,41.1,51,60.8,46.3,51,4,7.8,1,0.14,11.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,18.4,90,,0,,21,1.29,9,9,0,0.00,+0.03,8.7,10.3,-1.6,-0.22,-0.12,0,0,1,0,0,0,0,0,0,22,0,0,,Big-5-European-Leagues,Big5,2020-2021
133,Jonas Omlin,ch SUI,GK,Montpellier,fr Ligue 1,26,1994,31,31,2673,29.7,51,1.72,147,107,72.8,10,10,11,2,6.5,11,11,0,0,0.0,Matches,0,5,2,51.2,0.29,+2.2,+0.08,234,505,46.3,739,173,46.1,39.0,243,67.5,51.9,266,24,9.0,14,0.47,13.8,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,86,78.2,86,,0,,0,1.29,50,51,-1,-0.03,+0.09,41.2,56.7,-15.6,-0.52,-0.26,0,3,2,0,0,0,0,0,1,168,0,0,,Big-5-European-Leagues,Big5,2020-2021
134,Stefan Ortega,de GER,GK,Arminia,de Bundesliga,27,1992,34,34,3060,34.0,52,1.53,166,119,71.7,9,8,17,11,32.4,6,5,1,0,16.7,Matches,0,6,1,52.1,0.29,+1.1,+0.03,488,1038,47.0,1720,116,51.1,43.4,246,64.6,51.6,338,28,8.3,34,1.00,15.3,0,1,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.6,0.6,0.00,0.02,0.02,0.00,0.02,90,100.0,90,34,0,,0,1.03,26,52,-26,-0.76,,30.7,55.7,-25.0,-0.73,,0,0,2,0,0,0,1,0,0,244,0,0,,Big-5-European-Leagues,Big5,2020-2021
135,David Ospina,co COL,GK,Napoli,it Serie A,31,1988,16,16,1440,16.0,12,0.75,39,30,76.9,11,0,5,8,50.0,3,3,0,0,0.0,Matches,0,0,0,13.2,0.27,+1.2,+0.07,73,155,47.1,483,49,29.6,31.4,56,21.4,25.6,117,11,9.4,12,0.75,15.4,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,90,42.1,90,16,0,,17,2.06,33,12,+21,+1.31,+0.22,28.6,14.5,+14.1,+0.88,+0.34,0,1,4,0,0,0,0,0,1,73,0,0,,Big-5-European-Leagues,Big5,2020-2021
136,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,32,1988,34,34,3058,34.0,39,1.15,117,87,74.4,12,10,12,8,23.5,10,9,1,0,10.0,Matches,0,5,1,40.5,0.27,+3.5,+0.10,265,601,44.1,748,189,52.9,42.9,287,71.4,53.2,322,38,11.8,37,1.09,16.7,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,90,89.4,90,,0,,0,1.35,41,38,+3,+0.09,+1.83,37.6,41.2,-3.7,-0.11,+0.99,0,1,9,0,0,0,0,0,1,188,0,1,0.0,Big-5-European-Leagues,Big5,2020-2021
137,Fernando Pacheco,es ESP,GK,AlavÃ©s,es La Liga,28,1992,38,37,3349,37.2,57,1.53,142,86,62.0,9,11,17,9,24.3,3,3,0,0,0.0,Matches,0,6,0,54.9,0.38,-2.1,-0.06,329,642,51.2,781,112,58.3,44.9,300,62.3,47.1,330,31,9.4,23,0.62,14.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,97.9,90,37,1,19,0,1.00,36,57,-21,-0.56,-0.56,42.0,50.6,-8.6,-0.23,-0.51,0,0,3,0,0,0,0,0,0,156,0,0,,Big-5-European-Leagues,Big5,2020-2021
138,Daniele Padelli,it ITA,GK,Inter,it Serie A,34,1985,1,0,45,0.5,1,2.00,1,1,100.0,0,0,0,0,,1,1,0,0,0.0,Matches,0,0,0,1.0,0.14,0.0,+0.08,2,2,100.0,9,1,11.1,19.7,4,25.0,32.5,4,0,0.0,1,2.00,26.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,45,1.3,,0,1,45,32,3.00,3,1,+2,+4.00,+2.61,2.0,1.0,+1.0,+2.09,+1.15,0,0,0,0,0,0,0,0,0,0,0,0,,Big-5-European-Leagues,Big5,2020-2021
139,Alberto Paleari,it ITA,GK,Genoa,it Serie A,27,1992,3,2,206,2.3,3,1.31,12,8,75.0,1,0,1,1,50.0,0,0,0,0,,Matches,0,0,0,3.9,0.34,+0.9,+0.37,9,36,25.0,59,12,47.5,39.0,19,42.1,37.3,24,0,0.0,0,0.00,9.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,69,6.0,90,2,1,26,27,1.33,3,3,0,0.00,+0.31,3.6,4.6,-1.0,-0.45,-0.01,0,0,1,0,0,0,0,0,0,13,0,0,,Big-5-European-Leagues,Big5,2020-2021
140,Ivor Pandur,hr CRO,GK,Hellas Verona,it Serie A,20,2000,4,4,332,3.7,6,1.63,13,7,53.8,0,3,1,0,0.0,0,0,0,0,,Matches,0,1,0,5.3,0.41,-0.7,-0.20,13,60,21.7,79,8,48.1,38.1,22,100.0,64.2,26,1,3.8,2,0.54,16.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,83,9.7,83,3,0,,34,0.75,4,6,-2,-0.54,-0.54,4.5,3.7,+0.8,+0.22,+0.44,0,0,0,0,0,0,0,0,0,15,0,0,,Big-5-European-Leagues,Big5,2020-2021
141,Rui PatrÃ­cio,pt POR,GK,Wolves,eng Premier League,32,1988,37,37,3329,37.0,51,1.38,140,96,68.6,12,9,16,10,27.0,8,7,1,0,12.5,Matches,1,9,3,44.6,0.28,-3.4,-0.09,205,453,45.3,536,130,52.8,40.5,265,64.2,44.9,374,22,5.9,6,0.16,11.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,97.3,90,,0,,1,1.22,36,51,-15,-0.41,+0.58,39.2,45.0,-5.8,-0.16,+0.06,0,0,1,0,0,0,0,0,0,143,0,0,,Big-5-European-Leagues,Big5,2020-2021
142,JiÅÃ­ Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,28,1992,34,34,3060,34.0,57,1.68,150,100,64.7,7,10,17,6,17.6,6,4,2,0,33.3,Matches,0,7,3,47.4,0.28,-6.6,-0.19,242,521,46.4,865,165,42.7,37.6,283,53.7,43.4,360,21,5.8,22,0.65,14.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,34,0,,0,0.91,36,57,-21,-0.62,,33.8,51.0,-17.2,-0.50,,0,2,3,0,0,0,0,0,1,173,0,1,0.0,Big-5-European-Leagues,Big5,2020-2021
143,Bailey Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,23,1996,4,4,360,4.0,14,3.50,25,11,44.0,0,0,4,0,0.0,0,0,0,0,,Matches,0,2,0,9.5,0.38,-4.5,-1.14,41,94,43.6,84,5,81.0,57.6,29,89.7,68.0,36,0,0.0,3,0.75,15.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,10.5,90,,0,,31,0.00,2,14,-12,-3.00,-2.71,4.0,9.1,-5.1,-1.27,-0.90,0,0,1,0,0,0,0,0,0,16,0,0,,Big-5-European-Leagues,Big5,2020-2021
144,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,39,1981,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,0,0,0,0.0,0.04,0.0,+0.04,0,1,0.0,13,2,7.7,18.5,8,0.0,13.6,4,0,0.0,0,0.00,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,34,1.00,0,0,0,0.00,-0.22,0.4,1.2,-0.8,-0.76,-0.90,0,0,0,0,0,0,0,0,0,3,0,0,,Big-5-European-Leagues,Big5,2020-2021
145,Yohann PelÃ©,fr FRA,GK,Marseille,fr Ligue 1,37,1982,1,1,90,1.0,2,2.00,5,2,60.0,0,0,1,0,0.0,0,0,0,0,,Matches,0,0,0,2.4,0.47,+0.4,+0.35,0,0,,22,7,0.0,20.5,3,0.0,14.7,8,1,12.5,1,1.00,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,,0,,34,0.00,1,2,-1,-1.00,-1.22,2.2,1.5,+0.7,+0.65,+0.63,0,0,0,0,0,0,0,0,0,4,0,0,,Big-5-European-Leagues,Big5,2020-2021
146,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,35,1985,3,3,270,3.0,3,1.00,13,10,76.9,1,2,0,0,0.0,0,0,0,0,,Matches,1,0,0,5.0,0.38,+2.0,+0.66,12,25,48.0,90,19,25.6,29.7,20,10.0,19.3,10,0,0.0,1,0.33,16.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,8.8,90,3,0,,30,1.67,4,3,+1,+0.33,+0.43,5.1,3.5,+1.6,+0.54,+0.64,0,0,0,0,0,0,0,0,0,12,0,0,,Big-5-European-Leagues,Big5,2020-2021
147,Juan PÃ©rez,es ESP,GK,Osasuna,es La Liga,24,1996,3,3,270,3.0,3,1.00,7,4,71.4,1,1,1,1,33.3,1,1,0,0,0.0,Matches,0,0,0,2.6,0.25,-0.4,-0.12,23,60,38.3,58,7,56.9,47.2,29,93.1,70.7,35,0,0.0,1,0.33,14.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,90,3,0,,25,1.33,3,3,0,0.00,+0.31,2.6,4.7,-2.1,-0.69,-0.36,0,0,0,0,0,0,0,0,0,17,0,0,,Big-5-European-Leagues,Big5,2020-2021
148,Mattia Perin,it ITA,GK,Genoa,it Serie A,27,1992,32,32,2879,32.0,44,1.38,151,113,75.5,9,11,12,8,25.0,7,7,0,0,0.0,Matches,0,6,2,47.2,0.28,+5.2,+0.16,233,624,37.3,891,136,54.8,41.3,275,49.5,39.7,342,17,5.0,9,0.28,12.4,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,84.2,90,31,0,,2,1.19,41,44,-3,-0.09,+1.24,31.0,43.1,-12.1,-0.38,+0.40,0,2,6,0,0,0,0,0,1,158,0,0,,Big-5-European-Leagues,Big5,2020-2021
149,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,32,1987,2,2,180,2.0,4,2.00,14,9,71.4,0,1,1,0,0.0,0,0,0,0,,Matches,0,2,0,4.7,0.34,+0.7,+0.35,15,32,46.9,53,6,39.6,36.3,18,61.1,49.7,20,2,10.0,0,0.00,11.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.9,90,2,0,,30,0.50,3,4,-1,-0.50,-1.28,2.0,4.2,-2.2,-1.09,-1.39,0,0,0,0,0,0,0,0,0,5,0,0,,Big-5-European-Leagues,Big5,2020-2021
150,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,26,1994,31,31,2742,30.5,39,1.28,128,90,71.1,15,5,11,10,32.3,3,2,0,1,0.0,Matches,1,5,1,38.7,0.29,+0.7,+0.02,275,650,42.3,945,135,53.3,43.4,207,70.5,56.5,295,24,8.1,19,0.62,14.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,80.2,88,,0,,2,1.61,38,39,-1,-0.03,-0.03,37.5,40.9,-3.4,-0.11,+0.08,0,1,3,0,0,0,0,0,1,160,0,0,,Big-5-European-Leagues,Big5,2020-2021
151,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,30,1990,1,0,23,0.3,1,3.91,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,0,0,0,1.0,0.52,0.0,+0.16,1,2,50.0,9,0,22.2,21.8,2,0.0,12.5,1,0,0.0,1,3.91,31.0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,23,0.7,,0,1,23,34,3.00,2,2,0,0.00,-1.03,0.7,0.9,-0.2,-0.82,-1.78,0,0,0,0,0,0,0,0,0,1,0,0,,Big-5-European-Leagues,Big5,2020-2021
152,Nick Pope,eng ENG,GK,Burnley,eng Premier League,28,1992,32,32,2880,32.0,37,1.16,148,114,77.0,10,9,13,11,34.4,3,3,0,0,0.0,Matches,0,7,1,40.9,0.26,+4.9,+0.15,292,757,38.6,728,128,74.3,53.0,251,86.1,62.3,325,42,12.9,41,1.28,16.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,90,84.2,90,,0,,0,1.22,31,37,-6,-0.19,+2.48,34.2,45.1,-10.8,-0.34,+0.81,0,2,3,0,0,1,0,0,2,164,0,1,0.0,Big-5-European-Leagues,Big5,2020-2021
153,Ivan Provedel,it ITA,GK,Spezia,it Serie A,26,1994,29,29,2610,29.0,55,1.90,124,74,60.5,6,10,13,4,13.8,7,6,1,0,14.3,Matches,1,5,0,49.1,0.35,-5.9,-0.20,280,617,45.4,1257,135,42.7,38.3,154,51.9,44.7,199,19,9.5,29,1.00,16.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,76.3,90,29,0,,2,0.97,38,55,-17,-0.59,-0.25,36.0,52.7,-16.7,-0.58,+0.08,0,0,7,0,0,0,0,0,0,147,0,0,,Big-5-European-Leagues,Big5,2020-2021
