squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,league_name,league_country
vs Amiens,26.0,53.3,38.0,418.0,3420.0,50.0,34.0,6.0,9.0,61.0,3.0,1.32,0.89,2.21,1.16,2.05,46.2,39.5,30.2,1.22,0.79,2.01,1.04,1.83,38.0,38.0,3420.0,31.0,0.82,115.0,87.0,0.748,18.0,11.0,9.0,18.0,47.4,3.0,2.0,1.0,0.0,38.0,1.0,3.0,1.0,30.1,0.25,0.1,0.0,249.0,626.0,39.8,914.0,150.0,48.7,40.6,265.0,68.3,52.8,310.0,16.0,5.2,22.0,0.58,15.1,498.0,155.0,18.0,31.1,13.11,4.08,0.09,0.28,0.08,3.8,4.5,14430.0,18528.0,77.9,283126.0,100929.0,5909.0,6858.0,86.2,6128.0,7250.0,84.5,2198.0,3882.0,56.6,3.8,370.0,1099.0,294.0,90.0,1294.0,16610.0,1918.0,537.0,28.0,2717.0,505.0,481.0,189.0,12.0,17.0,17.0,11982.0,2528.0,4018.0,5181.0,10883.0,942.0,860.0,251.0,56.0,434.0,250.0,458.0,785.0,20.66,560.0,78.0,54.0,39.0,38.0,89.0,2.34,52.0,8.0,11.0,8.0,8.0,2.0,633.0,391.0,297.0,264.0,72.0,191.0,576.0,33.2,385.0,5449.0,1575.0,28.9,1811.0,2667.0,971.0,547.0,104.0,2.0,443.0,275.0,855.0,9.0,22896.0,2050.0,7287.0,11303.0,5761.0,851.0,21027.0,452.0,700.0,64.6,494.0,14.0,15290.0,86219.0,48683.0,17227.0,14430.0,83.8,510.0,451.0,0.0,545.0,505.0,64.0,7.0,2.0,1.0,3742.0,566.0,553.0,50.6,Ligue 1,France
vs Angers,24.0,56.8,38.0,418.0,3420.0,47.0,40.0,3.0,5.0,76.0,3.0,1.24,1.05,2.29,1.16,2.21,46.9,43.1,32.9,1.23,0.87,2.1,1.13,2.0,38.0,38.0,3420.0,44.0,1.16,151.0,114.0,0.742,12.0,16.0,10.0,9.0,23.7,10.0,5.0,5.0,0.0,38.0,0.0,7.0,2.0,48.5,0.27,6.5,0.17,179.0,407.0,44.0,842.0,186.0,34.6,35.3,259.0,44.8,44.0,287.0,31.0,10.8,23.0,0.61,14.1,463.0,160.0,30.0,34.6,12.18,4.21,0.1,0.28,0.1,0.1,0.9,18316.0,22164.0,82.6,345649.0,116192.0,7569.0,8467.0,89.4,8237.0,9358.0,88.0,2298.0,3731.0,61.6,7.1,347.0,1459.0,313.0,98.0,1627.0,20419.0,1745.0,443.0,67.0,3500.0,517.0,514.0,171.0,15.0,15.0,5.0,16084.0,2733.0,3347.0,6341.0,13654.0,824.0,789.0,253.0,71.0,391.0,350.0,479.0,763.0,20.08,544.0,66.0,48.0,37.0,47.0,89.0,2.34,65.0,3.0,7.0,5.0,4.0,1.0,741.0,472.0,351.0,293.0,97.0,225.0,696.0,32.3,471.0,6167.0,1684.0,27.3,1938.0,2931.0,1298.0,517.0,104.0,0.0,413.0,265.0,805.0,12.0,26437.0,2062.0,7441.0,14380.0,6415.0,817.0,24730.0,532.0,805.0,66.1,574.0,28.0,18688.0,103795.0,58297.0,21026.0,18316.0,87.1,476.0,436.0,2.0,481.0,427.0,81.0,4.0,7.0,2.0,3531.0,408.0,453.0,47.4,Ligue 1,France
vs Bordeaux,33.0,49.8,38.0,418.0,3420.0,42.0,30.0,6.0,7.0,69.0,2.0,1.11,0.79,1.89,0.95,1.74,53.1,47.8,34.9,1.4,0.92,2.32,1.26,2.18,38.0,38.0,3420.0,35.0,0.92,133.0,104.0,0.774,17.0,11.0,10.0,18.0,47.4,6.0,5.0,1.0,0.0,38.0,0.0,4.0,0.0,36.2,0.24,2.2,0.06,243.0,629.0,38.6,914.0,137.0,49.6,41.6,263.0,66.9,53.1,329.0,28.0,8.5,20.0,0.53,14.5,510.0,147.0,20.0,28.8,13.42,3.87,0.07,0.24,0.1,-11.1,-11.8,14366.0,18371.0,78.2,282131.0,102391.0,5958.0,6917.0,86.1,6046.0,7166.0,84.4,2197.0,3778.0,58.2,-4.9,367.0,1147.0,266.0,90.0,1283.0,16502.0,1869.0,548.0,38.0,3218.0,558.0,476.0,191.0,19.0,22.0,6.0,12155.0,2459.0,3757.0,5139.0,10897.0,871.0,794.0,220.0,46.0,383.0,296.0,426.0,775.0,20.39,528.0,95.0,43.0,36.0,50.0,65.0,1.71,40.0,11.0,2.0,5.0,6.0,0.0,724.0,481.0,317.0,315.0,92.0,223.0,723.0,30.8,500.0,7233.0,2009.0,27.8,2120.0,3594.0,1519.0,570.0,105.0,1.0,465.0,355.0,749.0,8.0,22753.0,2035.0,6902.0,11472.0,5844.0,817.0,20952.0,466.0,733.0,63.6,504.0,18.0,15040.0,86365.0,47155.0,17086.0,14366.0,84.1,533.0,476.0,1.0,526.0,517.0,55.0,4.0,6.0,0.0,3661.0,519.0,495.0,51.2,Ligue 1,France
vs Caen,27.0,55.8,38.0,418.0,3420.0,52.0,33.0,6.0,8.0,65.0,4.0,1.37,0.87,2.24,1.21,2.08,57.5,51.7,38.0,1.51,1.0,2.51,1.36,2.36,38.0,38.0,3420.0,30.0,0.79,92.0,67.0,0.717,19.0,12.0,7.0,17.0,44.7,4.0,4.0,0.0,0.0,38.0,1.0,1.0,0.0,27.2,0.27,-1.8,-0.05,225.0,559.0,40.3,832.0,156.0,47.5,40.5,241.0,68.0,52.8,307.0,25.0,8.1,29.0,0.76,15.5,542.0,182.0,35.0,33.6,14.26,4.79,0.08,0.25,0.1,-5.5,-5.7,15393.0,19478.0,79.0,299139.0,103551.0,6143.0,7138.0,86.1,6847.0,8006.0,85.5,2173.0,3722.0,58.4,-5.0,384.0,1167.0,297.0,84.0,1367.0,17481.0,1997.0,533.0,31.0,3242.0,550.0,446.0,219.0,33.0,28.0,10.0,13156.0,2582.0,3740.0,5516.0,11497.0,863.0,939.0,247.0,51.0,399.0,299.0,454.0,861.0,22.66,589.0,74.0,69.0,50.0,62.0,90.0,2.37,53.0,3.0,11.0,9.0,10.0,2.0,690.0,421.0,290.0,314.0,86.0,254.0,692.0,36.7,438.0,5758.0,1621.0,28.2,1465.0,3043.0,1250.0,489.0,109.0,2.0,380.0,271.0,939.0,6.0,23946.0,1871.0,7066.0,12403.0,6058.0,885.0,21994.0,476.0,757.0,62.9,517.0,23.0,16396.0,92006.0,52736.0,18145.0,15393.0,84.8,491.0,442.0,2.0,535.0,530.0,60.0,5.0,4.0,0.0,3666.0,586.0,547.0,51.7,Ligue 1,France
vs Dijon,26.0,52.1,38.0,418.0,3420.0,59.0,41.0,3.0,3.0,48.0,5.0,1.55,1.08,2.63,1.47,2.55,60.9,58.6,39.4,1.6,1.04,2.64,1.54,2.58,38.0,38.0,3416.0,31.0,0.82,140.0,113.0,0.8,22.0,7.0,9.0,22.0,57.9,4.0,3.0,1.0,0.0,38.0,0.0,4.0,1.0,34.8,0.23,4.8,0.13,270.0,585.0,46.2,873.0,182.0,46.6,40.6,278.0,64.0,51.8,301.0,18.0,6.0,24.0,0.63,14.9,542.0,170.0,36.0,31.4,14.26,4.47,0.1,0.33,0.11,-1.9,-2.6,14667.0,18499.0,79.3,293061.0,107817.0,5859.0,6809.0,86.0,6276.0,7353.0,85.4,2343.0,3811.0,61.5,1.6,376.0,1034.0,279.0,76.0,1319.0,16510.0,1989.0,559.0,49.0,2731.0,589.0,448.0,202.0,27.0,29.0,8.0,12221.0,2373.0,3905.0,5165.0,10969.0,812.0,882.0,264.0,44.0,355.0,293.0,455.0,849.0,22.34,558.0,81.0,77.0,52.0,61.0,98.0,2.58,64.0,7.0,7.0,10.0,7.0,1.0,633.0,411.0,305.0,267.0,61.0,170.0,623.0,27.3,453.0,5775.0,1585.0,27.4,1884.0,2779.0,1112.0,544.0,114.0,2.0,430.0,237.0,896.0,5.0,23072.0,2155.0,7591.0,11469.0,5558.0,841.0,21131.0,468.0,709.0,66.0,505.0,16.0,15360.0,87071.0,48460.0,17254.0,14667.0,85.0,532.0,503.0,2.0,472.0,548.0,54.0,2.0,4.0,2.0,3559.0,572.0,540.0,51.4,Ligue 1,France
vs Guingamp,30.0,55.8,38.0,418.0,3420.0,68.0,42.0,3.0,6.0,76.0,4.0,1.79,1.11,2.89,1.71,2.82,50.1,45.6,32.7,1.32,0.86,2.18,1.2,2.06,38.0,38.0,3420.0,29.0,0.76,111.0,87.0,0.784,21.0,12.0,5.0,16.0,42.1,6.0,5.0,1.0,0.0,38.0,0.0,5.0,0.0,35.4,0.28,7.4,0.2,289.0,602.0,48.0,871.0,144.0,45.7,40.2,295.0,69.2,52.3,394.0,29.0,7.4,16.0,0.42,13.1,455.0,163.0,15.0,35.8,11.97,4.29,0.14,0.4,0.1,17.9,19.4,15967.0,20027.0,79.7,317952.0,116061.0,6174.0,7212.0,85.6,7250.0,8370.0,86.6,2376.0,3915.0,60.7,9.3,331.0,1271.0,305.0,70.0,1494.0,18086.0,1941.0,495.0,56.0,3179.0,495.0,405.0,161.0,16.0,20.0,12.0,13462.0,2750.0,3815.0,5616.0,11807.0,950.0,926.0,250.0,37.0,368.0,285.0,521.0,706.0,18.58,512.0,62.0,39.0,43.0,37.0,99.0,2.61,75.0,4.0,7.0,7.0,5.0,0.0,712.0,431.0,391.0,239.0,82.0,235.0,729.0,32.2,494.0,5536.0,1582.0,28.6,2069.0,2424.0,1043.0,598.0,118.0,1.0,480.0,315.0,1019.0,8.0,24754.0,2290.0,8081.0,12479.0,5782.0,806.0,22871.0,369.0,606.0,60.9,395.0,12.0,16266.0,90764.0,50896.0,18793.0,15967.0,85.0,520.0,534.0,4.0,491.0,469.0,45.0,4.0,6.0,0.0,3704.0,629.0,612.0,50.7,Ligue 1,France
vs Lille,25.0,48.6,38.0,418.0,3420.0,33.0,19.0,6.0,10.0,76.0,8.0,0.87,0.5,1.37,0.71,1.21,42.7,35.1,24.4,1.12,0.64,1.77,0.92,1.57,38.0,38.0,3420.0,69.0,1.82,182.0,127.0,0.681,7.0,9.0,22.0,8.0,21.1,13.0,11.0,1.0,1.0,38.0,0.0,4.0,2.0,57.8,0.27,-8.2,-0.21,238.0,582.0,40.9,766.0,181.0,45.4,38.9,281.0,83.3,58.3,277.0,16.0,5.8,17.0,0.45,14.4,380.0,118.0,21.0,31.1,10.0,3.11,0.07,0.23,0.1,-9.7,-8.1,13462.0,17200.0,78.3,268045.0,94386.0,5354.0,6264.0,85.5,5717.0,6755.0,84.6,2179.0,3616.0,60.3,-5.4,270.0,983.0,229.0,60.0,1239.0,15365.0,1835.0,466.0,32.0,2808.0,572.0,444.0,177.0,20.0,16.0,11.0,11455.0,2049.0,3696.0,4756.0,10241.0,787.0,809.0,259.0,69.0,381.0,261.0,468.0,612.0,16.11,389.0,77.0,47.0,34.0,51.0,52.0,1.37,30.0,4.0,5.0,6.0,6.0,0.0,738.0,468.0,361.0,293.0,84.0,229.0,702.0,32.6,473.0,6222.0,1648.0,26.5,2213.0,2925.0,1084.0,543.0,109.0,3.0,434.0,279.0,819.0,11.0,21428.0,2010.0,6981.0,10703.0,5129.0,740.0,19644.0,389.0,665.0,58.5,425.0,17.0,14054.0,79667.0,45555.0,16051.0,13460.0,83.9,513.0,401.0,1.0,545.0,463.0,86.0,9.0,12.0,2.0,3272.0,443.0,424.0,51.1,Ligue 1,France
vs Lyon,25.0,39.7,38.0,418.0,3420.0,43.0,27.0,5.0,5.0,70.0,10.0,1.13,0.71,1.84,1.0,1.71,42.6,38.8,28.7,1.12,0.76,1.88,1.02,1.78,38.0,38.0,3420.0,70.0,1.84,244.0,179.0,0.734,8.0,9.0,21.0,6.0,15.8,10.0,5.0,3.0,2.0,38.0,4.0,3.0,0.0,71.6,0.27,1.6,0.04,298.0,829.0,35.9,811.0,128.0,64.7,47.4,344.0,88.4,60.9,360.0,21.0,5.8,10.0,0.26,13.2,471.0,146.0,21.0,31.0,12.39,3.84,0.08,0.26,0.09,0.4,-0.8,11179.0,14758.0,75.7,217995.0,81561.0,4827.0,5591.0,86.3,4497.0,5426.0,82.9,1691.0,3238.0,52.2,-1.7,338.0,829.0,188.0,60.0,900.0,12969.0,1789.0,498.0,22.0,2445.0,444.0,375.0,167.0,25.0,23.0,1.0,9436.0,1842.0,3480.0,4491.0,8365.0,662.0,674.0,198.0,46.0,334.0,302.0,402.0,738.0,19.42,520.0,69.0,35.0,43.0,48.0,73.0,1.92,47.0,4.0,7.0,4.0,7.0,2.0,694.0,448.0,381.0,235.0,78.0,234.0,802.0,29.2,568.0,7300.0,1696.0,23.2,2823.0,3306.0,1171.0,608.0,164.0,3.0,444.0,435.0,787.0,14.0,19115.0,2306.0,6717.0,8974.0,4751.0,674.0,17374.0,312.0,521.0,59.9,334.0,11.0,12310.0,75512.0,43946.0,13648.0,11179.0,81.9,464.0,405.0,1.0,505.0,430.0,48.0,3.0,8.0,0.0,3043.0,391.0,468.0,45.5,Ligue 1,France
vs Marseille,24.0,44.8,38.0,418.0,3420.0,52.0,29.0,10.0,12.0,69.0,3.0,1.37,0.76,2.13,1.11,1.87,46.0,36.8,24.0,1.21,0.63,1.84,0.97,1.6,38.0,38.0,3420.0,60.0,1.58,168.0,113.0,0.667,13.0,7.0,18.0,6.0,15.8,5.0,4.0,1.0,0.0,38.0,1.0,10.0,1.0,52.0,0.29,-7.0,-0.18,240.0,684.0,35.1,842.0,145.0,51.5,42.1,336.0,74.4,55.7,428.0,23.0,5.4,25.0,0.66,14.3,394.0,130.0,28.0,33.0,10.37,3.42,0.11,0.32,0.1,6.0,5.2,12512.0,16212.0,77.2,249768.0,90915.0,4967.0,5851.0,84.9,5411.0,6402.0,84.5,1961.0,3443.0,57.0,5.0,276.0,862.0,179.0,37.0,1087.0,14277.0,1935.0,490.0,43.0,2905.0,515.0,338.0,157.0,21.0,13.0,6.0,10307.0,2193.0,3712.0,4903.0,9027.0,804.0,862.0,223.0,59.0,346.0,260.0,420.0,622.0,16.37,410.0,62.0,56.0,33.0,52.0,80.0,2.11,51.0,2.0,11.0,7.0,8.0,0.0,675.0,390.0,371.0,252.0,52.0,248.0,699.0,35.5,451.0,7137.0,1643.0,23.0,2414.0,3438.0,1285.0,626.0,136.0,2.0,490.0,286.0,963.0,8.0,20801.0,2391.0,7345.0,10166.0,4495.0,642.0,18900.0,463.0,756.0,61.2,511.0,30.0,13430.0,72022.0,41108.0,15150.0,12512.0,82.6,515.0,484.0,1.0,488.0,484.0,64.0,10.0,4.0,1.0,3332.0,498.0,525.0,48.7,Ligue 1,France
vs Monaco,42.0,50.1,38.0,418.0,3420.0,55.0,43.0,5.0,8.0,68.0,4.0,1.45,1.13,2.58,1.32,2.45,47.3,41.2,31.8,1.24,0.84,2.08,1.08,1.92,38.0,38.0,3420.0,38.0,1.0,151.0,117.0,0.775,18.0,12.0,8.0,12.0,31.6,5.0,4.0,1.0,0.0,38.0,1.0,2.0,0.0,48.0,0.3,10.0,0.26,278.0,676.0,41.1,893.0,159.0,52.1,42.0,303.0,69.6,53.6,387.0,25.0,6.5,26.0,0.68,14.6,427.0,142.0,24.0,33.3,11.24,3.74,0.12,0.35,0.1,7.7,8.8,14397.0,18098.0,79.6,288638.0,101139.0,5628.0,6534.0,86.1,6261.0,7207.0,86.9,2320.0,3840.0,60.4,11.2,317.0,1044.0,265.0,86.0,1216.0,16202.0,1896.0,525.0,39.0,3177.0,565.0,423.0,173.0,17.0,17.0,4.0,12180.0,2310.0,3608.0,5163.0,10756.0,748.0,821.0,244.0,66.0,387.0,283.0,417.0,703.0,18.5,489.0,67.0,45.0,33.0,52.0,95.0,2.5,72.0,6.0,3.0,4.0,5.0,2.0,651.0,405.0,333.0,251.0,67.0,229.0,662.0,34.6,433.0,6735.0,1857.0,27.6,2427.0,3168.0,1140.0,638.0,138.0,4.0,500.0,312.0,804.0,5.0,22601.0,2274.0,7639.0,11054.0,5362.0,755.0,20756.0,463.0,742.0,62.4,508.0,17.0,14797.0,82593.0,45503.0,17036.0,14397.0,84.5,544.0,500.0,0.0,543.0,512.0,78.0,7.0,2.0,0.0,3381.0,456.0,470.0,49.2,Ligue 1,France
